miRNA,SRR28524843,SRR28524844,SRR28524845,SRR28524846,SRR28524847,SRR28524848
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,2.0,4.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,1.0,1.0
hsa-let-7a-5p,4920.0,6882.0,19052.0,29590.0,38574.0,33662.0
hsa-let-7b-3p,0.0,1.0,0.0,2.0,2.0,5.0
hsa-let-7b-5p,10.0,51.0,47.0,69.0,6697.0,6359.0
hsa-let-7c-3p,0.0,0.0,1.0,0.0,0.0,1.0
hsa-let-7c-5p,5.0,13.0,21.0,31.0,953.0,842.0
hsa-let-7d-3p,0.0,0.0,0.0,6.0,2.0,0.0
hsa-let-7d-5p,314.0,807.0,2265.0,2766.0,1526.0,1565.0
hsa-let-7e-5p,6.0,2.0,10.0,36.0,138.0,107.0
hsa-let-7f-1-3p,0.0,0.0,0.0,1.0,1.0,0.0
hsa-let-7f-5p,1951.0,1653.0,5907.0,7735.0,6648.0,6050.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7g-5p,11.0,21.0,19.0,41.0,447.0,392.0
hsa-let-7i-3p,1.0,2.0,0.0,6.0,2.0,0.0
hsa-let-7i-5p,16.0,13.0,71.0,68.0,511.0,492.0
hsa-miR-1-3p,0.0,0.0,0.0,0.0,1.0,2.0
hsa-miR-100-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,528.0,656.0,1584.0,2717.0,2180.0,2574.0
hsa-miR-101-3p,0.0,0.0,13.0,4.0,11.0,15.0
hsa-miR-101-5p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-10394-5p,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,7.0,9.0,3.0,13.0,11.0
hsa-miR-10395-5p,0.0,0.0,9.0,3.0,5.0,6.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-10399-3p,0.0,5.0,2.0,5.0,0.0,0.0
hsa-miR-103a-3p,146.0,104.0,156.0,4.0,89.0,240.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10526-3p,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10527-5p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,4.0,37.0,12.0,6.0,33.0,31.0
hsa-miR-106b-3p,0.0,7.0,18.0,14.0,0.0,1.0
hsa-miR-106b-5p,4.0,35.0,14.0,49.0,154.0,129.0
hsa-miR-107,2.0,22.0,211.0,134.0,2.0,13.0
hsa-miR-10a-3p,0.0,0.0,3.0,0.0,6.0,5.0
hsa-miR-10a-5p,1.0,28.0,74.0,49.0,445.0,510.0
hsa-miR-10b-3p,1.0,0.0,0.0,4.0,6.0,6.0
hsa-miR-10b-5p,7.0,0.0,0.0,46.0,77.0,120.0
hsa-miR-1178-5p,2.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1180-3p,0.0,1.0,0.0,0.0,1.0,3.0
hsa-miR-1181,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,8.0,7.0
hsa-miR-12133,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-12136,4.0,3.0,0.0,3.0,41.0,65.0
hsa-miR-122-5p,0.0,0.0,0.0,0.0,1360.0,12.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,4.0,1.0
hsa-miR-1231,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,4.0,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,5.0
hsa-miR-1246,22.0,82.0,905.0,203.0,202.0,159.0
hsa-miR-1248,1.0,1.0,0.0,5.0,3.0,12.0
hsa-miR-1250-5p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,4.0,0.0,3.0
hsa-miR-125a-3p,9.0,7.0,9.0,17.0,7.0,4.0
hsa-miR-125a-5p,0.0,1.0,1.0,0.0,61.0,97.0
hsa-miR-125b-1-3p,1.0,2.0,6.0,8.0,8.0,10.0
hsa-miR-125b-2-3p,0.0,0.0,1.0,1.0,4.0,0.0
hsa-miR-125b-5p,0.0,2.0,0.0,1.0,860.0,955.0
hsa-miR-126-3p,0.0,0.0,0.0,0.0,53.0,55.0
hsa-miR-126-5p,2.0,0.0,0.0,1.0,141.0,128.0
hsa-miR-1260b,0.0,2.0,0.0,0.0,1.0,0.0
hsa-miR-1268a,2.0,2.0,12.0,17.0,0.0,0.0
hsa-miR-1268b,1.0,1.0,5.0,1.0,1.0,0.0
hsa-miR-127-3p,0.0,0.0,0.0,2.0,403.0,548.0
hsa-miR-127-5p,0.0,0.0,0.0,0.0,13.0,9.0
hsa-miR-1270,0.0,0.0,0.0,0.0,2.0,2.0
hsa-miR-1271-3p,1.0,0.0,0.0,0.0,3.0,2.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,1.0,2.0
hsa-miR-1273c,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,2.0,0.0,1.0
hsa-miR-1275,0.0,0.0,1.0,0.0,3.0,0.0
hsa-miR-1277-3p,0.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-128-3p,1.0,0.0,4.0,1.0,7.0,6.0
hsa-miR-1285-3p,2.0,0.0,9.0,7.0,2.0,1.0
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-129-1-3p,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1290,0.0,0.0,0.0,0.0,8.0,10.0
hsa-miR-1291,3.0,121.0,234.0,32.0,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-1301-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1304-3p,0.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,1.0,1.0,4.0
hsa-miR-1305,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1306-5p,2.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1307-3p,112.0,857.0,1951.0,1572.0,104.0,140.0
hsa-miR-1307-5p,0.0,1.0,0.0,3.0,5.0,3.0
hsa-miR-130a-3p,2.0,3.0,1.0,7.0,489.0,503.0
hsa-miR-130a-5p,0.0,1.0,0.0,2.0,0.0,0.0
hsa-miR-130b-3p,0.0,1.0,0.0,1.0,517.0,600.0
hsa-miR-130b-5p,0.0,0.0,0.0,0.0,2.0,2.0
hsa-miR-132-3p,5.0,3.0,9.0,24.0,105.0,107.0
hsa-miR-132-5p,0.0,2.0,0.0,11.0,2.0,3.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,2.0,7.0
hsa-miR-134-5p,0.0,0.0,0.0,0.0,19.0,20.0
hsa-miR-136-3p,0.0,0.0,0.0,0.0,17.0,10.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,19.0,21.0
hsa-miR-137-3p,0.0,0.0,0.0,0.0,66.0,71.0
hsa-miR-137-5p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,7.0,14.0
hsa-miR-138-5p,0.0,1.0,0.0,6.0,235.0,329.0
hsa-miR-139-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-139-5p,0.0,0.0,1.0,0.0,70.0,81.0
hsa-miR-140-3p,4.0,2.0,3.0,23.0,40.0,44.0
hsa-miR-140-5p,11.0,2.0,25.0,20.0,45.0,42.0
hsa-miR-141-3p,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-142-3p,0.0,0.0,0.0,0.0,575.0,735.0
hsa-miR-142-5p,1.0,0.0,0.0,0.0,69.0,75.0
hsa-miR-143-3p,0.0,0.0,0.0,0.0,464.0,433.0
hsa-miR-143-5p,0.0,0.0,0.0,0.0,39.0,57.0
hsa-miR-144-3p,1.0,1.0,0.0,0.0,159.0,170.0
hsa-miR-144-5p,0.0,0.0,0.0,0.0,10.0,13.0
hsa-miR-145-3p,0.0,0.0,0.0,0.0,34.0,27.0
hsa-miR-145-5p,0.0,0.0,0.0,0.0,787.0,789.0
hsa-miR-1468-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-146a-5p,0.0,0.0,0.0,0.0,4.0,5.0
hsa-miR-146b-5p,0.0,0.0,0.0,0.0,7.0,4.0
hsa-miR-147b-3p,0.0,3.0,4.0,1.0,3.0,2.0
hsa-miR-148a-3p,0.0,0.0,0.0,0.0,21.0,10.0
hsa-miR-148a-5p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-148b-3p,0.0,0.0,0.0,0.0,9.0,14.0
hsa-miR-148b-5p,0.0,0.0,0.0,0.0,2.0,3.0
hsa-miR-149-3p,3.0,0.0,0.0,14.0,2.0,0.0
hsa-miR-149-5p,0.0,1.0,0.0,1.0,3.0,1.0
hsa-miR-150-5p,0.0,0.0,0.0,0.0,39.0,39.0
hsa-miR-151a-3p,144.0,171.0,283.0,362.0,61.0,75.0
hsa-miR-151a-5p,49.0,54.0,127.0,287.0,625.0,722.0
hsa-miR-151b,2.0,11.0,5.0,16.0,3.0,8.0
hsa-miR-152-3p,0.0,0.0,0.0,0.0,123.0,117.0
hsa-miR-154-3p,0.0,0.0,0.0,0.0,10.0,4.0
hsa-miR-154-5p,0.0,0.0,0.0,0.0,47.0,70.0
hsa-miR-155-5p,0.0,0.0,0.0,0.0,64.0,61.0
hsa-miR-15a-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,0.0,4.0,0.0,10.0,28.0,36.0
hsa-miR-15b-3p,0.0,0.0,0.0,1.0,2.0,0.0
hsa-miR-15b-5p,2.0,0.0,4.0,1.0,67.0,51.0
hsa-miR-16-2-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-16-5p,82.0,74.0,142.0,297.0,4787.0,5333.0
hsa-miR-17-3p,2.0,15.0,39.0,26.0,5.0,12.0
hsa-miR-17-5p,1.0,29.0,29.0,24.0,461.0,469.0
hsa-miR-181a-2-3p,107.0,1.0,10.0,229.0,7.0,2.0
hsa-miR-181a-3p,0.0,7.0,0.0,3.0,1.0,0.0
hsa-miR-181a-5p,35.0,36.0,15.0,70.0,480.0,470.0
hsa-miR-181b-2-3p,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-181b-5p,57.0,19.0,31.0,80.0,64.0,92.0
hsa-miR-181c-3p,3.0,10.0,5.0,12.0,0.0,0.0
hsa-miR-181c-5p,0.0,2.0,0.0,3.0,14.0,5.0
hsa-miR-181d-3p,0.0,2.0,0.0,1.0,0.0,0.0
hsa-miR-181d-5p,1.0,5.0,1.0,4.0,5.0,12.0
hsa-miR-182-3p,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-182-5p,1.0,0.0,1.0,1.0,1.0,3.0
hsa-miR-183-3p,3.0,0.0,5.0,3.0,0.0,0.0
hsa-miR-183-5p,1.0,0.0,0.0,2.0,1.0,0.0
