miRNA,SRR15107913,SRR15107914,SRR15107915,SRR15107916,SRR15107917,SRR15107918,SRR15107919,SRR15107920,SRR15107921,SRR15107922,SRR15107923,SRR15107924,SRR15107925,SRR15107926,SRR15107927,SRR15107928,SRR15107929,SRR15107930
hsa-let-7a-3p,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
hsa-let-7a-5p,4279.0,301.0,1724.0,2231.0,1454.0,2434.0,1522.0,1298.0,1638.0,6194.0,2345.0,2930.0,790.0,4381.0,4208.0,1263.0,7524.0,4432.0
hsa-let-7b-3p,24.0,0.0,10.0,36.0,15.0,1.0,3.0,4.0,17.0,45.0,8.0,1.0,11.0,18.0,25.0,15.0,14.0,22.0
hsa-let-7b-5p,5958.0,388.0,4521.0,5120.0,2693.0,2407.0,2150.0,2049.0,3256.0,9204.0,3194.0,3063.0,2862.0,7177.0,5098.0,7372.0,7747.0,7066.0
hsa-let-7c-5p,81.0,1.0,36.0,61.0,43.0,49.0,17.0,32.0,51.0,290.0,34.0,42.0,31.0,95.0,53.0,44.0,96.0,92.0
hsa-let-7d-3p,327.0,18.0,127.0,489.0,191.0,61.0,55.0,30.0,201.0,589.0,104.0,100.0,128.0,281.0,535.0,95.0,280.0,348.0
hsa-let-7d-5p,237.0,10.0,85.0,132.0,77.0,128.0,81.0,72.0,109.0,319.0,144.0,148.0,30.0,211.0,242.0,61.0,361.0,275.0
hsa-let-7e-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,110.0,39.0,79.0,86.0,84.0,63.0,65.0,17.0,81.0,148.0,95.0,118.0,53.0,202.0,103.0,40.0,271.0,272.0
hsa-let-7f-1-3p,7.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,716.0,63.0,325.0,497.0,259.0,572.0,380.0,325.0,348.0,1516.0,650.0,797.0,133.0,1000.0,1049.0,213.0,2150.0,991.0
hsa-let-7g-3p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,143.0,12.0,67.0,155.0,71.0,107.0,58.0,90.0,95.0,260.0,76.0,183.0,37.0,183.0,192.0,70.0,351.0,202.0
hsa-let-7i-3p,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,7.0,1.0,4.0,0.0
hsa-let-7i-5p,80.0,19.0,56.0,182.0,29.0,57.0,23.0,64.0,75.0,139.0,69.0,93.0,29.0,284.0,96.0,100.0,223.0,128.0
