miRNA,SRR22777518,SRR22777519,SRR22777520,SRR22777521,SRR22777522,SRR22777523,SRR22777524,SRR22777525,SRR22777526,SRR22777527,SRR22777528,SRR22777529,SRR22777530,SRR22777531,SRR22777532,SRR22777533,SRR22777534,SRR22777535,SRR22777536,SRR22777537,SRR22777538,SRR22777539,SRR22777540,SRR22777541,SRR22777542,SRR22777543,SRR22777544,SRR22777545,SRR22777546
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,101.0,108.0,62.0,39.0,73.0,23.0,53.0,58.0,85.0,43.0,15.0,52.0,198.0,4.0,15.0,18.0,23.0,81.0,29.0,39.0,35.0,211.0,133.0,74.0,73.0,25.0,123.0,81.0,125.0
hsa-let-7a-5p,349894.0,316098.0,351460.0,398235.0,414662.0,182560.0,227131.0,305141.0,324621.0,205092.0,258171.0,89139.0,170837.0,12447.0,188933.0,476845.0,458298.0,544566.0,155462.0,44831.0,197803.0,215077.0,37965.0,350471.0,250067.0,38881.0,317360.0,69306.0,577001.0
hsa-let-7b-3p,6.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,0.0,9.0
hsa-let-7b-5p,81805.0,54997.0,90550.0,118562.0,108191.0,67158.0,67230.0,79583.0,66040.0,60178.0,82739.0,83029.0,261778.0,26154.0,77529.0,252792.0,146984.0,175816.0,49771.0,62750.0,76204.0,226301.0,76625.0,132581.0,142294.0,69280.0,151574.0,83838.0,156584.0
hsa-let-7c-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,2735.0,1545.0,2923.0,4842.0,3963.0,1658.0,1576.0,3464.0,1880.0,1427.0,2520.0,3218.0,13788.0,975.0,2429.0,6585.0,5311.0,4390.0,3388.0,2939.0,2008.0,5019.0,2365.0,5778.0,7169.0,1927.0,7355.0,2618.0,6028.0
hsa-let-7d-3p,298.0,1143.0,1014.0,585.0,981.0,190.0,330.0,1514.0,665.0,664.0,799.0,307.0,740.0,136.0,649.0,1088.0,970.0,861.0,835.0,535.0,748.0,1118.0,285.0,749.0,1114.0,213.0,687.0,1014.0,877.0
hsa-let-7d-5p,21849.0,52034.0,52488.0,36684.0,47775.0,27386.0,23386.0,46256.0,53087.0,29889.0,39276.0,6383.0,13152.0,1231.0,24480.0,34063.0,58954.0,78748.0,17592.0,3684.0,21017.0,31793.0,2998.0,34648.0,27032.0,4642.0,27359.0,10474.0,53411.0
hsa-let-7e-3p,2.0,7.0,6.0,1.0,10.0,0.0,0.0,0.0,3.0,1.0,2.0,7.0,22.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,1.0,10.0,0.0,6.0,16.0,0.0,8.0,0.0,5.0
hsa-let-7e-5p,11638.0,5049.0,23199.0,5765.0,7879.0,6455.0,4051.0,8282.0,9192.0,1664.0,6001.0,1836.0,7518.0,393.0,3708.0,10162.0,13995.0,4337.0,9505.0,1555.0,3607.0,8735.0,1026.0,5788.0,8300.0,1163.0,5212.0,1070.0,5791.0
hsa-let-7f-1-3p,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7f-2-3p,8.0,9.0,1.0,1.0,4.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,3.0,7.0,0.0,5.0
hsa-let-7f-5p,298416.0,785068.0,401024.0,504408.0,653319.0,232997.0,224735.0,425596.0,618889.0,284340.0,271946.0,36848.0,61342.0,5001.0,175621.0,374951.0,444121.0,622953.0,138842.0,16764.0,196210.0,179710.0,12205.0,360529.0,231783.0,19266.0,293484.0,36112.0,733900.0
hsa-let-7g-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-let-7g-5p,35272.0,154869.0,76999.0,104059.0,126729.0,36657.0,30145.0,102678.0,163310.0,67008.0,34202.0,7713.0,15746.0,1015.0,22146.0,39388.0,62910.0,99523.0,20238.0,3921.0,40572.0,86224.0,2549.0,76035.0,65076.0,4607.0,62941.0,8711.0,132272.0
hsa-let-7i-3p,1.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,0.0,3.0,0.0,0.0,2.0,1.0,6.0,0.0,5.0
hsa-let-7i-5p,146630.0,450680.0,161175.0,272304.0,398990.0,133467.0,119715.0,197748.0,295314.0,131609.0,103219.0,25671.0,58106.0,5948.0,86693.0,281950.0,229609.0,338173.0,81439.0,17122.0,105830.0,380662.0,15395.0,186854.0,98423.0,19118.0,161281.0,45177.0,343324.0
hsa-miR-1-3p,2996.0,4275.0,4397.0,6261.0,4490.0,207.0,1201.0,2995.0,4752.0,3537.0,313.0,3.0,78.0,0.0,1246.0,143.0,789.0,1052.0,181.0,0.0,628.0,154.0,0.0,423.0,1155.0,29.0,1210.0,89.0,3153.0
hsa-miR-100-5p,128.0,60.0,10.0,51.0,20.0,9.0,26.0,8.0,5.0,30.0,27.0,139.0,369.0,112.0,36.0,37.0,57.0,35.0,59.0,343.0,57.0,34.0,147.0,43.0,57.0,70.0,360.0,88.0,61.0
hsa-miR-101-2-5p,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
hsa-miR-101-3p,4416.0,11488.0,4145.0,5810.0,5345.0,1096.0,2441.0,4998.0,4275.0,2325.0,1872.0,2373.0,10091.0,2013.0,1582.0,1088.0,3160.0,3428.0,2591.0,5185.0,3822.0,10012.0,4073.0,6753.0,7196.0,4280.0,9031.0,8989.0,6312.0
hsa-miR-101-5p,0.0,4.0,3.0,10.0,5.0,1.0,1.0,4.0,3.0,0.0,6.0,23.0,0.0,13.0,4.0,0.0,1.0,1.0,0.0,58.0,6.0,31.0,0.0,36.0,13.0,15.0,23.0,0.0,12.0
hsa-miR-10226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,1.0,1.0,11.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,18.0,135.0,45.0,32.0,64.0,11.0,27.0,51.0,62.0,34.0,14.0,10.0,64.0,12.0,12.0,8.0,43.0,50.0,48.0,39.0,16.0,80.0,23.0,16.0,30.0,6.0,27.0,36.0,51.0
hsa-miR-10399-5p,0.0,1.0,2.0,2.0,3.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0
