miRNA,SRR10029319,SRR10029320,SRR10029321,SRR10029322,SRR10029323
hsa-let-7a-3p,3.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,804.0,266.0,37.0,2451.0,580.0
hsa-let-7b-3p,6.0,4.0,1.0,0.0,0.0
hsa-let-7b-5p,3777.0,1004.0,173.0,5446.0,6461.0
hsa-let-7c-5p,101.0,118.0,28.0,8821.0,4576.0
hsa-let-7d-3p,17.0,14.0,1.0,33.0,41.0
hsa-let-7d-5p,28.0,2.0,4.0,503.0,212.0
hsa-let-7e-3p,0.0,0.0,0.0,3.0,0.0
hsa-let-7e-5p,32.0,13.0,2.0,186.0,84.0
hsa-let-7f-5p,203.0,100.0,8.0,2820.0,697.0
hsa-let-7g-5p,258.0,77.0,17.0,849.0,255.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,1.0
hsa-let-7i-5p,1187.0,1690.0,31.0,1620.0,1531.0
hsa-miR-1-3p,0.0,0.0,0.0,2.0,1.0
hsa-miR-100-5p,7309.0,2418.0,433.0,5729.0,1313.0
hsa-miR-101-3p,4.0,4.0,0.0,5.0,15.0
hsa-miR-10395-3p,2.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,1.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,1.0,1.0
hsa-miR-103a-3p,10.0,0.0,0.0,106.0,8.0
hsa-miR-10401-3p,3.0,2.0,2.0,0.0,0.0
hsa-miR-10526-3p,1.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,1.0,0.0
hsa-miR-106b-3p,24.0,15.0,4.0,114.0,31.0
hsa-miR-106b-5p,0.0,0.0,0.0,5.0,1.0
hsa-miR-107,0.0,0.0,0.0,1.0,2.0
hsa-miR-10a-3p,7.0,0.0,0.0,23.0,14.0
hsa-miR-10a-5p,2107.0,903.0,272.0,1623.0,2069.0
hsa-miR-10b-5p,12.0,1.0,2.0,37.0,12.0
hsa-miR-1180-3p,12.0,4.0,1.0,4.0,1.0
hsa-miR-1183,0.0,3.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,1.0,0.0,0.0,1.0,0.0
hsa-miR-12114,0.0,1.0,0.0,0.0,0.0
hsa-miR-12116,0.0,0.0,0.0,1.0,0.0
hsa-miR-122-5p,3.0,8.0,1.0,0.0,11.0
hsa-miR-1228-3p,0.0,1.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,2.0,0.0,0.0,0.0
hsa-miR-1246,295.0,583.0,70.0,169.0,39.0
hsa-miR-1248,3.0,3.0,0.0,0.0,1.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,5.0
hsa-miR-1255a,1.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,12.0,0.0,2.0,32.0,76.0
hsa-miR-125a-5p,55.0,68.0,4.0,198.0,148.0
hsa-miR-125b-1-3p,113.0,109.0,6.0,39.0,71.0
hsa-miR-125b-5p,126.0,76.0,13.0,639.0,970.0
hsa-miR-126-3p,5.0,4.0,0.0,1.0,23.0
hsa-miR-1260b,0.0,2.0,2.0,1.0,0.0
hsa-miR-1262,3.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,1.0,0.0,0.0,2.0,1.0
hsa-miR-127-3p,705.0,381.0,21.0,56.0,40.0
hsa-miR-127-5p,0.0,1.0,0.0,4.0,0.0
hsa-miR-1271-5p,1.0,3.0,1.0,2.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,1.0,0.0
hsa-miR-128-3p,224.0,62.0,10.0,8.0,11.0
hsa-miR-1285-5p,1.0,0.0,2.0,0.0,0.0
