miRNA,SRR19241179,SRR19241180,SRR19241181,SRR19241182,SRR19241183,SRR19241184,SRR19241185,SRR19241186,SRR19241187
hsa-let-7a-2-3p,3.0,9.0,2.0,13.0,5.0,1.0,2.0,0.0,1.0
hsa-let-7a-3p,0.0,67.0,63.0,131.0,59.0,1.0,0.0,34.0,0.0
hsa-let-7a-5p,43.0,8781.0,23018.0,23376.0,7205.0,73.0,19.0,5855.0,95.0
hsa-let-7b-3p,0.0,35.0,18.0,22.0,18.0,0.0,0.0,20.0,0.0
hsa-let-7b-5p,1503.0,32454.0,52943.0,74462.0,29957.0,1869.0,3431.0,23047.0,1955.0
hsa-let-7c-3p,0.0,3.0,2.0,1.0,7.0,1.0,0.0,5.0,0.0
hsa-let-7c-5p,3.0,2321.0,3821.0,6557.0,2117.0,1.0,52.0,1685.0,6.0
hsa-let-7d-3p,0.0,311.0,193.0,465.0,241.0,0.0,1.0,161.0,0.0
hsa-let-7d-5p,1.0,204.0,453.0,669.0,197.0,0.0,1.0,165.0,1.0
hsa-let-7e-3p,0.0,7.0,3.0,15.0,2.0,0.0,0.0,4.0,0.0
hsa-let-7e-5p,1.0,1014.0,1956.0,2234.0,914.0,2.0,0.0,697.0,6.0
hsa-let-7f-1-3p,0.0,5.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0
hsa-let-7f-2-3p,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,7.0,2660.0,11798.0,10471.0,2529.0,24.0,10.0,1976.0,26.0
hsa-let-7g-3p,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1.0,2033.0,2150.0,4544.0,1906.0,3.0,2.0,1422.0,1.0
hsa-let-7i-3p,0.0,7.0,10.0,14.0,11.0,0.0,0.0,4.0,0.0
hsa-let-7i-5p,26.0,8044.0,10992.0,14009.0,5913.0,45.0,19.0,3846.0,45.0
hsa-miR-1-3p,9.0,6931.0,27198.0,25888.0,8460.0,21.0,6.0,4121.0,16.0
hsa-miR-1-5p,0.0,24.0,22.0,59.0,20.0,0.0,0.0,9.0,0.0
hsa-miR-100-3p,0.0,9.0,10.0,15.0,6.0,0.0,0.0,4.0,0.0
hsa-miR-100-5p,13.0,1873.0,1671.0,4166.0,1861.0,11.0,16.0,792.0,22.0
hsa-miR-101-3p,892.0,1329.0,1339.0,2388.0,1065.0,974.0,450.0,678.0,1114.0
hsa-miR-101-5p,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,5.0,7.0,5.0,4.0,0.0,0.0,7.0,0.0
hsa-miR-10395-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,12.0,15.0,7.0,14.0,0.0,0.0,11.0,0.0
hsa-miR-10396a-5p,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10396b-3p,0.0,18.0,17.0,10.0,11.0,0.0,0.0,12.0,0.0
hsa-miR-10396b-5p,0.0,2.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0
hsa-miR-103a-3p,995.0,121.0,401.0,0.0,83.0,1696.0,815.0,260.0,2858.0
hsa-miR-10401-3p,0.0,42.0,18.0,27.0,24.0,0.0,0.0,21.0,0.0
hsa-miR-10401-5p,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
hsa-miR-10526-3p,0.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0
hsa-miR-106a-5p,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,51.0,71.0,122.0,65.0,0.0,0.0,31.0,0.0
hsa-miR-106b-5p,0.0,21.0,22.0,68.0,17.0,1.0,0.0,16.0,0.0
hsa-miR-107,16.0,44.0,71.0,200.0,13.0,45.0,16.0,6.0,99.0
hsa-miR-10a-3p,1.0,266.0,132.0,364.0,247.0,0.0,1.0,103.0,1.0
hsa-miR-10a-5p,75.0,2031.0,1286.0,2212.0,1890.0,92.0,77.0,1080.0,203.0
hsa-miR-10b-3p,0.0,201.0,53.0,199.0,165.0,0.0,1.0,88.0,0.0
hsa-miR-10b-5p,2.0,1718.0,780.0,1578.0,1658.0,1.0,1.0,1130.0,5.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1179,2.0,0.0,3.0,5.0,4.0,0.0,2.0,2.0,2.0
hsa-miR-1180-3p,0.0,17.0,18.0,37.0,24.0,0.0,0.0,14.0,0.0
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,7.0,7.0,14.0,5.0,0.0,0.0,8.0,0.0
hsa-miR-1185-2-3p,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,3.0,19.0,12.0,3.0,0.0,0.0,3.0,0.0
hsa-miR-1197,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-12135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,9.0,31.0,52.0,73.0,60.0,16.0,20.0,76.0,19.0
hsa-miR-122-5p,0.0,4.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0
hsa-miR-1225-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,14.0,11.0,25.0,7.0,0.0,0.0,5.0,0.0
hsa-miR-1228-3p,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,1.0,327.0,240.0,834.0,252.0,0.0,6.0,363.0,0.0
hsa-miR-1247-5p,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,2.0,27.0,6.0,3.0,0.0,0.0,5.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-125a-3p,0.0,48.0,14.0,46.0,27.0,0.0,0.0,16.0,0.0
hsa-miR-125a-5p,88.0,9102.0,6183.0,13139.0,7019.0,87.0,86.0,5429.0,111.0
hsa-miR-125b-1-3p,0.0,71.0,53.0,118.0,46.0,0.0,0.0,28.0,1.0
hsa-miR-125b-2-3p,0.0,1.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0
hsa-miR-125b-5p,80.0,15716.0,19825.0,36547.0,13542.0,73.0,39.0,8607.0,93.0
hsa-miR-126-3p,0.0,43.0,55.0,105.0,87.0,0.0,0.0,32.0,0.0
hsa-miR-126-5p,0.0,42.0,8.0,34.0,49.0,0.0,0.0,12.0,0.0
hsa-miR-1260b,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
hsa-miR-1262,0.0,7.0,7.0,7.0,8.0,0.0,0.0,3.0,0.0
hsa-miR-1265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-127-3p,78.0,607.0,1126.0,1028.0,544.0,97.0,73.0,335.0,93.0
hsa-miR-127-5p,0.0,30.0,44.0,33.0,28.0,0.0,0.0,14.0,0.0
hsa-miR-1270,0.0,3.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0
hsa-miR-1271-5p,0.0,41.0,22.0,42.0,50.0,0.0,0.0,9.0,0.0
hsa-miR-1273c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1275,0.0,1.0,11.0,6.0,5.0,0.0,0.0,1.0,0.0
hsa-miR-1276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,3.0,9.0,11.0,3.0,0.0,0.0,3.0,0.0
hsa-miR-1278,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0
hsa-miR-128-3p,10.0,26682.0,31206.0,57989.0,25410.0,17.0,11.0,7065.0,20.0
hsa-miR-1284,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,7.0,10.0,2.0,0.0,1.0,6.0,2.0
hsa-miR-1286,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1287-5p,0.0,24.0,17.0,37.0,26.0,0.0,0.0,13.0,0.0
hsa-miR-129-2-3p,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,0.0,3.0,3.0,18.0,7.0,0.0,0.0,8.0,0.0
hsa-miR-1290,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,0.0,9.0,19.0,18.0,12.0,1.0,0.0,10.0,0.0
hsa-miR-1292-5p,0.0,1.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-1295a,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
hsa-miR-1296-5p,1.0,54.0,21.0,58.0,39.0,0.0,0.0,27.0,0.0
hsa-miR-1299,0.0,0.0,1.0,16.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-1301-3p,0.0,8.0,18.0,23.0,11.0,0.0,0.0,4.0,0.0
hsa-miR-1303,0.0,1.0,6.0,3.0,4.0,0.0,0.0,2.0,0.0
