miRNA,SRR17139532,SRR17139533
hsa-let-7a-2-3p,1.0,2.0
hsa-let-7a-3p,31.0,31.0
hsa-let-7a-5p,8024.0,6599.0
hsa-let-7b-3p,4.0,4.0
hsa-let-7b-5p,2616.0,3995.0
hsa-let-7c-5p,99.0,165.0
hsa-let-7d-3p,254.0,235.0
hsa-let-7d-5p,1987.0,1096.0
hsa-let-7e-3p,29.0,31.0
hsa-let-7e-5p,2551.0,2468.0
hsa-let-7f-1-3p,5.0,4.0
hsa-let-7f-2-3p,6.0,5.0
hsa-let-7f-5p,8814.0,6341.0
hsa-let-7g-3p,0.0,3.0
hsa-let-7g-5p,4729.0,5178.0
hsa-let-7i-3p,19.0,19.0
hsa-let-7i-5p,4076.0,5561.0
hsa-miR-1-3p,1.0,3.0
hsa-miR-100-3p,0.0,2.0
hsa-miR-100-5p,3162.0,2791.0
hsa-miR-101-3p,1567.0,3538.0
hsa-miR-101-5p,0.0,3.0
hsa-miR-10393-3p,0.0,1.0
hsa-miR-10394-3p,0.0,3.0
hsa-miR-10395-3p,2.0,0.0
hsa-miR-10396a-3p,2.0,0.0
hsa-miR-10396b-3p,1.0,1.0
hsa-miR-10399-3p,0.0,12.0
hsa-miR-10399-5p,1.0,2.0
hsa-miR-103a-2-5p,6.0,2.0
hsa-miR-103a-3p,6955.0,898.0
hsa-miR-10401-3p,10.0,8.0
hsa-miR-105-5p,0.0,2.0
hsa-miR-10526-3p,2.0,1.0
hsa-miR-10527-5p,3.0,5.0
hsa-miR-106a-5p,0.0,1.0
hsa-miR-106b-3p,348.0,309.0
hsa-miR-106b-5p,212.0,264.0
hsa-miR-107,165.0,152.0
hsa-miR-10a-3p,3.0,2.0
hsa-miR-10a-5p,81.0,147.0
hsa-miR-10b-5p,16.0,43.0
hsa-miR-1180-3p,161.0,99.0
hsa-miR-1185-1-3p,227.0,318.0
hsa-miR-1185-2-3p,19.0,40.0
hsa-miR-1185-5p,13.0,19.0
hsa-miR-1197,292.0,256.0
hsa-miR-122-5p,42.0,93.0
hsa-miR-1226-3p,0.0,5.0
hsa-miR-1226-5p,0.0,2.0
hsa-miR-1228-3p,2.0,2.0
hsa-miR-1229-3p,6.0,1.0
hsa-miR-1234-3p,1.0,0.0
hsa-miR-124-3p,0.0,1.0
hsa-miR-1244,0.0,1.0
hsa-miR-1245a,1.0,0.0
hsa-miR-1246,15.0,52.0
hsa-miR-1247-5p,1.0,5.0
hsa-miR-1248,4.0,0.0
hsa-miR-1249-3p,3.0,3.0
hsa-miR-1255a,1.0,0.0
hsa-miR-125a-3p,45.0,61.0
hsa-miR-125a-5p,1654.0,2104.0
hsa-miR-125b-1-3p,14.0,9.0
hsa-miR-125b-2-3p,0.0,2.0
hsa-miR-125b-5p,527.0,1349.0
hsa-miR-126-3p,78.0,94.0
hsa-miR-126-5p,32.0,65.0
hsa-miR-1260a,7.0,7.0
hsa-miR-1260b,12.0,0.0
hsa-miR-1262,0.0,1.0
hsa-miR-1268a,5.0,0.0
hsa-miR-1268b,0.0,1.0
hsa-miR-127-3p,5587.0,4756.0
hsa-miR-127-5p,269.0,371.0
hsa-miR-1270,6.0,6.0
hsa-miR-1271-5p,23.0,22.0
hsa-miR-1273c,0.0,1.0
hsa-miR-1273h-5p,1.0,1.0
hsa-miR-1275,2.0,4.0
hsa-miR-1277-3p,5.0,16.0
hsa-miR-128-1-5p,0.0,4.0
hsa-miR-128-3p,486.0,71.0
hsa-miR-1283,1.0,10.0
hsa-miR-1284,5.0,2.0
hsa-miR-1285-3p,3.0,8.0
hsa-miR-1285-5p,2.0,4.0
hsa-miR-1287-3p,0.0,1.0
hsa-miR-1287-5p,27.0,54.0
hsa-miR-1289,0.0,1.0
hsa-miR-129-5p,1.0,0.0
hsa-miR-1291,1.0,1.0
hsa-miR-1292-5p,5.0,3.0
hsa-miR-1293,2.0,0.0
hsa-miR-1294,1.0,1.0
hsa-miR-1296-3p,0.0,1.0
hsa-miR-1296-5p,89.0,36.0
hsa-miR-1299,2.0,0.0
hsa-miR-1301-3p,59.0,43.0
hsa-miR-1302,1.0,1.0
hsa-miR-1303,2.0,5.0
hsa-miR-1304-5p,6.0,6.0
hsa-miR-1305,2.0,0.0
hsa-miR-1306-3p,0.0,3.0
hsa-miR-1306-5p,3.0,5.0
hsa-miR-1307-3p,456.0,244.0
hsa-miR-1307-5p,368.0,239.0
hsa-miR-130a-3p,280.0,513.0
hsa-miR-130a-5p,0.0,1.0
hsa-miR-130b-3p,69.0,75.0
hsa-miR-130b-5p,71.0,6.0
hsa-miR-132-3p,98.0,97.0
hsa-miR-132-5p,3.0,4.0
hsa-miR-1323,4.0,31.0
hsa-miR-134-3p,1.0,2.0
hsa-miR-134-5p,342.0,379.0
hsa-miR-1343-3p,2.0,1.0
hsa-miR-135a-5p,2.0,1.0
hsa-miR-135b-3p,8.0,15.0
hsa-miR-135b-5p,922.0,1315.0
hsa-miR-136-3p,1555.0,2766.0
hsa-miR-136-5p,180.0,249.0
hsa-miR-137-3p,138.0,299.0
hsa-miR-137-5p,3.0,0.0
hsa-miR-138-2-3p,1.0,0.0
hsa-miR-138-5p,1.0,3.0
hsa-miR-139-5p,8.0,9.0
hsa-miR-140-3p,139.0,231.0
hsa-miR-140-5p,25.0,68.0
hsa-miR-141-3p,827.0,848.0
hsa-miR-141-5p,5.0,16.0
hsa-miR-142-3p,11.0,23.0
hsa-miR-142-5p,32.0,30.0
hsa-miR-143-3p,46.0,224.0
hsa-miR-143-5p,0.0,2.0
hsa-miR-144-3p,79.0,36.0
hsa-miR-144-5p,37.0,39.0
hsa-miR-145-5p,6.0,10.0
hsa-miR-146a-3p,3.0,5.0
hsa-miR-146a-5p,1524.0,1534.0
hsa-miR-146b-3p,1.0,0.0
hsa-miR-146b-5p,87.0,160.0
hsa-miR-147b-3p,96.0,83.0
hsa-miR-147b-5p,37.0,13.0
hsa-miR-148a-3p,175.0,119.0
hsa-miR-148a-5p,1.0,0.0
hsa-miR-148b-3p,1464.0,1871.0
hsa-miR-148b-5p,8.0,13.0
hsa-miR-149-3p,3.0,3.0
hsa-miR-149-5p,743.0,517.0
