miRNA,SRR20661434,SRR20661435,SRR20661436,SRR20661437,SRR20661438,SRR20661439,SRR20661440,SRR20661441,SRR20661442,SRR20661443,SRR20661444,SRR20661445,SRR20661446,SRR20661447,SRR20661448,SRR20661449,SRR20661456,SRR20661457,SRR20661458,SRR20661459,SRR20661460,SRR20661461,SRR20661462,SRR20661463,SRR20661464,SRR20661465,SRR20661466,SRR20661467,SRR20661468,SRR20661469
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,2.0,1.0,0.0,10.0,5.0,17.0,21.0,10.0,17.0,27.0,44.0,7.0,2.0,9.0,65.0,461.0,25.0,35.0,15.0,10.0,11.0,3.0,6.0,8.0,6.0,11.0,54.0,80.0,135.0,3.0
hsa-let-7a-5p,126.0,129.0,55.0,90.0,283.0,10236.0,20589.0,10239.0,8676.0,12334.0,12331.0,11965.0,873.0,8884.0,38449.0,134168.0,8227.0,8799.0,3357.0,1338.0,5083.0,851.0,206.0,833.0,732.0,9473.0,35022.0,81775.0,29486.0,2447.0
hsa-let-7b-3p,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,7.0,2.0,0.0,2.0,1.0,141.0,9.0,14.0,2.0,3.0,1.0,1.0,9.0,0.0,0.0,5.0,18.0,14.0,13.0,0.0
hsa-let-7b-5p,43.0,26.0,21.0,18.0,137.0,5657.0,12118.0,5111.0,4633.0,9853.0,8761.0,7806.0,1178.0,19773.0,15286.0,41486.0,5701.0,6015.0,2211.0,1990.0,4766.0,736.0,188.0,940.0,2664.0,5487.0,38444.0,100880.0,36805.0,1802.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-let-7c-5p,9.0,20.0,0.0,1.0,26.0,116.0,1737.0,111.0,73.0,1059.0,228.0,681.0,39.0,490.0,374.0,3516.0,211.0,157.0,350.0,53.0,365.0,37.0,61.0,32.0,129.0,602.0,1027.0,1182.0,3611.0,48.0
hsa-let-7d-3p,4.0,0.0,3.0,8.0,4.0,59.0,85.0,55.0,28.0,40.0,104.0,37.0,19.0,34.0,122.0,1482.0,54.0,205.0,44.0,91.0,54.0,11.0,107.0,12.0,17.0,76.0,155.0,352.0,145.0,22.0
hsa-let-7d-5p,15.0,7.0,7.0,12.0,29.0,1159.0,2447.0,1226.0,904.0,1415.0,1747.0,747.0,65.0,260.0,2630.0,5198.0,1092.0,1508.0,589.0,240.0,434.0,128.0,68.0,118.0,108.0,519.0,1955.0,4540.0,2107.0,175.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
