miRNA,SRR18686072,SRR18686073,SRR18686074,SRR18686075,SRR18686076,SRR18686077,SRR18686078,SRR18686079,SRR18686080,SRR18686081,SRR18686082,SRR18686083,SRR18686084,SRR18686085,SRR18686086,SRR18686087,SRR18686088,SRR18686089,SRR18686090,SRR18686091,SRR18686092,SRR18686093,SRR18686094,SRR18686095,SRR18686096,SRR18686097,SRR18686098,SRR18686099,SRR18686100,SRR18686101,SRR18686102,SRR18686103
hsa-let-7a-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,835.0,542.0,405.0,408.0,343.0,661.0,817.0,449.0,1389.0,481.0,110.0,121.0,100.0,120.0,51.0,77.0,41.0,72.0,48.0,91.0,93.0,158.0,379.0,404.0,1397.0,372.0,196.0,308.0,458.0,254.0,118.0,738.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,851.0,552.0,322.0,596.0,213.0,374.0,458.0,323.0,594.0,359.0,112.0,136.0,84.0,153.0,128.0,79.0,40.0,49.0,30.0,66.0,133.0,167.0,549.0,494.0,4203.0,833.0,504.0,444.0,805.0,407.0,210.0,1136.0
hsa-let-7c-5p,139.0,23.0,61.0,16.0,20.0,11.0,20.0,14.0,21.0,56.0,2.0,1.0,5.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,7.0,8.0,304.0,102.0,55.0,2.0,14.0,7.0,2.0,15.0
hsa-let-7d-3p,7.0,0.0,1.0,14.0,2.0,2.0,1.0,5.0,7.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,11.0,6.0,139.0,10.0,7.0,11.0,44.0,27.0,10.0,35.0
hsa-let-7d-5p,18.0,6.0,7.0,13.0,16.0,21.0,15.0,5.0,45.0,27.0,9.0,6.0,0.0,6.0,2.0,4.0,4.0,4.0,3.0,5.0,6.0,3.0,24.0,13.0,89.0,20.0,4.0,21.0,16.0,8.0,6.0,31.0
hsa-let-7e-5p,32.0,20.0,9.0,8.0,10.0,11.0,17.0,13.0,20.0,6.0,3.0,0.0,5.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,8.0,2.0,13.0,25.0,15.0,16.0,20.0,1.0,2.0,23.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,745.0,469.0,344.0,258.0,243.0,454.0,533.0,279.0,1032.0,402.0,106.0,78.0,54.0,108.0,42.0,105.0,38.0,66.0,33.0,67.0,70.0,130.0,260.0,370.0,1238.0,343.0,181.0,193.0,316.0,229.0,155.0,467.0
hsa-let-7g-5p,176.0,115.0,100.0,70.0,61.0,113.0,144.0,94.0,339.0,117.0,22.0,45.0,21.0,47.0,29.0,41.0,14.0,15.0,9.0,29.0,19.0,41.0,108.0,137.0,653.0,92.0,54.0,56.0,101.0,67.0,20.0,166.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,1029.0,518.0,436.0,609.0,349.0,510.0,563.0,379.0,920.0,605.0,161.0,164.0,53.0,174.0,72.0,153.0,39.0,63.0,42.0,122.0,105.0,161.0,522.0,433.0,2855.0,637.0,281.0,251.0,536.0,272.0,208.0,742.0
hsa-miR-1-3p,8.0,0.0,7.0,8.0,53.0,2.0,2.0,8.0,479.0,2.0,1.0,3.0,1.0,1.0,15.0,5.0,4.0,0.0,0.0,3.0,1.0,2.0,10.0,8.0,10.0,23.0,4.0,1.0,6.0,12.0,4.0,3.0
hsa-miR-100-5p,13.0,7.0,7.0,9.0,31.0,7.0,24.0,10.0,375.0,23.0,1.0,6.0,0.0,1.0,26.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,8.0,2.0,9.0,8.0,13.0,10.0,5.0,90.0,2.0,2.0
hsa-miR-101-3p,96.0,47.0,24.0,38.0,27.0,40.0,62.0,28.0,104.0,62.0,16.0,11.0,7.0,22.0,9.0,13.0,4.0,9.0,8.0,10.0,13.0,12.0,73.0,60.0,287.0,46.0,12.0,8.0,43.0,31.0,16.0,71.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
hsa-miR-103a-3p,1.0,4.0,1.0,0.0,3.0,0.0,7.0,0.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,12.0,4.0,4.0,4.0,6.0,13.0,4.0,7.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0
hsa-miR-106b-5p,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
hsa-miR-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,241.0,88.0,104.0,121.0,55.0,52.0,67.0,72.0,416.0,44.0,22.0,17.0,30.0,16.0,72.0,6.0,7.0,13.0,11.0,15.0,29.0,27.0,73.0,80.0,92.0,190.0,107.0,181.0,205.0,39.0,26.0,195.0
hsa-miR-10b-5p,445.0,169.0,213.0,157.0,87.0,167.0,130.0,101.0,236.0,84.0,56.0,37.0,60.0,41.0,9.0,16.0,22.0,20.0,29.0,29.0,46.0,47.0,167.0,97.0,241.0,307.0,266.0,301.0,407.0,69.0,74.0,312.0
hsa-miR-11400,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
