miRNA,SRR25790678,SRR25790679,SRR25790680,SRR25790681,SRR25790683,SRR25790684,SRR25790685,SRR25790686,SRR25790687,SRR25790688,SRR25790689,SRR25790690
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,8.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,816.66,3378.8,1390.79,636.14,2002.88,23019.15,4306.66,5037.67,1492.25,4193.06,1565.63,1366.48
hsa-let-7b-3p,0.0,0.0,0.0,0.0,12.21,16.01,44.43,0.0,0.0,19.78,0.0,0.0
hsa-let-7b-5p,3974.4,14931.28,4607.94,2226.49,5825.46,83869.78,13726.63,24284.73,4464.5,13330.76,6477.15,7081.54
hsa-let-7c-5p,147.78,1781.94,236.89,829.75,561.78,392.33,1186.04,864.08,489.26,608.19,1773.96,626.62
hsa-let-7d-3p,38.89,210.91,183.4,82.97,109.91,128.11,47.85,327.56,110.08,291.73,56.82,264.24
hsa-let-7d-5p,62.22,503.59,114.63,96.8,85.49,1176.98,348.63,175.08,171.24,356.01,101.01,377.48
hsa-let-7e-5p,23.33,25.83,53.49,69.15,73.28,72.06,796.39,864.08,12.23,178.01,0.0,166.09
hsa-let-7f-5p,264.44,1166.44,519.64,359.56,427.44,4715.92,1343.27,2270.34,795.05,983.98,1306.79,792.71
hsa-let-7g-5p,186.66,499.29,259.82,456.36,170.98,1409.17,646.0,869.73,599.34,682.36,587.11,279.34
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,16.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,62.22,361.55,137.55,304.24,500.72,776.65,177.74,321.91,330.25,504.35,688.12,354.83
hsa-miR-1-3p,0.0,8.61,0.0,0.0,0.0,32.03,0.0,169.43,428.1,0.0,0.0,30.2
hsa-miR-100-5p,15.56,21.52,45.85,55.32,36.64,40.03,58.11,118.6,61.16,430.18,353.53,22.65
hsa-miR-101-3p,62.22,47.35,45.85,124.46,109.91,104.09,61.52,321.91,73.39,212.62,277.77,211.39
hsa-miR-103a-3p,7.78,86.08,7.64,13.83,12.21,120.1,41.02,33.89,97.85,4.94,6.31,37.75
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.83,0.0,7.55
hsa-miR-106b-3p,7.78,43.04,22.93,0.0,12.21,120.1,0.0,0.0,12.23,74.17,183.08,7.55
hsa-miR-106b-5p,0.0,12.91,68.78,55.32,0.0,8.01,3.42,28.24,0.0,0.0,0.0,0.0
hsa-miR-107,0.0,12.91,0.0,0.0,0.0,8.01,0.0,0.0,0.0,0.0,44.19,0.0
hsa-miR-10a-5p,70.0,55.95,168.12,55.32,476.3,48.04,625.49,282.38,318.02,321.4,486.1,105.69
hsa-miR-10b-5p,77.78,38.74,382.08,69.15,708.34,80.07,1230.47,1157.76,501.49,771.36,164.14,301.98
