miRNA,SRR15744311,SRR15744312,SRR15744313
hsa-let-7a-2-3p,304.0,120.0,301.0
hsa-let-7a-3p,3281.0,2590.0,3412.0
hsa-let-7a-5p,491210.0,251509.0,504548.0
hsa-let-7b-3p,484.0,544.0,702.0
hsa-let-7b-5p,120883.0,98869.0,137924.0
hsa-let-7c-3p,167.0,88.0,169.0
hsa-let-7c-5p,29317.0,7834.0,34185.0
hsa-let-7d-3p,1456.0,1064.0,1850.0
hsa-let-7d-5p,12097.0,7516.0,14172.0
hsa-let-7e-3p,557.0,377.0,590.0
hsa-let-7e-5p,49977.0,27124.0,49234.0
hsa-let-7f-1-3p,100.0,90.0,145.0
hsa-let-7f-2-3p,79.0,66.0,71.0
hsa-let-7f-5p,491583.0,195702.0,490366.0
hsa-let-7g-3p,1.0,8.0,10.0
hsa-let-7g-5p,310062.0,157410.0,313989.0
hsa-let-7i-3p,454.0,637.0,583.0
hsa-let-7i-5p,1309116.0,1290153.0,1548952.0
hsa-miR-1-3p,25.0,5.0,22.0
hsa-miR-100-3p,43.0,52.0,58.0
hsa-miR-100-5p,1154927.0,379504.0,1151311.0
hsa-miR-101-3p,15771.0,15106.0,14768.0
hsa-miR-101-5p,3.0,3.0,2.0
hsa-miR-10392-5p,1.0,2.0,2.0
hsa-miR-10393-3p,0.0,2.0,0.0
hsa-miR-10394-3p,0.0,0.0,1.0
hsa-miR-10395-3p,35.0,12.0,57.0
hsa-miR-10395-5p,2.0,1.0,0.0
hsa-miR-10396a-3p,3.0,9.0,9.0
hsa-miR-10396a-5p,4.0,1.0,1.0
hsa-miR-10396b-3p,4.0,10.0,12.0
hsa-miR-10396b-5p,3.0,1.0,1.0
hsa-miR-10398-3p,2.0,0.0,0.0
hsa-miR-10399-3p,25.0,30.0,23.0
hsa-miR-10399-5p,0.0,1.0,1.0
hsa-miR-103a-2-5p,5.0,1.0,2.0
hsa-miR-103a-3p,45953.0,8297.0,45368.0
hsa-miR-10401-3p,197.0,92.0,292.0
hsa-miR-10401-5p,9.0,5.0,11.0
hsa-miR-105-5p,1.0,0.0,1.0
hsa-miR-10526-3p,5.0,3.0,0.0
hsa-miR-10527-5p,1.0,1.0,1.0
hsa-miR-106a-5p,16.0,11.0,20.0
hsa-miR-106b-3p,3135.0,4089.0,3199.0
hsa-miR-106b-5p,1352.0,2468.0,1356.0
hsa-miR-107,1305.0,714.0,1079.0
hsa-miR-10a-3p,6321.0,2849.0,6095.0
hsa-miR-10a-5p,253340.0,113052.0,280447.0
hsa-miR-10b-3p,917.0,633.0,822.0
hsa-miR-10b-5p,76528.0,47169.0,84619.0
hsa-miR-11401,1.0,1.0,2.0
hsa-miR-1179,1.0,4.0,2.0
hsa-miR-1180-3p,262.0,306.0,343.0
hsa-miR-1180-5p,1.0,1.0,0.0
hsa-miR-1185-1-3p,875.0,682.0,1175.0
hsa-miR-1185-2-3p,244.0,219.0,313.0
hsa-miR-1185-5p,50.0,21.0,58.0
hsa-miR-1193,3.0,1.0,2.0
hsa-miR-1197,265.0,103.0,289.0
hsa-miR-12121,1.0,0.0,1.0
hsa-miR-12130,2.0,0.0,0.0
hsa-miR-12135,8.0,2.0,1.0
hsa-miR-12136,153.0,10.0,163.0
hsa-miR-122-5p,211.0,1.0,195.0
hsa-miR-1226-3p,10.0,8.0,12.0
hsa-miR-1226-5p,2.0,0.0,0.0
hsa-miR-1227-3p,0.0,3.0,1.0
hsa-miR-1228-3p,41.0,27.0,65.0
hsa-miR-1228-5p,4.0,2.0,6.0
hsa-miR-1229-3p,1.0,0.0,3.0
hsa-miR-122b-3p,0.0,0.0,1.0
hsa-miR-122b-5p,0.0,0.0,2.0
hsa-miR-1231,4.0,1.0,2.0
hsa-miR-1233-3p,2.0,0.0,3.0
hsa-miR-1234-3p,2.0,0.0,3.0
hsa-miR-1237-5p,0.0,0.0,5.0
hsa-miR-124-3p,21.0,2.0,23.0
hsa-miR-124-5p,45.0,3.0,56.0
hsa-miR-1243,5.0,2.0,6.0
hsa-miR-1244,1.0,0.0,0.0
hsa-miR-1245a,5.0,7.0,11.0
hsa-miR-1245b-5p,0.0,0.0,2.0
hsa-miR-1246,142.0,349.0,224.0
hsa-miR-1248,27.0,30.0,43.0
hsa-miR-1249-3p,36.0,80.0,58.0
hsa-miR-1249-5p,0.0,2.0,1.0
hsa-miR-1255a,64.0,101.0,74.0
hsa-miR-1255b-5p,14.0,16.0,7.0
hsa-miR-1256,3.0,2.0,3.0
hsa-miR-1257,4.0,0.0,0.0
hsa-miR-125a-3p,401.0,506.0,447.0
hsa-miR-125a-5p,127736.0,61771.0,159281.0
hsa-miR-125b-1-3p,14390.0,10699.0,17144.0
hsa-miR-125b-2-3p,71.0,44.0,95.0
hsa-miR-125b-5p,560456.0,220792.0,556699.0
hsa-miR-126-3p,1903.0,765.0,2199.0
hsa-miR-126-5p,57.0,29.0,55.0
hsa-miR-1260a,0.0,2.0,0.0
hsa-miR-1260b,231.0,846.0,330.0
hsa-miR-1261,0.0,0.0,1.0
hsa-miR-1262,20.0,16.0,20.0
hsa-miR-1264,0.0,0.0,1.0
hsa-miR-1267,3.0,2.0,12.0
hsa-miR-1268a,179.0,11.0,385.0
hsa-miR-1268b,109.0,608.0,131.0
hsa-miR-1269a,2.0,0.0,1.0
hsa-miR-127-3p,109071.0,49978.0,119307.0
hsa-miR-127-5p,1136.0,1051.0,1327.0
hsa-miR-1270,11.0,11.0,2.0
hsa-miR-1271-3p,9.0,14.0,12.0
hsa-miR-1271-5p,1207.0,658.0,1114.0
hsa-miR-1273c,12.0,11.0,18.0
hsa-miR-1273h-5p,4.0,0.0,1.0
hsa-miR-1275,134.0,215.0,150.0
hsa-miR-1276,3.0,12.0,0.0
hsa-miR-1277-3p,13.0,19.0,12.0
hsa-miR-1278,106.0,77.0,103.0
hsa-miR-128-1-5p,47.0,37.0,30.0
hsa-miR-128-3p,11783.0,8815.0,14194.0
hsa-miR-1283,1.0,0.0,1.0
hsa-miR-1284,16.0,18.0,12.0
hsa-miR-1285-3p,105.0,126.0,127.0
hsa-miR-1285-5p,22.0,24.0,31.0
hsa-miR-1287-3p,1.0,0.0,2.0
hsa-miR-1287-5p,105.0,83.0,131.0
hsa-miR-1288-3p,1.0,1.0,1.0
hsa-miR-1289,2.0,0.0,3.0
hsa-miR-129-1-3p,15.0,15.0,13.0
hsa-miR-129-2-3p,432.0,231.0,465.0
hsa-miR-129-5p,3064.0,2695.0,3469.0
hsa-miR-1291,55.0,33.0,51.0
hsa-miR-1292-5p,27.0,31.0,38.0
hsa-miR-1293,13.0,30.0,22.0
hsa-miR-1294,29.0,33.0,22.0
hsa-miR-1295a,1.0,0.0,0.0
hsa-miR-1296-3p,5.0,2.0,5.0
hsa-miR-1296-5p,857.0,641.0,690.0
hsa-miR-1297,3.0,5.0,0.0
hsa-miR-1298-3p,1.0,4.0,2.0
hsa-miR-1298-5p,54.0,12.0,49.0
hsa-miR-1299,5.0,8.0,13.0
hsa-miR-1301-3p,68.0,87.0,103.0
hsa-miR-1302,0.0,10.0,1.0
hsa-miR-1303,272.0,151.0,276.0
hsa-miR-1304-3p,0.0,4.0,0.0
hsa-miR-1304-5p,92.0,101.0,118.0
hsa-miR-1305,0.0,6.0,2.0
hsa-miR-1306-3p,7.0,6.0,10.0
hsa-miR-1306-5p,41.0,31.0,40.0
hsa-miR-1307-3p,7979.0,5566.0,10323.0
hsa-miR-1307-5p,121.0,235.0,173.0
hsa-miR-130a-3p,217.0,246.0,171.0
hsa-miR-130a-5p,28.0,36.0,22.0
hsa-miR-130b-3p,94.0,101.0,68.0
