miRNA,SRR18568637,SRR18568638,SRR18568639,SRR18568640,SRR18568641,SRR18568642,SRR18568643,SRR18568644,SRR18568645,SRR18568646,SRR18568647,SRR18568648,SRR18568649,SRR18568650,SRR18568651,SRR18568652,SRR18568653,SRR18568654,SRR18568655,SRR18568656,SRR18568657,SRR18568658,SRR18568659,SRR18568660,SRR18568661,SRR18568662,SRR18568663,SRR18568668,SRR18568669
hsa-let-7a-5p,104.0,106.0,133.0,244.0,89.0,102.0,31.0,7.0,27.0,31.0,8.0,85.0,210.0,44.0,25.0,24.0,61.0,17.0,25.0,25.0,23.0,51.0,9.0,32.0,25.0,63.0,40.0,16.0,39.0
hsa-let-7b-5p,3163.0,3559.0,3473.0,9987.0,9289.0,3455.0,1353.0,1857.0,423.0,3997.0,2662.0,1240.0,4038.0,3845.0,1653.0,2149.0,1627.0,1002.0,313.0,965.0,2163.0,1267.0,470.0,1849.0,1074.0,4101.0,1138.0,814.0,840.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,8.0,1.0,1.0,6.0,44.0,0.0,0.0,25.0,0.0,73.0,19.0,4.0,8.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
hsa-let-7e-5p,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,20.0,23.0,30.0,66.0,118.0,14.0,16.0,26.0,2.0,36.0,5.0,13.0,89.0,26.0,19.0,11.0,11.0,5.0,11.0,15.0,27.0,10.0,8.0,19.0,4.0,26.0,17.0,13.0,9.0
hsa-let-7g-5p,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0
hsa-let-7i-5p,9.0,0.0,0.0,83.0,59.0,13.0,7.0,13.0,3.0,15.0,8.0,4.0,14.0,53.0,6.0,14.0,8.0,6.0,0.0,32.0,32.0,15.0,16.0,24.0,12.0,34.0,22.0,16.0,4.0
hsa-miR-1-3p,3.0,0.0,0.0,15.0,18.0,34.0,13.0,12.0,25.0,15.0,41.0,26.0,22.0,24.0,36.0,12.0,19.0,7.0,7.0,3.0,0.0,3.0,2.0,1.0,3.0,3.0,0.0,2.0,1.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-101-3p,606.0,827.0,1725.0,1495.0,3736.0,1352.0,412.0,484.0,331.0,2215.0,611.0,259.0,1001.0,1598.0,1031.0,207.0,426.0,256.0,50.0,2069.0,825.0,1349.0,366.0,659.0,1173.0,4554.0,922.0,944.0,181.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,2990.0,2315.0,3605.0,10143.0,15890.0,5709.0,2180.0,3601.0,1165.0,5485.0,967.0,1144.0,5178.0,5274.0,2798.0,1374.0,2215.0,1333.0,212.0,7331.0,6703.0,4909.0,1401.0,5253.0,2409.0,12205.0,6067.0,2715.0,1740.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
