miRNA,SRR25411195,SRR25411196,SRR25411197,SRR25411198,SRR25411199,SRR25411200,SRR25411201,SRR25411202,SRR25411203,SRR25411204,SRR25411205,SRR25411206,SRR25411207,SRR25411208,SRR25411209,SRR25411210
hsa-let-7a-5p,65.56,115.62,1374.9,227.36,13.55,891.66,1502.37,2471.4,36.19,656.6,545.23,76.99,1927.83,4870.99,1902.98,19969.93
hsa-let-7b-5p,8107.7,110829.79,48846.24,4538.8,2646.84,12219.43,33574.24,26548.07,7144.96,8798.43,5384.68,14003.27,32614.63,83380.29,15651.25,185607.4
hsa-let-7c-3p,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,454.73,6165.98,8.4,26.87,143.44,138.82,10.77,85.93,345.96,37.11,21.77,1492.3,5.84,151.51,105.57,832.22
hsa-let-7d-3p,0.0,17.31,23.61,0.0,0.0,0.0,0.0,0.0,0.0,39.02,0.0,0.0,0.0,0.0,0.27,0.0
hsa-let-7d-5p,0.0,0.0,2.1,0.5,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.03,0.0,0.62,0.0,1.33
hsa-let-7e-5p,3.49,18.0,11.02,2.99,1.4,2.14,17.06,21.48,0.0,2.85,15.88,4.13,9.73,7.39,4.04,7.31
hsa-let-7f-5p,11.86,186.24,180.52,127.36,70.08,92.37,234.31,101.15,100.82,139.88,172.37,186.54,457.16,44.96,17.51,554.37
hsa-let-7g-5p,0.0,0.0,0.52,0.0,0.0,0.0,8.53,17.9,12.06,0.0,0.0,0.52,0.0,1.23,1.08,0.66
hsa-let-7i-5p,1.39,66.46,81.34,0.5,19.16,1.07,37.71,29.54,24.13,59.0,42.18,121.43,0.97,93.61,84.03,301.11
hsa-miR-1-3p,0.0,189.7,9.97,11.44,0.0,0.0,0.0,0.0,0.0,18.08,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.5,0.0,0.0,34.11,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.27,0.0
hsa-miR-101-3p,250.38,1778.62,1184.93,269.65,360.7,603.34,1251.45,2018.47,227.05,767.94,298.92,964.21,633.21,131.18,82.68,961.17
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,0.0
hsa-miR-103a-3p,1820.31,2707.74,1390.64,1082.59,793.82,1867.67,3113.82,5375.14,1011.6,2336.16,1560.84,6278.22,1678.83,1258.24,780.21,4945.45
