miRNA,SRR5786046
hsa-miR-21-5p,262568
hsa-miR-92a-3p,23390
hsa-miR-26a-5p,16022
hsa-miR-200c-3p,19589
hsa-miR-148a-3p,13264
hsa-miR-192-5p,29590
hsa-miR-100-5p,17481
hsa-miR-20a-5p,11561
hsa-miR-200b-3p,24389
hsa-miR-200a-3p,14401
hsa-let-7f-5p,11610
hsa-miR-191-5p,9862
hsa-let-7g-5p,7610
hsa-miR-429,7012
hsa-let-7i-5p,6537
hsa-miR-27b-3p,12863
hsa-miR-10a-5p,13615
hsa-miR-1246,11518
hsa-miR-17-5p,4718
hsa-let-7a-5p,4627
hsa-miR-27a-3p,4299
hsa-miR-93-5p,4324
hsa-miR-7-5p,6743
hsa-miR-24-3p,4158
hsa-miR-181a-5p,6180
hsa-miR-182-5p,4524
hsa-miR-30d-5p,5284
hsa-miR-378a-3p,3367
hsa-miR-9-5p,4216
hsa-miR-25-3p,2834
hsa-miR-194-5p,3173
hsa-miR-22-3p,1924
hsa-miR-30e-5p,2304
hsa-miR-19b-3p,1936
hsa-miR-183-5p,2858
hsa-miR-151a-3p,2593
hsa-miR-532-5p,1539
hsa-miR-29a-3p,4502
hsa-miR-128-3p,1843
hsa-miR-23a-3p,3248
hsa-miR-320a-3p,3184
hsa-miR-221-3p,2438
hsa-let-7b-5p,1811
hsa-miR-3960,1702
hsa-miR-185-5p,1117
hsa-miR-499a-5p,1157
hsa-miR-135b-5p,990
hsa-miR-101-3p,2236
hsa-miR-340-5p,800
hsa-miR-181b-5p,2376
hsa-miR-148b-3p,848
hsa-miR-26b-5p,1040
hsa-miR-375-3p,860
hsa-miR-30c-5p,969
hsa-miR-186-5p,1217
hsa-miR-200a-5p,977
hsa-miR-372-3p,685
hsa-miR-16-5p,1044
hsa-miR-9-3p,857
hsa-let-7d-5p,562
hsa-miR-140-5p,471
hsa-miR-196a-5p,910
hsa-miR-95-3p,585
hsa-miR-96-5p,454
hsa-miR-222-3p,1540
hsa-miR-125b-5p,595
hsa-miR-629-5p,621
hsa-miR-30b-5p,413
hsa-miR-98-5p,457
hsa-miR-10396b-3p,490
hsa-mir-3960-3p,352
hsa-miR-106b-3p,528
hsa-miR-106b-5p,583
hsa-miR-425-5p,1243
hsa-miR-18a-5p,398
hsa-miR-320b,397
hsa-miR-451a,312
hsa-miR-361-5p,437
hsa-miR-99b-5p,339
hsa-miR-28-3p,568
hsa-miR-142-3p,601
hsa-miR-140-3p,1223
hsa-miR-19a-3p,407
hsa-miR-142-5p,733
hsa-miR-193b-3p,264
hsa-miR-10a-3p,299
hsa-miR-23b-3p,615
hsa-miR-126-3p,351
hsa-miR-1307-3p,641
hsa-miR-197-3p,243
hsa-miR-30e-3p,331
hsa-miR-196b-5p,465
hsa-miR-4497,469
hsa-miR-32-5p,261
hsa-miR-423-5p,357
hsa-miR-423-3p,521
hsa-miR-4508,421
hsa-miR-21-3p,294
hsa-miR-146b-5p,326
hsa-miR-374a-5p,227
hsa-miR-15b-5p,227
hsa-miR-203a-3p,395
hsa-miR-769-5p,320
hsa-miR-135a-5p,303
hsa-miR-132-3p,209
hsa-miR-1302,143
hsa-miR-503-5p,239
hsa-miR-660-5p,179
hsa-miR-92b-3p,230
hsa-miR-28-5p,242
hsa-miR-548o-3p,143
hsa-miR-484,207
hsa-miR-141-3p,333
hsa-miR-1247-5p,214
hsa-miR-1307-5p,216
hsa-miR-3615,159
hsa-miR-582-3p,182
hsa-miR-10396a-3p,222
hsa-let-7d-3p,193
hsa-miR-941,191
hsa-miR-27a-5p,129
hsa-miR-320a-5p,157
hsa-miR-1180-3p,212
hsa-miR-181a-2-3p,167
hsa-miR-615-3p,221
hsa-miR-335-3p,188
hsa-miR-10401-3p,1032
hsa-miR-139-5p,119
hsa-miR-125a-5p,128
hsa-miR-483-5p,171
hsa-miR-200b-5p,229
hsa-miR-483-3p,206
hsa-miR-3195,159
hsa-miR-320e,91
hsa-miR-4516,195
hsa-miR-584-5p,133
hsa-miR-450a-5p,139
hsa-miR-210-3p,120
hsa-miR-3665,176
hsa-miR-107,106
hsa-miR-361-3p,236
hsa-miR-424-5p,95
hsa-miR-625-3p,141
hsa-mir-3648-1-5p,484
hsa-miR-148a-5p,82
hsa-miR-31-5p,140
hsa-miR-24-2-5p,131
hsa-miR-181d-5p,221
hsa-miR-221-5p,167
hsa-miR-425-3p,163
hsa-miR-99a-5p,128
hsa-miR-345-5p,114
hsa-miR-16-2-3p,121
hsa-miR-335-5p,127
hsa-miR-146a-5p,92
hsa-miR-374a-3p,67
hsa-miR-3182,61
hsa-miR-4650-3p,57
hsa-miR-3065-5p,65
hsa-miR-3613-5p,57
hsa-miR-378c,109
hsa-miR-339-3p,96
hsa-miR-224-5p,106
hsa-miR-339-5p,110
hsa-miR-152-3p,97
hsa-miR-29b-3p,121
hsa-miR-378d,66
hsa-let-7e-5p,61
hsa-miR-652-3p,81
hsa-miR-9901,155
hsa-miR-103a-3p,62
hsa-miR-4488,132
hsa-miR-15b-3p,64
hsa-miR-149-5p,146
hsa-miR-148b-5p,72
hsa-miR-1291,145
hsa-miR-374b-5p,48
hsa-miR-576-3p,61
hsa-miR-7704,72
hsa-miR-424-3p,74
hsa-miR-330-3p,80
hsa-miR-590-3p,57
hsa-miR-549a-3p,56
hsa-miR-502-3p,53
hsa-miR-22-5p,45
hsa-miR-151a-5p,66
hsa-miR-450b-5p,52
hsa-miR-4326,48
hsa-miR-1296-5p,80
hsa-miR-215-5p,100
hsa-miR-421,77
hsa-miR-574-3p,44
hsa-miR-181a-3p,65
hsa-miR-181c-3p,56
hsa-miR-30a-5p,43
hsa-miR-454-3p,54
hsa-miR-328-3p,41
hsa-let-7a-3p,77
hsa-miR-548k,31
hsa-miR-4791,38
hsa-miR-320c,55
hsa-miR-7110-3p,62
hsa-miR-150-5p,33
hsa-miR-3934-5p,47
hsa-miR-552-3p,48
hsa-miR-589-5p,35
hsa-miR-10b-5p,44
hsa-miR-7-1-3p,37
hsa-miR-501-3p,49
hsa-miR-500a-3p,82
hsa-miR-320d,37
hsa-miR-132-5p,55
hsa-miR-1303,53
hsa-miR-664a-3p,43
hsa-miR-324-5p,41
hsa-miR-1285-3p,30
hsa-miR-455-5p,42
hsa-miR-1-3p,25
hsa-miR-381-3p,22
hsa-miR-18a-3p,47
hsa-miR-1278,22
hsa-miR-141-5p,33
hsa-miR-651-5p,28
hsa-miR-3158-3p,22
hsa-miR-1248,77
hsa-let-7c-5p,42
hsa-miR-130b-5p,43
hsa-miR-92a-1-5p,22
hsa-miR-27b-5p,25
hsa-miR-766-3p,25
hsa-miR-542-3p,53
hsa-miR-576-5p,25
hsa-miR-99b-3p,31
hsa-miR-3065-3p,20
hsa-miR-17-3p,43
hsa-miR-582-5p,25
hsa-miR-126-5p,16
hsa-miR-1252-5p,32
hsa-miR-3648,353
hsa-miR-340-3p,20
hsa-miR-188-5p,19
hsa-miR-7706,36
hsa-miR-181c-5p,42
hsa-mir-3648-2-5p,310
hsa-miR-671-5p,28
hsa-miR-374b-3p,17
hsa-miR-548e-3p,35
hsa-miR-29c-3p,20
hsa-miR-532-3p,23
hsa-miR-93-3p,30
hsa-miR-362-5p,18
hsa-miR-184,15
hsa-miR-10401-5p,52
hsa-miR-301b-3p,13
hsa-miR-6831-3p,12
hsa-miR-130b-3p,41
hsa-miR-196a-3p,23
hsa-miR-31-3p,21
hsa-miR-1287-5p,20
hsa-miR-3178,14
hsa-miR-199a-5p,11
hsa-miR-125b-1-3p,17
hsa-miR-135a-2-3p,29
hsa-mir-466-3p,15
hsa-miR-561-5p,16
hsa-miR-452-5p,17
hsa-miR-25-5p,28
hsa-let-7i-3p,15
hsa-miR-548f-3p,15
hsa-miR-153-3p,19
hsa-miR-206,11
hsa-miR-222-5p,18
hsa-miR-199b-5p,15
hsa-miR-548bc,20
hsa-miR-4449,45
hsa-miR-32-3p,15
hsa-miR-1304-5p,14
hsa-miR-1268b,14
hsa-miR-373-3p,9
hsa-miR-3651,15
hsa-miR-190b-5p,13
hsa-miR-500a-5p,9
hsa-let-7b-3p,16
hsa-miR-331-5p,20
hsa-miR-6516-3p,22
hsa-miR-505-3p,30
hsa-miR-641,30
hsa-miR-552-5p,11
hsa-miR-6801-5p,17
hsa-miR-185-3p,12
hsa-miR-33a-5p,18
hsa-miR-15a-5p,23
hsa-let-7f-1-3p,10
hsa-miR-135b-3p,18
hsa-miR-365b-3p,14
hsa-miR-194-3p,14
hsa-miR-625-5p,14
hsa-mir-663a-5p,48
hsa-mir-4262-3p,22
hsa-miR-549a-5p,12
hsa-miR-466,8
hsa-miR-454-5p,8
hsa-miR-106a-5p,9
hsa-miR-378a-5p,11
hsa-miR-4492,14
hsa-miR-2110,13
hsa-miR-4746-5p,11
hsa-miR-199a-3p,19
hsa-miR-3613-3p,7
hsa-miR-744-5p,6
hsa-miR-671-3p,21
hsa-miR-30d-3p,18
hsa-miR-5695,6
hsa-miR-6818-3p,6
hsa-miR-506-5p,6
hsa-miR-301a-3p,7
hsa-miR-411-5p,10
hsa-miR-663a,75
hsa-mir-559-5p,6
hsa-miR-574-5p,13
hsa-miR-330-5p,11
hsa-miR-363-3p,12
hsa-miR-7974,5
hsa-miR-590-5p,6
hsa-miR-4286,10
hsa-mir-1291-5p,16
hsa-miR-191-3p,11
hsa-miR-125a-3p,7
hsa-miR-379-5p,6
hsa-miR-10396a-5p,7
hsa-miR-3177-3p,5
hsa-miR-365a-3p,9
hsa-miR-1285-5p,22
hsa-miR-29a-5p,7
hsa-miR-200c-5p,6
hsa-miR-501-5p,11
hsa-miR-301a-5p,9
hsa-miR-548d-5p,4
hsa-miR-493-5p,4
hsa-miR-3200-3p,8
hsa-miR-4466,22
hsa-miR-203b-3p,5
hsa-miR-6125,11
hsa-miR-409-3p,8
hsa-miR-942-5p,6
hsa-miR-326,9
hsa-miR-144-3p,7
hsa-miR-204-5p,5
hsa-miR-324-3p,9
hsa-miR-3916,11
hsa-miR-127-3p,4
hsa-miR-218-5p,6
hsa-miR-219a-1-3p,5
hsa-miR-9985,4
hsa-miR-9903,6
hsa-miR-29c-5p,8
hsa-miR-4485-3p,17
hsa-miR-33a-3p,7
hsa-miR-3929,8
hsa-mir-6089-2-3p,3
hsa-miR-1271-5p,6
hsa-miR-548u,5
hsa-miR-12136,19
hsa-miR-1273c,3
hsa-mir-12136-5p,53
hsa-miR-3196,5
hsa-miR-371a-5p,6
hsa-miR-495-3p,4
hsa-miR-3184-3p,4
hsa-miR-143-3p,4
hsa-miR-4661-5p,3
hsa-mir-3159-5p,10
hsa-miR-550a-5p,6
hsa-miR-10395-3p,16
hsa-miR-940,10
hsa-miR-579-3p,3
hsa-miR-518e-3p,6
hsa-miR-24-1-5p,8
hsa-miR-654-3p,5
hsa-miR-494-3p,3
hsa-miR-19b-1-5p,4
hsa-miR-664a-5p,6
hsa-miR-1292-5p,10
hsa-miR-1843,15
hsa-miR-1266-5p,3
hsa-miR-1296-3p,3
hsa-miR-20a-3p,6
hsa-miR-629-3p,5
hsa-miR-30c-1-3p,5
hsa-miR-212-5p,7
hsa-miR-579-5p,4
hsa-miR-663b,22
hsa-miR-570-3p,4
hsa-miR-548ar-3p,3
hsa-miR-500b-5p,7
hsa-miR-155-5p,5
hsa-miR-4798-5p,4
hsa-miR-642a-3p,2
hsa-miR-6132,2
hsa-miR-3664-3p,3
hsa-miR-659-5p,7
hsa-miR-371a-3p,3
hsa-miR-874-3p,4
hsa-miR-10399-3p,3
hsa-mir-3155a-3p,5
hsa-miR-376a-3p,2
hsa-miR-1185-1-3p,2
hsa-miR-6720-3p,4
hsa-miR-2276-3p,2
hsa-miR-548t-5p,2
hsa-miR-627-3p,3
hsa-miR-30b-3p,4
hsa-miR-362-3p,3
hsa-miR-183-3p,9
hsa-miR-433-3p,2
hsa-miR-597-3p,4
hsa-miR-365a-5p,5
hsa-miR-133a-3p,3
hsa-mir-599-3p,4
hsa-miR-3127-5p,2
hsa-miR-196a-1-3p,3
hsa-miR-3140-3p,2
hsa-miR-3124-5p,2
hsa-miR-369-3p,2
hsa-miR-370-3p,3
hsa-miR-4690-3p,4
hsa-miR-1275,5
hsa-miR-3679-5p,5
hsa-miR-486-3p,2
hsa-miR-5582-3p,4
hsa-miR-411-3p,2
hsa-miR-338-3p,2
hsa-miR-331-3p,4
hsa-miR-4796-5p,3
hsa-mir-1303-3p,4
hsa-miR-1269a,2
hsa-miR-6866-5p,3
hsa-miR-192-3p,5
hsa-miR-378e,2
hsa-miR-9983-3p,3
