miRNA,SRR5756187,SRR5756189,SRR5756191,SRR5756193,SRR5756195,SRR5756197,SRR5756199,SRR5756201,SRR5756203,SRR5756205,SRR5756207,SRR5756209,SRR5756211,SRR5756213,SRR5756215,SRR5756217,SRR5756219,SRR5756221,SRR5756223,SRR5756225,SRR5756227,SRR5756229,SRR5756231,SRR5756233,SRR5756235,SRR5756237,SRR5756239,SRR5756241,SRR5756243,SRR5756245,SRR5756247,SRR5756249,SRR5756251,SRR5756253,SRR5756255,SRR5756256,SRR5756257,SRR5756258
hsa-let-7a-3p,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,84.0,1.0,20.0,29.0,30.0,102.0,312.0,150.0,176.0,329.0,199.0,294.0,209.0,190.0,184.0,95.0,156.0,188.0,133.0,109.0,177.0,365.0,161.0,9.0,54.0,110.0,58.0,100.0,118.0,132.0,87.0,26.0,208.0,33.0,1.0,2.0,1.0,0.0
hsa-let-7b-3p,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,19.0,0.0,2.0,4.0,1.0,10.0,19.0,21.0,18.0,18.0,17.0,13.0,27.0,20.0,6.0,11.0,5.0,6.0,14.0,7.0,17.0,30.0,19.0,1.0,1.0,21.0,10.0,21.0,11.0,21.0,8.0,2.0,22.0,9.0,0.0,1.0,0.0,0.0
hsa-let-7c-5p,17.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,9.0,4.0,4.0,3.0,4.0,1.0,6.0,18.0,2.0,5.0,3.0,1.0,8.0,1.0,0.0,2.0,54.0,17.0,35.0,27.0,36.0,32.0,14.0,50.0,12.0,0.0,0.0,0.0,0.0
hsa-let-7d-3p,2.0,0.0,3.0,2.0,1.0,3.0,12.0,2.0,19.0,15.0,16.0,8.0,17.0,6.0,6.0,9.0,7.0,10.0,17.0,13.0,12.0,10.0,12.0,1.0,7.0,10.0,3.0,0.0,2.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,1.0,0.0,2.0,6.0,13.0,24.0,78.0,13.0,33.0,82.0,52.0,54.0,54.0,26.0,31.0,37.0,45.0,35.0,19.0,29.0,29.0,81.0,28.0,0.0,12.0,5.0,3.0,7.0,7.0,2.0,3.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,2.0,0.0,5.0,0.0,0.0,2.0,13.0,9.0,6.0,9.0,15.0,10.0,13.0,12.0,12.0,5.0,7.0,2.0,3.0,9.0,13.0,9.0,16.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,51.0,2.0,27.0,57.0,91.0,206.0,640.0,205.0,326.0,720.0,363.0,564.0,567.0,325.0,450.0,315.0,429.0,435.0,305.0,303.0,411.0,954.0,357.0,14.0,97.0,57.0,32.0,48.0,80.0,67.0,53.0,21.0,226.0,16.0,0.0,1.0,0.0,0.0
hsa-let-7g-5p,24.0,2.0,3.0,10.0,15.0,61.0,113.0,34.0,43.0,86.0,48.0,99.0,63.0,55.0,55.0,50.0,51.0,55.0,64.0,48.0,52.0,91.0,39.0,2.0,12.0,29.0,14.0,26.0,30.0,34.0,22.0,4.0,73.0,5.0,0.0,0.0,0.0,1.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,6.0,1.0,29.0,24.0,37.0,72.0,217.0,69.0,121.0,239.0,124.0,179.0,173.0,100.0,94.0,81.0,100.0,121.0,95.0,99.0,113.0,261.0,87.0,4.0,19.0,19.0,7.0,7.0,6.0,5.0,5.0,4.0,59.0,1.0,1.0,1.0,2.0,1.0
hsa-miR-100-5p,20.0,6.0,16.0,9.0,11.0,16.0,16.0,17.0,7.0,13.0,7.0,16.0,4.0,8.0,4.0,1.0,4.0,0.0,3.0,1.0,10.0,7.0,6.0,7.0,24.0,27.0,18.0,25.0,22.0,30.0,29.0,7.0,72.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,35.0,6.0,23.0,31.0,34.0,92.0,159.0,73.0,53.0,108.0,59.0,180.0,87.0,82.0,64.0,26.0,56.0,31.0,33.0,56.0,89.0,86.0,63.0,16.0,20.0,74.0,33.0,43.0,39.0,66.0,50.0,8.0,104.0,6.0,0.0,0.0,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
