miRNA,SRR10294433,SRR10294434,SRR10294435,SRR10294436
hsa-let-7a-2-3p,0.0,1.0,0.0,0.0
hsa-let-7a-3p,15.0,15.0,4.0,12.0
hsa-let-7a-5p,1982.0,2024.0,1000.0,1503.0
hsa-let-7b-3p,5.0,4.0,1.0,4.0
hsa-let-7b-5p,1654.0,2114.0,1160.0,1241.0
hsa-let-7c-5p,56.0,130.0,36.0,82.0
hsa-let-7d-3p,61.0,50.0,16.0,38.0
hsa-let-7d-5p,304.0,295.0,151.0,261.0
hsa-let-7e-5p,52.0,63.0,14.0,49.0
hsa-let-7f-1-3p,2.0,1.0,0.0,2.0
hsa-let-7f-2-3p,0.0,2.0,0.0,3.0
hsa-let-7f-5p,1930.0,1554.0,969.0,1980.0
hsa-let-7g-5p,1542.0,1191.0,685.0,1777.0
hsa-let-7i-3p,0.0,1.0,0.0,0.0
hsa-let-7i-5p,1552.0,2248.0,608.0,3008.0
hsa-miR-1-3p,20.0,17.0,8.0,14.0
hsa-miR-100-5p,566.0,389.0,15.0,377.0
hsa-miR-101-3p,43.0,30.0,14.0,63.0
hsa-miR-10392-3p,1.0,0.0,0.0,0.0
hsa-miR-10394-3p,2.0,0.0,3.0,0.0
hsa-miR-10395-3p,0.0,1.0,3.0,2.0
hsa-miR-10396a-3p,2.0,0.0,1.0,2.0
hsa-miR-10396a-5p,1.0,0.0,0.0,2.0
hsa-miR-10396b-3p,3.0,0.0,0.0,1.0
hsa-miR-10397-3p,0.0,1.0,0.0,0.0
hsa-miR-10399-3p,2.0,1.0,0.0,10.0
hsa-miR-103a-3p,18.0,29.0,29.0,4.0
hsa-miR-10401-3p,43.0,49.0,43.0,21.0
hsa-miR-10401-5p,3.0,6.0,1.0,2.0
hsa-miR-105-5p,4.0,1.0,0.0,1.0
hsa-miR-10527-5p,3.0,1.0,0.0,0.0
hsa-miR-106b-3p,104.0,82.0,25.0,96.0
hsa-miR-106b-5p,32.0,23.0,4.0,43.0
hsa-miR-107,2.0,2.0,2.0,8.0
hsa-miR-10a-3p,73.0,41.0,24.0,42.0
hsa-miR-10a-5p,3076.0,1486.0,1350.0,1587.0
hsa-miR-10b-3p,4.0,1.0,3.0,0.0
hsa-miR-10b-5p,140.0,112.0,66.0,89.0
hsa-miR-1180-3p,15.0,16.0,4.0,19.0
hsa-miR-1185-1-3p,4.0,1.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,2.0
hsa-miR-1197,1.0,0.0,0.0,0.0
hsa-miR-122-5p,205.0,811.0,102.0,92.0
hsa-miR-1225-3p,0.0,0.0,0.0,2.0
hsa-miR-1226-5p,0.0,0.0,2.0,0.0
hsa-miR-1236-5p,0.0,1.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,1.0
hsa-miR-1246,595.0,686.0,337.0,576.0
hsa-miR-1247-3p,0.0,0.0,0.0,2.0
hsa-miR-1247-5p,0.0,2.0,0.0,0.0
hsa-miR-1248,27.0,7.0,10.0,15.0
hsa-miR-1249-3p,1.0,0.0,0.0,0.0
hsa-miR-1250-5p,3.0,1.0,0.0,0.0
hsa-miR-1255a,2.0,0.0,0.0,1.0
hsa-miR-125a-3p,0.0,1.0,0.0,1.0
hsa-miR-125a-5p,32.0,70.0,7.0,51.0
hsa-miR-125b-1-3p,1.0,8.0,0.0,2.0
hsa-miR-125b-5p,24.0,30.0,0.0,18.0
hsa-miR-126-3p,130.0,140.0,45.0,120.0
hsa-miR-126-5p,1.0,2.0,0.0,6.0
hsa-miR-1260b,2.0,0.0,0.0,0.0
hsa-miR-1268a,5.0,8.0,0.0,4.0
hsa-miR-1268b,1.0,0.0,0.0,1.0
hsa-miR-1269a,1.0,0.0,0.0,0.0
hsa-miR-127-3p,258.0,97.0,1.0,95.0
hsa-miR-1270,2.0,0.0,0.0,0.0
hsa-miR-1271-5p,1.0,0.0,0.0,0.0
hsa-miR-1273h-5p,1.0,0.0,0.0,1.0
hsa-miR-1275,1.0,4.0,0.0,3.0
hsa-miR-1278,0.0,1.0,0.0,0.0
hsa-miR-128-1-5p,1.0,0.0,0.0,1.0
hsa-miR-128-3p,186.0,246.0,50.0,187.0
hsa-miR-1284,0.0,1.0,1.0,0.0
hsa-miR-1285-3p,1.0,1.0,0.0,1.0
hsa-miR-1285-5p,6.0,1.0,1.0,0.0
hsa-miR-1287-5p,0.0,1.0,0.0,0.0
hsa-miR-129-5p,4.0,1.0,0.0,0.0
hsa-miR-1291,8.0,6.0,2.0,5.0
hsa-miR-1292-3p,0.0,0.0,1.0,0.0
hsa-miR-1292-5p,1.0,0.0,0.0,2.0
hsa-miR-1294,0.0,1.0,0.0,1.0
hsa-miR-1296-5p,4.0,3.0,0.0,0.0
hsa-miR-1301-3p,7.0,7.0,0.0,3.0
hsa-miR-1302,6.0,1.0,5.0,4.0
hsa-miR-1303,4.0,4.0,2.0,8.0
hsa-miR-1304-3p,2.0,0.0,0.0,2.0
hsa-miR-1304-5p,0.0,4.0,1.0,2.0
hsa-miR-1306-3p,0.0,0.0,0.0,2.0
hsa-miR-1307-3p,39.0,30.0,13.0,35.0
hsa-miR-1307-5p,16.0,6.0,3.0,7.0
hsa-miR-130a-3p,3.0,0.0,0.0,4.0
hsa-miR-130a-5p,0.0,0.0,0.0,1.0
hsa-miR-130b-3p,4.0,1.0,1.0,2.0
hsa-miR-130b-5p,5.0,1.0,0.0,1.0
hsa-miR-132-3p,12.0,19.0,3.0,17.0
hsa-miR-132-5p,2.0,5.0,1.0,5.0
hsa-miR-133a-3p,3.0,2.0,2.0,3.0
hsa-miR-134-5p,15.0,9.0,0.0,8.0
hsa-miR-135b-5p,4.0,1.0,2.0,7.0
hsa-miR-136-3p,16.0,7.0,0.0,8.0
hsa-miR-136-5p,4.0,2.0,0.0,2.0
hsa-miR-139-3p,0.0,2.0,0.0,0.0
hsa-miR-139-5p,10.0,7.0,6.0,10.0
hsa-miR-140-3p,33.0,20.0,14.0,42.0
hsa-miR-140-5p,8.0,10.0,1.0,8.0
hsa-miR-141-3p,18.0,3.0,3.0,16.0
hsa-miR-141-5p,1.0,0.0,2.0,2.0
hsa-miR-142-3p,5.0,1.0,3.0,5.0
hsa-miR-142-5p,36.0,37.0,14.0,18.0
hsa-miR-143-3p,73.0,68.0,35.0,32.0
hsa-miR-143-5p,0.0,0.0,2.0,0.0
hsa-miR-144-3p,6.0,14.0,8.0,16.0
hsa-miR-144-5p,9.0,5.0,1.0,7.0
hsa-miR-145-5p,2.0,3.0,0.0,1.0
hsa-miR-1468-5p,1.0,0.0,0.0,0.0
hsa-miR-146a-3p,1.0,0.0,0.0,0.0
hsa-miR-146a-5p,262.0,146.0,6.0,173.0
hsa-miR-146b-5p,34.0,72.0,20.0,16.0
hsa-miR-147b-3p,6.0,5.0,1.0,1.0
hsa-miR-148a-3p,3841.0,2972.0,2909.0,2677.0
hsa-miR-148a-5p,10.0,2.0,10.0,3.0
hsa-miR-148b-3p,237.0,289.0,74.0,530.0
hsa-miR-148b-5p,2.0,0.0,1.0,3.0
hsa-miR-149-3p,0.0,0.0,0.0,1.0
hsa-miR-149-5p,23.0,17.0,1.0,30.0
hsa-miR-150-5p,2.0,5.0,1.0,0.0
hsa-miR-151a-3p,291.0,248.0,132.0,328.0
hsa-miR-151a-5p,68.0,110.0,10.0,91.0
hsa-miR-151b,16.0,5.0,0.0,4.0
hsa-miR-152-3p,8.0,19.0,6.0,18.0
hsa-miR-153-5p,1.0,1.0,0.0,0.0
hsa-miR-1538,0.0,0.0,0.0,1.0
hsa-miR-154-5p,3.0,0.0,0.0,1.0
hsa-miR-155-5p,16.0,9.0,8.0,11.0
hsa-miR-15a-5p,4.0,6.0,0.0,5.0
hsa-miR-15b-3p,13.0,10.0,3.0,6.0
hsa-miR-15b-5p,12.0,17.0,1.0,11.0
hsa-miR-16-1-3p,1.0,0.0,0.0,0.0
hsa-miR-16-2-3p,32.0,57.0,10.0,36.0
hsa-miR-16-5p,59.0,54.0,8.0,83.0
hsa-miR-17-3p,0.0,5.0,0.0,3.0
hsa-miR-17-5p,62.0,25.0,13.0,95.0
hsa-miR-181a-2-3p,0.0,3.0,0.0,2.0
hsa-miR-181a-3p,3.0,0.0,1.0,1.0
hsa-miR-181a-5p,99.0,127.0,20.0,90.0
hsa-miR-181b-3p,5.0,1.0,1.0,0.0
hsa-miR-181b-5p,87.0,75.0,21.0,70.0
hsa-miR-181c-3p,0.0,0.0,2.0,0.0
hsa-miR-181c-5p,1.0,1.0,0.0,1.0
hsa-miR-181d-5p,9.0,15.0,1.0,9.0
hsa-miR-182-3p,2.0,0.0,0.0,1.0
hsa-miR-182-5p,210.0,135.0,61.0,185.0
hsa-miR-183-3p,0.0,0.0,0.0,1.0
hsa-miR-183-5p,264.0,224.0,78.0,268.0
hsa-miR-184,3.0,1.0,1.0,0.0
