miRNA,DRR127191,DRR127193,DRR127195
hsa-let-7a-5p,80.0,348.0,135.0
hsa-let-7b-5p,4.0,31.0,4.0
hsa-let-7c-5p,5.0,24.0,102.0
hsa-let-7d-3p,0.0,8.0,0.0
hsa-let-7d-5p,2.0,13.0,0.0
hsa-let-7e-5p,0.0,3.0,0.0
hsa-let-7f-5p,50.0,233.0,193.0
hsa-let-7g-5p,7.0,107.0,0.0
hsa-let-7i-5p,36.0,57.0,31.0
hsa-miR-100-5p,0.0,7.0,0.0
hsa-miR-101-3p,48.0,141.0,60.0
hsa-miR-10394-3p,0.0,0.0,20.0
hsa-miR-10394-5p,0.0,0.0,19.0
hsa-miR-103a-3p,48.0,75.0,504.0
hsa-miR-10401-3p,4.0,4.0,13.0
hsa-miR-106b-3p,59.0,97.0,158.0
hsa-miR-106b-5p,1.0,36.0,0.0
hsa-miR-107,2.0,257.0,2.0
hsa-miR-10a-3p,0.0,1.0,0.0
hsa-miR-10a-5p,5.0,55.0,22.0
hsa-miR-10b-5p,780.0,514.0,1620.0
hsa-miR-1180-3p,1.0,2.0,0.0
hsa-miR-1185-5p,0.0,1.0,0.0
hsa-miR-12136,0.0,1.0,0.0
hsa-miR-122-5p,0.0,1.0,0.0
hsa-miR-1226-5p,0.0,1.0,0.0
hsa-miR-1246,19.0,151.0,0.0
hsa-miR-1256,0.0,1.0,0.0
hsa-miR-125a-3p,0.0,1.0,0.0
hsa-miR-125a-5p,1.0,12.0,14.0
hsa-miR-125b-5p,0.0,4.0,13.0
hsa-miR-126-3p,0.0,15.0,0.0
hsa-miR-126-5p,0.0,158.0,14.0
hsa-miR-127-3p,1.0,211.0,0.0
hsa-miR-127-5p,0.0,2.0,0.0
hsa-miR-1270,4.0,2.0,0.0
hsa-miR-1273h-3p,0.0,5.0,0.0
hsa-miR-1275,1.0,10.0,0.0
hsa-miR-128-1-5p,16.0,5.0,30.0
hsa-miR-128-3p,1.0,131.0,0.0
hsa-miR-1285-3p,19.0,5.0,0.0
hsa-miR-1285-5p,1.0,0.0,0.0
hsa-miR-1303,3.0,0.0,0.0
hsa-miR-1307-3p,36.0,18.0,177.0
hsa-miR-1307-5p,3.0,112.0,0.0
hsa-miR-130a-3p,1.0,15.0,0.0
hsa-miR-130b-3p,33.0,38.0,19.0
hsa-miR-130b-5p,0.0,4.0,0.0
hsa-miR-132-3p,3.0,1.0,0.0
hsa-miR-136-3p,0.0,5.0,9.0
hsa-miR-136-5p,0.0,3.0,0.0
hsa-miR-138-1-3p,0.0,1.0,0.0
hsa-miR-138-5p,4.0,8.0,0.0
hsa-miR-139-5p,0.0,12.0,0.0
hsa-miR-140-3p,44.0,37.0,73.0
hsa-miR-140-5p,0.0,1.0,0.0
hsa-miR-141-3p,0.0,3.0,0.0
