miRNA,SRR3879751,SRR3879752,SRR3879753,SRR3879754,SRR3879755,SRR3879756,SRR3879757,SRR3879758,SRR3879759,SRR3879760,SRR3879761,SRR3879762,SRR3879763,SRR3879764,SRR3879765
hsa-let-7a-2-3p,0.0,2.0,0.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7a-3p,37.0,28.0,16.0,102.0,83.0,103.0,16.0,18.0,25.0,7.0,12.0,4.0,2.0,6.0,2.0
hsa-let-7a-5p,20932.0,13256.0,7256.0,8980.0,6760.0,11317.0,970.0,1094.0,4159.0,1660.0,2761.0,1019.0,1965.0,2688.0,1391.0
hsa-let-7b-3p,4.0,5.0,0.0,20.0,20.0,43.0,3.0,4.0,16.0,6.0,4.0,2.0,1.0,7.0,4.0
hsa-let-7b-5p,7998.0,5255.0,2753.0,8814.0,6952.0,11949.0,1019.0,1271.0,4809.0,1290.0,1667.0,791.0,2077.0,3003.0,1643.0
hsa-let-7c-5p,868.0,155.0,66.0,133.0,308.0,173.0,20.0,12.0,177.0,86.0,197.0,67.0,59.0,262.0,135.0
hsa-let-7d-3p,1133.0,939.0,492.0,890.0,845.0,1205.0,40.0,44.0,112.0,112.0,160.0,86.0,60.0,54.0,30.0
hsa-let-7d-5p,5150.0,3055.0,1821.0,2632.0,2179.0,3478.0,112.0,114.0,433.0,390.0,487.0,255.0,130.0,110.0,85.0
hsa-let-7e-3p,12.0,14.0,8.0,13.0,11.0,9.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0
hsa-let-7e-5p,1995.0,1253.0,829.0,473.0,442.0,703.0,48.0,68.0,179.0,51.0,81.0,52.0,104.0,116.0,76.0
hsa-let-7f-1-3p,7.0,7.0,3.0,14.0,16.0,22.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0
hsa-let-7f-2-3p,1.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,26585.0,13903.0,8155.0,11857.0,10795.0,15569.0,978.0,1014.0,3132.0,2115.0,3320.0,1551.0,459.0,590.0,340.0
hsa-let-7g-3p,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,4946.0,2607.0,1492.0,5723.0,5276.0,8019.0,621.0,624.0,1695.0,875.0,1405.0,794.0,228.0,276.0,156.0
hsa-let-7i-3p,6.0,7.0,0.0,10.0,12.0,12.0,5.0,2.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0
hsa-let-7i-5p,7465.0,4642.0,2317.0,9453.0,8581.0,14252.0,612.0,570.0,1719.0,778.0,983.0,605.0,240.0,362.0,285.0
hsa-miR-1-3p,15.0,6.0,4.0,14.0,15.0,6.0,2.0,6.0,3.0,1.0,7.0,4.0,0.0,0.0,0.0
hsa-miR-100-5p,23464.0,11974.0,6365.0,21525.0,20566.0,35281.0,402.0,459.0,1018.0,1240.0,2150.0,1238.0,4617.0,6257.0,4883.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,615.0,426.0,176.0,541.0,704.0,621.0,211.0,166.0,310.0,180.0,217.0,117.0,7.0,29.0,19.0
hsa-miR-101-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,3.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,15.0,1.0,6.0,0.0,3.0,10.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,5.0,3.0,0.0,1.0,4.0,19.0,1.0,1.0,4.0,0.0,6.0,4.0,0.0,1.0,0.0
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,1639.0,863.0,971.0,2136.0,1335.0,65.0,212.0,71.0,187.0,120.0,195.0,7.0,27.0,5.0,0.0
hsa-miR-103b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,11.0,9.0,6.0,11.0,13.0,8.0,3.0,0.0,11.0,3.0,5.0,6.0,4.0,3.0,1.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,6.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0
hsa-miR-10526-3p,1.0,0.0,0.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,15.0,14.0,7.0,38.0,34.0,33.0,0.0,3.0,6.0,4.0,2.0,3.0,0.0,0.0,0.0
hsa-miR-106b-3p,1113.0,595.0,368.0,782.0,653.0,1231.0,54.0,48.0,116.0,65.0,147.0,82.0,2.0,16.0,8.0
hsa-miR-106b-5p,1070.0,606.0,393.0,972.0,961.0,1043.0,97.0,64.0,150.0,80.0,68.0,37.0,12.0,4.0,4.0
hsa-miR-107,184.0,145.0,62.0,40.0,43.0,156.0,6.0,7.0,14.0,5.0,18.0,1.0,4.0,3.0,0.0
hsa-miR-10a-3p,88.0,53.0,26.0,4.0,12.0,11.0,3.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0
hsa-miR-10a-5p,9607.0,5678.0,2780.0,968.0,880.0,1462.0,121.0,171.0,331.0,139.0,209.0,108.0,5.0,14.0,7.0
hsa-miR-10b-3p,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,539.0,304.0,146.0,339.0,424.0,708.0,75.0,99.0,281.0,145.0,269.0,126.0,0.0,0.0,0.0
hsa-miR-11399,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-11401,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,1915.0,1279.0,848.0,373.0,378.0,591.0,47.0,61.0,130.0,73.0,113.0,69.0,35.0,41.0,31.0
hsa-miR-1185-1-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,2.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-12113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-12119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,19.0,27.0,12.0,13.0,2.0,10.0,10.0,7.0,24.0,7.0,3.0,4.0,0.0,1.0,0.0
