miRNA,ERR9872207,ERR9872208,ERR9872209,ERR9872210,ERR9872211,ERR9872212
hsa-let-7a-3p,25.0,5.0,13.0,4.0,11.0,9.0
hsa-let-7a-5p,17321.0,14753.0,13651.0,11364.0,18613.0,7977.0
hsa-let-7b-3p,0.0,35.0,7.0,14.0,5.0,11.0
hsa-let-7b-5p,5489.0,9200.0,4017.0,6479.0,2273.0,4695.0
hsa-let-7c-3p,0.0,1.0,2.0,0.0,3.0,0.0
hsa-let-7c-5p,282.0,1440.0,332.0,719.0,778.0,337.0
hsa-let-7d-3p,270.0,435.0,163.0,173.0,136.0,216.0
hsa-let-7d-5p,212.0,423.0,322.0,309.0,271.0,366.0
hsa-let-7e-3p,5.0,0.0,4.0,5.0,5.0,7.0
hsa-let-7e-5p,7371.0,10706.0,4043.0,4205.0,3109.0,5347.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,3.0
hsa-let-7f-5p,7010.0,4536.0,4289.0,3890.0,7472.0,1561.0
hsa-let-7g-5p,786.0,1138.0,542.0,1042.0,1397.0,166.0
hsa-let-7i-3p,0.0,25.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,6106.0,8518.0,6373.0,4376.0,5032.0,2305.0
hsa-miR-1-3p,88.0,107.0,138.0,3289.0,12.0,16.0
hsa-miR-100-5p,5742.0,12025.0,11621.0,3404.0,12378.0,2238.0
hsa-miR-101-3p,22.0,41.0,38.0,46.0,38.0,31.0
hsa-miR-10394-3p,0.0,0.0,4.0,20.0,2.0,0.0
hsa-miR-10399-3p,54.0,341.0,270.0,39.0,200.0,118.0
hsa-miR-10399-5p,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-103a-3p,22.0,160.0,65.0,5.0,75.0,77.0
hsa-miR-10400-3p,0.0,0.0,1.0,21.0,0.0,1.0
hsa-miR-10401-3p,0.0,0.0,4.0,45.0,7.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-105-5p,5.0,0.0,23.0,0.0,11.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,1.0,0.0,2.0
hsa-miR-10527-5p,50.0,23.0,11.0,19.0,19.0,18.0
hsa-miR-106b-3p,52.0,224.0,104.0,59.0,77.0,51.0
hsa-miR-106b-5p,0.0,30.0,4.0,4.0,11.0,0.0
hsa-miR-107,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-10a-3p,0.0,0.0,9.0,0.0,9.0,4.0
hsa-miR-10a-5p,4291.0,7483.0,6191.0,2023.0,3730.0,2458.0
hsa-miR-10b-3p,0.0,0.0,2.0,2.0,0.0,0.0
hsa-miR-10b-5p,744.0,1254.0,1049.0,1036.0,575.0,589.0
hsa-miR-11181-3p,1.0,0.0,0.0,0.0,0.0,0.0
