miRNA,SRR22443559,SRR22443560,SRR22443561,SRR22443562,SRR22443563,SRR22443564,SRR22443565,SRR22443566,SRR22443567,SRR22443568,SRR22443569,SRR22443570,SRR22443571,SRR22443572,SRR22443573,SRR22443574,SRR22443575,SRR22443576,SRR22443577,SRR22443578,SRR22443579,SRR22443580,SRR22443581,SRR22443582,SRR22443583
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,730.0,919.0,1139.0,1052.0,630.0,2858.0,3770.0,84.0,226.0,71.0,461.0,51.0,2013.0,939.0,965.0,1129.0,461.0,1354.0,886.0,1400.0,1452.0,1207.0,1325.0,1996.0,1394.0
hsa-let-7b-3p,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,31647.0,35961.0,56987.0,40831.0,33274.0,27261.0,53207.0,7982.0,12863.0,10378.0,13939.0,5572.0,31967.0,48765.0,31755.0,17746.0,16507.0,27637.0,14687.0,13237.0,30138.0,38585.0,46554.0,30983.0,48917.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,718.0,612.0,10.0,28.0,545.0,17.0,33.0,0.0,2.0,28.0,0.0,68.0,15.0,47.0,3.0,12.0,269.0,6.0,0.0,9.0,12.0,55.0,13.0,19.0,2.0
hsa-let-7d-3p,0.0,9.0,0.0,0.0,22.0,5.0,37.0,0.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,7.0,4.0,8.0,0.0,12.0,0.0,33.0,0.0,0.0,0.0
hsa-let-7d-5p,47.0,50.0,36.0,58.0,45.0,135.0,183.0,4.0,0.0,1.0,0.0,0.0,109.0,14.0,17.0,31.0,40.0,61.0,22.0,89.0,40.0,78.0,39.0,155.0,50.0
hsa-let-7e-5p,27.0,66.0,24.0,17.0,58.0,74.0,63.0,0.0,1.0,2.0,0.0,2.0,25.0,55.0,43.0,63.0,34.0,107.0,80.0,56.0,15.0,28.0,19.0,39.0,56.0
hsa-let-7f-2-3p,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,452.0,483.0,439.0,609.0,409.0,1890.0,1266.0,105.0,211.0,109.0,220.0,41.0,777.0,369.0,473.0,633.0,615.0,752.0,605.0,936.0,729.0,405.0,544.0,788.0,798.0
