miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,5.0,11.0,9.0,6.0,0.0,0.0,0.0,1.0,6.0,2.0
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1245a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,7.0,5.0,3.0,2.0,2.0,3.0,6.0,2.0,5.0
hsa-miR-1247-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,3.0,1.0,1.0,6.0,64.0,43.0,45.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,188.0,93.0,144.0,385.0,345.0,462.0,404.0,460.0,350.0,364.0,101.0,142.0,87.0
hsa-miR-125b-1-3p,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-125b-2-3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
hsa-miR-125b-5p,1613.0,933.0,1448.0,57.0,42.0,65.0,34.0,177.0,118.0,93.0,32.0,37.0,25.0
hsa-miR-126-3p,18.0,6.0,14.0,15.0,17.0,31.0,30.0,20.0,34.0,65.0,12.0,3.0,7.0
hsa-miR-126-5p,13.0,6.0,10.0,24.0,8.0,26.0,28.0,19.0,39.0,52.0,8.0,3.0,3.0
hsa-miR-1260b,0.0,1.0,2.0,0.0,0.0,2.0,0.0,11.0,4.0,2.0,2.0,3.0,0.0
hsa-miR-1262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,85.0,1.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1269a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
hsa-miR-127-3p,32.0,20.0,50.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,4.0,6.0,6.0
hsa-miR-127-5p,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1271-5p,0.0,0.0,3.0,2.0,1.0,4.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-128-3p,22.0,10.0,29.0,59.0,46.0,43.0,56.0,33.0,37.0,100.0,35.0,33.0,14.0
hsa-miR-1283,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,10.0,2.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-129-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-1293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,2.0,1.0,5.0,8.0,3.0,14.0,11.0,10.0,6.0,20.0,7.0,6.0,4.0
hsa-miR-1298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
hsa-miR-1299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1301-3p,0.0,0.0,0.0,9.0,1.0,8.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0
hsa-miR-1303,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,3.0,3.0,0.0,6.0,11.0,19.0,5.0,7.0,3.0,5.0,2.0,2.0,0.0
hsa-miR-1307-5p,0.0,0.0,2.0,0.0,5.0,4.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0
hsa-miR-130a-3p,4.0,0.0,3.0,4.0,3.0,8.0,10.0,2.0,0.0,6.0,3.0,1.0,0.0
hsa-miR-130a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-130b-3p,1.0,0.0,1.0,36.0,30.0,43.0,38.0,10.0,4.0,5.0,2.0,1.0,4.0
hsa-miR-130b-5p,1.0,2.0,2.0,46.0,45.0,43.0,46.0,17.0,19.0,23.0,4.0,4.0,0.0
hsa-miR-132-3p,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-132-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1323,0.0,0.0,0.0,79.0,50.0,77.0,90.0,0.0,1.0,0.0,171.0,210.0,99.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,0.0
hsa-miR-134-5p,11.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,3.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,41.0,2.0,3.0,1.0
hsa-miR-135b-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135b-5p,19.0,7.0,22.0,11655.0,16049.0,9631.0,22556.0,307.0,656.0,1469.0,2253.0,1374.0,1092.0
hsa-miR-136-3p,8.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
hsa-miR-136-5p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-137-3p,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
hsa-miR-139-3p,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-5p,0.0,1.0,0.0,35.0,44.0,50.0,49.0,2.0,3.0,0.0,0.0,1.0,0.0
hsa-miR-140-3p,39.0,11.0,25.0,21.0,27.0,22.0,32.0,15.0,10.0,81.0,24.0,28.0,18.0
hsa-miR-140-5p,3.0,1.0,3.0,2.0,5.0,5.0,1.0,0.0,0.0,10.0,2.0,3.0,0.0
hsa-miR-141-3p,0.0,0.0,0.0,12.0,15.0,10.0,35.0,0.0,0.0,0.0,21.0,19.0,11.0
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,11.0,3.0,0.0,0.0,0.0
hsa-miR-142-5p,0.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0
hsa-miR-143-3p,1047.0,336.0,777.0,25.0,9.0,14.0,21.0,18.0,37.0,49.0,7.0,2.0,1.0
hsa-miR-143-5p,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-3p,27.0,9.0,42.0,0.0,0.0,0.0,1.0,13.0,3.0,14.0,6.0,1.0,0.0
hsa-miR-145-5p,48.0,37.0,49.0,0.0,0.0,1.0,0.0,7.0,7.0,10.0,2.0,1.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,34.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0
hsa-miR-146b-3p,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-146b-5p,1.0,0.0,2.0,50.0,58.0,48.0,82.0,46.0,81.0,136.0,11.0,5.0,6.0
hsa-miR-147b-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-147b-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,1.0,0.0,1.0,168.0,164.0,87.0,189.0,41.0,63.0,214.0,95.0,66.0,78.0
hsa-miR-148a-5p,0.0,0.0,0.0,4.0,2.0,5.0,13.0,0.0,0.0,18.0,5.0,3.0,1.0
hsa-miR-148b-3p,2.0,1.0,6.0,20.0,6.0,3.0,19.0,2.0,2.0,22.0,5.0,6.0,13.0
hsa-miR-148b-5p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-149-5p,6.0,8.0,3.0,130.0,95.0,169.0,107.0,19.0,17.0,24.0,11.0,22.0,8.0
hsa-miR-150-5p,1.0,2.0,1.0,4.0,2.0,10.0,1.0,16.0,3.0,11.0,0.0,0.0,0.0
hsa-miR-151a-3p,12.0,10.0,25.0,46.0,38.0,45.0,38.0,9.0,12.0,62.0,25.0,28.0,22.0
hsa-miR-151a-5p,121.0,64.0,140.0,471.0,442.0,431.0,496.0,97.0,147.0,232.0,103.0,72.0,47.0
hsa-miR-151b,0.0,0.0,0.0,12.0,8.0,17.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0
hsa-miR-152-3p,14.0,6.0,7.0,1.0,1.0,4.0,5.0,2.0,0.0,9.0,2.0,0.0,1.0
hsa-miR-152-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-154-3p,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0
hsa-miR-154-5p,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-15a-5p,3.0,0.0,1.0,6.0,2.0,1.0,6.0,11.0,11.0,21.0,5.0,3.0,1.0
hsa-miR-15b-3p,1.0,0.0,0.0,9.0,1.0,6.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0
hsa-miR-15b-5p,17.0,13.0,21.0,121.0,103.0,80.0,107.0,53.0,60.0,111.0,59.0,51.0,49.0
hsa-miR-16-2-3p,5.0,3.0,4.0,27.0,29.0,26.0,36.0,7.0,15.0,28.0,12.0,6.0,11.0
hsa-miR-16-5p,78.0,44.0,98.0,261.0,200.0,206.0,284.0,206.0,315.0,953.0,189.0,167.0,127.0
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-17-5p,3.0,3.0,3.0,12.0,3.0,9.0,7.0,16.0,24.0,74.0,15.0,7.0,14.0
hsa-miR-181a-2-3p,11.0,6.0,15.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-181a-3p,8.0,3.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,156.0,93.0,211.0,257.0,215.0,284.0,232.0,17.0,22.0,29.0,11.0,17.0,5.0
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-181b-3p,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,60.0,26.0,69.0,165.0,94.0,159.0,130.0,0.0,3.0,3.0,2.0,13.0,2.0
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181c-5p,1.0,1.0,1.0,6.0,6.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-181d-5p,0.0,0.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0
hsa-miR-182-3p,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-182-5p,2.0,4.0,3.0,621.0,651.0,575.0,678.0,13.0,37.0,72.0,1118.0,1073.0,770.0
hsa-miR-183-3p,0.0,0.0,0.0,27.0,9.0,7.0,28.0,0.0,0.0,1.0,4.0,6.0,3.0
hsa-miR-183-5p,0.0,1.0,0.0,451.0,531.0,434.0,485.0,10.0,18.0,41.0,470.0,353.0,259.0
hsa-miR-184,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0,16.0,16.0
hsa-miR-1843,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-185-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-185-5p,7.0,2.0,1.0,10.0,19.0,15.0,17.0,11.0,4.0,11.0,1.0,0.0,1.0
hsa-miR-186-5p,31.0,4.0,21.0,61.0,51.0,33.0,45.0,18.0,31.0,77.0,59.0,52.0,42.0
hsa-miR-187-3p,0.0,0.0,0.0,4.0,4.0,11.0,7.0,0.0,8.0,3.0,1.0,0.0,0.0
hsa-miR-187-5p,0.0,0.0,0.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-18a-3p,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0
hsa-miR-18a-5p,1.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,5.0,5.0,5.0,0.0,0.0
hsa-miR-18b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-18b-5p,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-191-3p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-191-5p,82.0,27.0,64.0,136.0,123.0,213.0,146.0,120.0,145.0,198.0,114.0,148.0,86.0
hsa-miR-1910-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1914-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-192-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-192-5p,1.0,0.0,1.0,9.0,7.0,11.0,13.0,5.0,47.0,88.0,8.0,1.0,6.0
hsa-miR-193a-5p,4.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,1.0,0.0,0.0
hsa-miR-193b-3p,5.0,1.0,9.0,7.0,1.0,0.0,5.0,2.0,4.0,60.0,3.0,6.0,2.0
hsa-miR-193b-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p,5.0,0.0,3.0,17.0,18.0,17.0,30.0,44.0,80.0,155.0,14.0,8.0,13.0
hsa-miR-195-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0
hsa-miR-196a-5p,0.0,0.0,0.0,13.0,4.0,11.0,5.0,8.0,13.0,29.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,8.0,60.0,1.0,3.0,0.0
hsa-miR-197-3p,4.0,1.0,8.0,32.0,26.0,31.0,22.0,20.0,15.0,35.0,12.0,23.0,12.0
hsa-miR-199a-3p,274.0,133.0,244.0,3.0,4.0,5.0,6.0,3.0,11.0,6.0,0.0,1.0,1.0
hsa-miR-199a-5p,84.0,43.0,82.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0
hsa-miR-199b-3p,80.0,36.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
hsa-miR-199b-5p,5.0,7.0,8.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0
hsa-miR-19a-3p,1.0,3.0,1.0,5.0,3.0,8.0,14.0,1.0,6.0,20.0,4.0,4.0,4.0
hsa-miR-19b-3p,50.0,5.0,35.0,63.0,65.0,54.0,65.0,69.0,116.0,414.0,160.0,73.0,49.0
hsa-miR-200a-3p,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-200c-3p,1.0,2.0,1.0,584.0,440.0,584.0,464.0,6.0,2.0,2.0,426.0,491.0,345.0
hsa-miR-203a-3p,0.0,0.0,0.0,5.0,16.0,34.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-203b-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-5p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,3.0,0.0,1.0
hsa-miR-205-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-205-5p,0.0,0.0,2.0,418.0,220.0,336.0,257.0,128.0,105.0,136.0,65.0,148.0,39.0
hsa-miR-206,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
hsa-miR-20a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
hsa-miR-20a-5p,52.0,31.0,55.0,175.0,136.0,126.0,169.0,229.0,308.0,823.0,240.0,150.0,117.0
hsa-miR-20b-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
hsa-miR-20b-5p,0.0,0.0,0.0,1.0,3.0,3.0,5.0,14.0,14.0,56.0,76.0,74.0,36.0
hsa-miR-21-3p,15.0,1.0,12.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0
hsa-miR-21-5p,5829.0,2341.0,5549.0,1181.0,1044.0,782.0,1423.0,204.0,292.0,510.0,614.0,402.0,378.0
hsa-miR-210-3p,1.0,0.0,0.0,1.0,4.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0
