miRNA,SRR13179635,SRR13179636,SRR13179637,SRR13179638,SRR13179639,SRR13179640,SRR13179641,SRR13179642,SRR13179643,SRR13179644,SRR13179645,SRR13179646,SRR13179647,SRR13179648
hsa-let-7a-5p,61.0,80.0,1014.0,9.0,10.0,3750.0,8.0,38.0,212.0,6.0,22.0,659.0,13.0,39.0
hsa-let-7b-5p,119849.0,115864.0,56339.0,162118.0,71682.0,53069.0,9479.0,65114.0,193124.0,90489.0,413061.0,379482.0,2.0,87507.0
hsa-let-7c-5p,1.0,4.0,0.0,83.0,41.0,7.0,2.0,1.0,0.0,159.0,995.0,0.0,4.0,1.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,10.0,2.0,5.0,27.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
hsa-let-7f-5p,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,27.0,50.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0
hsa-let-7i-5p,21.0,8.0,3.0,508.0,119.0,8.0,3.0,5.0,210.0,166.0,310.0,542.0,0.0,350.0
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,18013.0,16289.0,4508.0,7312.0,1816.0,10142.0,2002.0,3805.0,12132.0,10823.0,37373.0,51756.0,3414.0,7307.0
hsa-miR-103a-3p,222.0,241.0,3059.0,2750.0,9710.0,2640.0,2135.0,568.0,487.0,962.0,4217.0,2386.0,5084.0,4597.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-107,0.0,0.0,1.0,5.0,2.0,872.0,4.0,0.0,0.0,0.0,39.0,0.0,1.0,1.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10a-5p,0.0,1.0,0.0,0.0,1402.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,5.0,0.0,0.0
hsa-miR-1180-3p,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
hsa-miR-122-5p,7.0,0.0,34.0,4.0,10654.0,1114.0,2.0,460.0,32.0,8.0,102.0,171.0,1.0,3.0
hsa-miR-1246,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,17.0,0.0,0.0
hsa-miR-125a-5p,4.0,6.0,1.0,8.0,12.0,1.0,12.0,0.0,18.0,5.0,32.0,42.0,14.0,9.0
hsa-miR-125b-5p,92.0,83.0,37.0,37.0,60.0,143.0,27.0,38.0,0.0,0.0,13.0,4.0,111.0,80.0
hsa-miR-126-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,1043.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,762.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,173.0,198.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1307-3p,393.0,343.0,1.0,0.0,1397.0,0.0,2436.0,0.0,25.0,45.0,134.0,70.0,1.0,0.0
hsa-miR-130b-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-135a-5p,2.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
hsa-miR-139-3p,21.0,21.0,0.0,0.0,0.0,0.0,0.0,122.0,23.0,18.0,171.0,110.0,0.0,0.0
hsa-miR-140-3p,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,26.0,137.0,112.0,0.0,0.0
hsa-miR-140-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,31.0,230.0,422.0,0.0,0.0
hsa-miR-141-3p,4072.0,3747.0,4429.0,3229.0,748.0,7361.0,14185.0,5121.0,0.0,3.0,0.0,33.0,11795.0,11441.0
hsa-miR-141-5p,0.0,0.0,0.0,0.0,617.0,2590.0,0.0,1.0,4.0,7.0,5.0,10.0,0.0,0.0
hsa-miR-142-3p,1422.0,1292.0,0.0,976.0,2796.0,0.0,1100.0,679.0,163.0,52.0,731.0,1279.0,1223.0,0.0
hsa-miR-142-5p,3.0,0.0,0.0,552.0,0.0,1.0,0.0,2.0,403.0,252.0,995.0,1530.0,0.0,0.0
hsa-miR-143-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
hsa-miR-144-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,48.0,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,8.0,78.0,0.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-146a-5p,0.0,0.0,1.0,701.0,0.0,618.0,1.0,1897.0,4.0,5.0,119.0,114.0,0.0,1.0
hsa-miR-146b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,11.0,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,699.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,0.0,7.0,2.0,587.0
hsa-miR-148a-3p,452.0,364.0,0.0,8.0,6.0,6.0,2.0,5.0,10.0,1.0,31.0,11.0,5.0,7.0
hsa-miR-148b-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-149-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-150-3p,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
