miRNA,SRR10244519,SRR10244520,SRR10244521,SRR10244522,SRR10244523,SRR10244524,SRR10244525,SRR10244526,SRR10244527,SRR10244528
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22
hsa-let-7a-5p,426.35,771.41,962.82,1084.76,615.58,1072.87,947.3,837.82,403.79,337.24
hsa-let-7b-5p,88.43,140.43,203.29,265.39,129.67,216.0,205.23,10.06,87.08,6.07
hsa-let-7c-5p,4.63,4.87,51.8,65.12,4.47,6.67,6.6,7.65,25.93,5.2
hsa-let-7d-3p,2.45,10.82,8.75,5.62,4.47,10.95,4.85,13.99,14.08,5.2
hsa-let-7d-5p,11.97,23.54,26.71,40.29,20.87,25.48,33.2,24.71,9.2,18.21
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
hsa-let-7e-5p,3.81,3.52,4.14,5.86,3.88,2.86,6.21,3.72,0.89,8.45
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-let-7f-5p,969.43,1945.43,2107.99,2525.1,1275.27,2297.92,2343.69,2309.91,867.29,3544.1
hsa-let-7g-3p,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,277.8,488.39,485.09,972.8,490.08,960.46,1525.89,716.69,402.13,2776.84
hsa-let-7i-5p,769.72,1457.04,1772.54,2088.25,934.84,1814.71,2147.2,1178.24,622.02,2939.18
hsa-miR-1-3p,2.99,4.33,5.07,10.07,9.84,17.15,3.11,0.44,0.22,1.73
hsa-miR-100-5p,7.62,12.45,14.73,14.05,5.07,15.0,5.24,2.41,0.44,15.39
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0
hsa-miR-101-3p,16.05,30.03,28.32,33.26,17.89,42.87,33.4,42.42,29.92,72.61
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.54,2.16,1.15,0.0,0.0,0.0,0.0,0.22,0.0,0.0
hsa-miR-10394-3p,0.27,0.0,0.0,0.7,0.0,0.48,0.19,0.0,0.26,0.22
hsa-miR-10395-3p,0.27,0.54,1.38,2.58,2.09,3.33,3.88,5.9,0.59,4.12
