BioProject,Run,EV_type,Source,disease,Disease_stage/treatment,Release_date,URL,EV isolated method,Project_Title,Project_Description
PRJNA765814,SRR16069255,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069256,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069257,sEV,Primary cell|Stem cell-derived neural cells,-,Mock,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069258,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069259,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069261,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069262,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069263,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069264,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
PRJNA765814,SRR16069265,sEV,Primary cell|Stem cell-derived neural cells,-,Lyssavirus,2021-12-16,https://pubmed.ncbi.nlm.nih.gov/35004351/,"Tissue culture supernatant was carefully removed from the neural cell cultures, then centrifuged at 300 x g for 10 min to pellet any cells or cell debris. Exosomes were isolated from 1 ml cell-free culture supernatant using Total Exosome Isolation Reagent (Invitrogen) as per the manufacturer’s protocol. Briefly, 500 µl of exosome isolation reagent was thoroughly mixed with 1 ml of cell-free supernatant and then incubated for 16 hr at 4°C. The reagent-supernatant mix was then centrifuged at 10,000 x g for 1 hr to pellet the exosomes. This method results the concentration of exosomes, however a small amount of other non-exosomal contaminants and protein aggregates may also be present (Zeringer et al., 2013; Li et al., 2017), the latter of which is removed during the RNA isolation process. The supernatant was discarded and exosomal RNA immediately extracted by adding the lysis buffer directly to the exosome pellet.",MicroRNA sequencing of stem cell-derived neural culture infected with lyssavirus,Cellular and exosome miRNA profiling to examine the host miRNA response to lyssavirus (rabies) infection in a stem cell-derived neural model. This provides insights into the molecular pathways of rabies pathogenesis and putatative biomarkers for rabies identification.
