miRNA,SRR29300460,SRR29300461,SRR29300462,SRR29300463,SRR29300464,SRR29300465,SRR29300466,SRR29300467,SRR29300468,SRR29300469,SRR29300470,SRR29300471,SRR29300472,SRR29300473,SRR29300474,SRR29300475,SRR29300476,SRR29300477,SRR29300478,SRR29300479,SRR29300480,SRR29300481,SRR29300482,SRR29300483,SRR29300484,SRR29300485,SRR29300486,SRR29300487
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,133.0,0.0,321.0,213.0,0.0,559.0,296.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,285.0,0.0,48.0,145.0,1.0,1.0,246.0,1.0,2.0,0.0,121.0,0.0
hsa-let-7a-5p,1091.0,1090.0,1345.0,1844.0,1402.0,850.0,11266.0,1771.0,1677.0,1460.0,487.0,2372.0,5915.0,1386.0,293.0,678.0,473.0,273.0,12555.0,294.0,1921.0,284.0,386.0,42.0,175.0,616.0,652.0,455.0
hsa-let-7b-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
hsa-let-7b-5p,4978.0,4131.0,3095.0,10130.0,3401.0,4913.0,43395.0,4602.0,7129.0,6365.0,6973.0,9873.0,21668.0,6817.0,814.0,3250.0,2092.0,3399.0,12241.0,4754.0,17940.0,5512.0,2322.0,3546.0,4049.0,7347.0,2005.0,1522.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0
hsa-let-7c-5p,2836.0,2494.0,801.0,6081.0,1817.0,2020.0,27421.0,4171.0,5305.0,2848.0,5934.0,4739.0,8284.0,5090.0,982.0,1529.0,1162.0,1735.0,27119.0,2440.0,8266.0,1897.0,1498.0,846.0,1275.0,2489.0,1093.0,497.0
hsa-let-7d-3p,2145.0,1506.0,1082.0,5521.0,3220.0,6379.0,13361.0,3143.0,3168.0,1652.0,772.0,2268.0,7907.0,1599.0,265.0,5175.0,2983.0,985.0,3055.0,2570.0,6591.0,4757.0,2435.0,1802.0,1196.0,3278.0,1195.0,3110.0
hsa-let-7d-5p,7.0,319.0,9.0,6.0,211.0,976.0,1209.0,638.0,16.0,221.0,633.0,777.0,1324.0,79.0,98.0,62.0,86.0,73.0,5913.0,288.0,22.0,7.0,18.0,8.0,8.0,12.0,18.0,7.0
hsa-let-7e-3p,0.0,367.0,91.0,0.0,271.0,1.0,1242.0,625.0,1.0,140.0,0.0,167.0,450.0,992.0,38.0,1.0,1080.0,215.0,246.0,0.0,810.0,397.0,257.0,1.0,119.0,947.0,4.0,1.0
