miRNA,SRR23249719,SRR23249720,SRR23249721,SRR23249722,SRR23249723,SRR23249724,SRR23249725,SRR23249726,SRR23249727,SRR23249728,SRR23249729,SRR23249730,SRR23249732,SRR23249733
hsa-let-7a-3p,0.0,0.0,1.0,1.0,0.0,0.0,18.0,197.0,54.0,0.0,0.0,88.0,0.0,68.0
hsa-let-7a-5p,7829.0,2314.0,5252.0,2866.0,1318.0,14212.0,48140.0,92237.0,48591.0,1.0,6.0,19651.0,323.0,23756.0
hsa-let-7b-3p,0.0,0.0,15.0,0.0,0.0,0.0,4.0,62.0,30.0,0.0,0.0,106.0,0.0,42.0
hsa-let-7b-5p,13917.0,6380.0,14281.0,10347.0,2653.0,52388.0,114426.0,200543.0,101314.0,1.0,10.0,41846.0,1.0,21482.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
hsa-let-7c-5p,117.0,560.0,1106.0,96.0,4.0,872.0,9844.0,614.0,254.0,0.0,0.0,239.0,0.0,289.0
hsa-let-7d-3p,402.0,104.0,264.0,185.0,71.0,1025.0,3296.0,8796.0,3665.0,0.0,1.0,7464.0,0.0,3724.0
hsa-let-7d-5p,221.0,104.0,132.0,160.0,3.0,112.0,1691.0,1846.0,930.0,0.0,0.0,375.0,0.0,837.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
hsa-let-7e-5p,103.0,39.0,3.0,258.0,36.0,168.0,342.0,549.0,277.0,0.0,0.0,400.0,0.0,384.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7f-5p,6509.0,2533.0,6075.0,3215.0,1247.0,9610.0,56676.0,92316.0,47713.0,1.0,7.0,23079.0,1.0,26968.0
hsa-let-7g-5p,1842.0,675.0,1443.0,214.0,250.0,1841.0,9885.0,16639.0,8452.0,0.0,4.0,6073.0,0.0,7739.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7i-5p,7725.0,3067.0,6149.0,3069.0,1026.0,4523.0,56926.0,88098.0,50235.0,0.0,4.0,46079.0,0.0,52374.0
hsa-miR-1-3p,0.0,0.0,53.0,1.0,0.0,106.0,139.0,457.0,66.0,0.0,0.0,192.0,0.0,331.0
hsa-miR-100-5p,47.0,13.0,138.0,447.0,2.0,1362.0,1265.0,2063.0,518.0,0.0,0.0,1932.0,0.0,2104.0
hsa-miR-101-3p,878.0,447.0,1050.0,1087.0,109.0,1234.0,8449.0,14535.0,6075.0,0.0,0.0,6408.0,0.0,6363.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,9.0,0.0,9.0
hsa-miR-103a-3p,85.0,1.0,0.0,0.0,0.0,0.0,58.0,586.0,320.0,0.0,0.0,200.0,0.0,266.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
hsa-miR-106b-3p,1.0,13.0,4.0,2.0,0.0,113.0,505.0,572.0,345.0,0.0,0.0,294.0,0.0,387.0
hsa-miR-106b-5p,40.0,19.0,1.0,0.0,10.0,0.0,132.0,164.0,213.0,0.0,0.0,12.0,0.0,32.0
hsa-miR-107,7.0,0.0,0.0,0.0,0.0,0.0,116.0,71.0,1.0,0.0,0.0,0.0,0.0,28.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,11.0
hsa-miR-10a-5p,995.0,554.0,965.0,1499.0,470.0,1592.0,7073.0,15606.0,6044.0,0.0,0.0,16726.0,0.0,14878.0
