miRNA,SRR23922105,SRR23922106,SRR23922108,SRR23922109,SRR23922110,SRR23922111,SRR23922112,SRR23922113,SRR23922116,SRR23922117,SRR23922121,SRR23922122,SRR23922124,SRR23922125,SRR23922128,SRR23922129,SRR23922130,SRR23922132
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,17.94,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,10.37,0.0,14.23,12.03,0.0,0.0,10.31,11.86,21.81,0.0,18.06,0.0,0.0,8.62,32.27,26.09,0.0
hsa-let-7a-5p,110.5,72.56,182.14,113.8,96.21,53.0,62.78,72.16,94.86,54.54,54.45,117.37,67.23,127.56,68.97,107.58,78.27,137.64
hsa-let-7b-3p,0.0,0.0,0.0,14.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,92.09,82.92,80.95,142.26,72.15,37.85,44.84,92.77,59.29,65.44,42.35,72.22,58.82,85.04,51.73,86.07,91.31,68.82
hsa-let-7c-5p,73.67,51.83,60.71,42.68,48.1,15.14,26.91,10.31,35.57,32.72,12.1,45.14,42.02,42.52,25.87,64.55,39.13,55.06
hsa-let-7d-3p,36.83,51.83,60.71,71.13,48.1,0.0,17.94,10.31,47.43,21.81,12.1,54.17,33.61,56.69,25.87,43.03,39.13,55.06
hsa-let-7d-5p,36.83,31.1,40.48,56.9,60.13,22.71,35.87,20.62,47.43,43.63,24.2,54.17,33.61,42.52,25.87,43.03,52.18,55.06
hsa-let-7e-3p,0.0,10.37,0.0,14.23,0.0,0.0,8.97,0.0,0.0,0.0,0.0,18.06,0.0,0.0,0.0,10.76,0.0,13.76
hsa-let-7e-5p,18.42,41.46,40.48,42.68,48.1,7.57,26.91,10.31,23.72,10.91,12.1,36.11,8.4,28.35,8.62,32.27,39.13,13.76
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,13.04,13.76
hsa-let-7f-5p,55.25,72.56,40.48,71.13,60.13,22.71,53.81,30.92,47.43,43.63,36.3,99.31,75.63,70.87,43.11,64.55,104.36,82.59
hsa-let-7g-5p,36.83,72.56,60.71,56.9,36.08,30.28,44.84,30.92,35.57,21.81,24.2,72.22,33.61,85.04,43.11,53.79,78.27,82.59
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,7.57,8.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,36.83,41.46,101.19,56.9,60.13,30.28,35.87,30.92,47.43,21.81,24.2,72.22,25.21,85.04,43.11,32.27,104.36,68.82
hsa-miR-1-3p,18.42,10.37,0.0,14.23,0.0,0.0,0.0,72.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,36.83,20.73,60.71,28.45,24.05,37.85,35.87,41.23,0.0,0.0,6.05,27.08,8.4,0.0,8.62,32.27,26.09,41.29
hsa-miR-101-3p,0.0,0.0,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.76,0.0,0.0
