miRNA,SRR7084505,SRR7084506,SRR7084508,SRR7084509,SRR7084510
hsa-let-7a-3p,0.0,0.0,14.0,16.0,48.0
hsa-let-7a-5p,140.0,268.0,14024.0,4786.0,8275.0
hsa-let-7b-3p,0.0,0.0,18.0,28.0,38.0
hsa-let-7b-5p,15.0,5.0,11892.0,9874.0,12866.0
hsa-let-7c-3p,0.0,0.0,1.0,1.0,0.0
hsa-let-7c-5p,3.0,12.0,1386.0,189.0,397.0
hsa-let-7d-3p,0.0,0.0,1152.0,273.0,644.0
hsa-let-7d-5p,0.0,0.0,508.0,43.0,155.0
hsa-let-7e-5p,9.0,3.0,875.0,263.0,582.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,2.0
hsa-let-7f-5p,36.0,48.0,15845.0,2567.0,4084.0
hsa-let-7g-3p,0.0,0.0,4.0,0.0,0.0
hsa-let-7g-5p,18.0,9.0,3293.0,461.0,566.0
hsa-let-7i-3p,0.0,0.0,2.0,4.0,0.0
hsa-let-7i-5p,16.0,26.0,12587.0,9364.0,10335.0
hsa-miR-1-3p,65.0,74.0,199.0,12.0,28.0
hsa-miR-100-5p,365.0,359.0,5799.0,5745.0,14351.0
hsa-miR-101-3p,280.0,292.0,3703.0,199.0,501.0
hsa-miR-10394-3p,0.0,5.0,0.0,0.0,0.0
hsa-miR-10395-3p,32.0,14.0,0.0,0.0,5.0
hsa-miR-10396b-3p,1.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,124.0,955.0,0.0,26.0,48.0
hsa-miR-10401-3p,3.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,21.0,14.0,33.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,1.0
hsa-miR-10527-5p,1.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,76.0,200.0,5.0,0.0,0.0
hsa-miR-106b-3p,409.0,385.0,863.0,27.0,37.0
hsa-miR-106b-5p,24.0,23.0,74.0,7.0,29.0
hsa-miR-107,7.0,3.0,2.0,1.0,3.0
hsa-miR-10a-3p,0.0,0.0,26.0,8.0,6.0
