miRNA,SRR12765362,SRR12765363,SRR12765364,SRR12765365,SRR12765366,SRR12765367,SRR12765368,SRR12765369,SRR12765370,SRR12765371,SRR12765372,SRR12765373,SRR12765374,SRR12765375,SRR12765376,SRR12765377,SRR12765378,SRR12765379,SRR12765380,SRR12765381,SRR12765382,SRR12765383,SRR12765384,SRR12765385,SRR12765386,SRR12765387,SRR12765388,SRR12765389,SRR12765390,SRR12765391,SRR12765431,SRR12765435
hsa-let-7a-3p,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,0.0,0.0,0.0,559.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,450.0,1.0,0.0,0.0,1.0,0.0,3.0,1788.0,1.0,1.0,33.0,5.0,195.0,0.0,0.0,149.0,0.0,0.0,0.0,107.0,26.0
hsa-let-7b-3p,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,0.0,0.0,0.0,362.0,0.0,2.0,1.0,0.0,407.0,0.0,11.0,319.0,0.0,0.0,0.0,1.0,0.0,1.0,1701.0,0.0,2.0,11.0,0.0,312.0,1.0,4.0,312.0,1.0,0.0,0.0,57.0,24.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,6.0
hsa-let-7d-3p,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,1.0,0.0,90.0,0.0,0.0,87.0,1.0,0.0,0.0,13.0,10.0
hsa-let-7d-5p,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,12.0,0.0,38.0,0.0,0.0,48.0,0.0,1.0,0.0,18.0,9.0
hsa-let-7e-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,0.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,229.0,0.0,1.0,293.0,0.0,0.0,0.0,2.0,0.0,1.0,1421.0,0.0,1.0,32.0,3.0,140.0,2.0,1.0,66.0,0.0,0.0,0.0,103.0,38.0
hsa-let-7g-3p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
hsa-let-7g-5p,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,230.0,0.0,0.0,0.0,1.0,0.0,1.0,584.0,0.0,2.0,9.0,0.0,83.0,2.0,0.0,46.0,0.0,0.0,0.0,73.0,49.0
hsa-let-7i-3p,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,6.0
hsa-let-7i-5p,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,332.0,0.0,4.0,233.0,0.0,0.0,0.0,1.0,0.0,0.0,1052.0,3.0,0.0,12.0,0.0,226.0,0.0,0.0,245.0,0.0,0.0,0.0,48.0,37.0
hsa-miR-1-3p,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,11.0,0.0,0.0,1.0,9.0,5.0
hsa-miR-101-3p,2.0,1.0,4.0,262.0,0.0,1.0,1.0,3.0,61.0,1.0,3.0,144.0,1.0,1.0,1.0,1.0,0.0,5.0,1000.0,2.0,2.0,6.0,6.0,58.0,1.0,2.0,67.0,0.0,0.0,6.0,23.0,16.0
hsa-miR-101-5p,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3.0,5.0,13.0,532.0,10.0,5.0,0.0,3.0,146.0,1.0,13.0,188.0,6.0,0.0,3.0,6.0,4.0,11.0,1317.0,2.0,5.0,14.0,14.0,12.0,2.0,8.0,22.0,6.0,1.0,7.0,89.0,42.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-106b-3p,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,4.0
hsa-miR-106b-5p,0.0,1.0,0.0,208.0,1.0,2.0,0.0,0.0,124.0,0.0,7.0,213.0,0.0,0.0,0.0,1.0,1.0,0.0,1056.0,0.0,2.0,35.0,0.0,87.0,2.0,2.0,109.0,0.0,0.0,0.0,17.0,17.0
hsa-miR-107,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,152.0,0.0,0.0,0.0,1.0,31.0
hsa-miR-10a-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
hsa-miR-10a-5p,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,17.0,0.0,0.0,0.0,44.0,33.0
hsa-miR-10b-5p,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0,0.0,0.0,48.0,1.0,0.0,26.0,0.0,0.0,2.0,39.0,43.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,120.0,0.0,2.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
