miRNA,ERR7015676,ERR7015677,ERR7015678,ERR7015679,ERR7015680,ERR7015681,ERR7015682,ERR7015683,ERR7015684,ERR7015685,ERR7015686,ERR7015687
hsa-let-7a-2-3p,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
hsa-let-7a-3p,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0
hsa-let-7a-5p,193.0,175.0,366.0,66.0,68.0,44.0,138.0,428.0,417.0,385.0,199.0,109.0
hsa-let-7b-3p,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,240.0,136.0,322.0,198.0,117.0,156.0,185.0,351.0,441.0,147.0,76.0,33.0
hsa-let-7c-5p,18.0,23.0,67.0,17.0,1.0,10.0,74.0,45.0,2.0,11.0,4.0,7.0
hsa-let-7d-3p,6.0,11.0,17.0,4.0,8.0,9.0,2.0,9.0,10.0,38.0,9.0,7.0
hsa-let-7d-5p,20.0,16.0,51.0,14.0,3.0,7.0,20.0,33.0,29.0,51.0,22.0,8.0
hsa-let-7e-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,6.0,12.0,26.0,11.0,1.0,4.0,16.0,23.0,23.0,53.0,26.0,20.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
hsa-let-7f-5p,84.0,53.0,132.0,34.0,13.0,38.0,65.0,112.0,112.0,157.0,82.0,68.0
hsa-let-7g-5p,115.0,67.0,118.0,34.0,35.0,37.0,44.0,92.0,96.0,138.0,55.0,39.0
hsa-let-7i-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,111.0,86.0,224.0,87.0,41.0,75.0,110.0,180.0,173.0,286.0,133.0,72.0
hsa-miR-1-3p,5.0,8.0,6.0,2.0,3.0,7.0,2.0,30.0,15.0,20.0,0.0,2.0
hsa-miR-100-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-100-5p,341.0,137.0,657.0,213.0,177.0,253.0,282.0,475.0,383.0,586.0,382.0,168.0
hsa-miR-101-3p,16.0,24.0,12.0,14.0,7.0,10.0,14.0,24.0,16.0,33.0,14.0,11.0
hsa-miR-10396a-3p,4.0,2.0,3.0,0.0,8.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0
