miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-let-7a-3p,8.0,0.0,10.0,0.0,12.0,77.0,20.0,37.0,29.0,11.0,0.0,63.0,4.0,12.0,50.0,22.0,5.0
hsa-let-7a-5p,2373.0,718.0,5177.0,135.0,26039.0,39761.0,7257.0,8609.0,10659.0,15913.0,289.0,40978.0,10588.0,3804.0,23358.0,12959.0,1164.0
hsa-let-7b-3p,6.0,0.0,35.0,0.0,53.0,130.0,34.0,82.0,142.0,29.0,0.0,73.0,3.0,16.0,56.0,24.0,0.0
hsa-let-7b-5p,1442.0,867.0,3377.0,173.0,18215.0,20945.0,3171.0,4018.0,5329.0,6558.0,302.0,18043.0,7949.0,2025.0,12285.0,4455.0,1788.0
hsa-let-7c-3p,5.0,0.0,0.0,0.0,6.0,5.0,5.0,8.0,1.0,5.0,0.0,3.0,0.0,1.0,10.0,1.0,0.0
hsa-let-7c-5p,820.0,232.0,1852.0,83.0,10715.0,13443.0,3207.0,2525.0,2882.0,3297.0,212.0,7960.0,2087.0,1716.0,7623.0,995.0,859.0
hsa-let-7d-3p,50.0,95.0,133.0,14.0,322.0,579.0,152.0,196.0,234.0,642.0,12.0,348.0,131.0,131.0,314.0,143.0,39.0
hsa-let-7d-5p,99.0,13.0,228.0,9.0,642.0,1713.0,371.0,425.0,538.0,807.0,6.0,942.0,251.0,167.0,1179.0,647.0,25.0
hsa-let-7e-3p,1.0,0.0,4.0,0.0,25.0,13.0,6.0,10.0,6.0,11.0,0.0,7.0,2.0,12.0,24.0,15.0,0.0
hsa-let-7e-5p,109.0,28.0,314.0,6.0,1005.0,1495.0,185.0,336.0,548.0,369.0,7.0,1692.0,405.0,210.0,1598.0,435.0,65.0
hsa-let-7f-1-3p,0.0,0.0,2.0,0.0,5.0,15.0,1.0,7.0,7.0,6.0,0.0,37.0,0.0,0.0,7.0,4.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7f-5p,815.0,371.0,1341.0,44.0,9087.0,13283.0,3275.0,2634.0,2796.0,7560.0,184.0,34074.0,3905.0,1440.0,11307.0,3415.0,591.0
