miRNA,SRR20563511
hsa-miR-432-5p,3243.52
hsa-let-7b-5p,1573.97
hsa-miR-103a-3p,895.18
hsa-let-7c-5p,836.32
hsa-mir-7702-5p,774.37
hsa-miR-142-3p,702.25
hsa-miR-199a-3p,34.07
hsa-miR-3960,11.06
hsa-miR-125b-5p,3.98
hsa-miR-100-5p,3.54
hsa-miR-21-5p,2.21
hsa-miR-99a-5p,2.21
hsa-miR-125a-5p,3.54
hsa-miR-148a-3p,1.77
hsa-mir-298-5p,1.77
hsa-miR-561-3p,1.33
hsa-miR-127-3p,1.77
hsa-mir-4739-5p,0.88
hsa-miR-9-5p,1.77
hsa-let-7i-5p,0.88
hsa-miR-196a-5p,1.33
hsa-miR-16-5p,0.88
hsa-miR-181a-5p,1.77
hsa-miR-27b-3p,1.77
hsa-miR-26a-5p,1.33
hsa-miR-1285-5p,0.88
hsa-miR-744-5p,0.44
hsa-miR-93-5p,0.44
hsa-miR-3665,0.44
hsa-miR-1306-5p,0.44
hsa-miR-30d-5p,0.88
hsa-let-7a-5p,0.88
hsa-let-7f-5p,0.44
hsa-miR-219a-2-3p,0.44
hsa-miR-30a-5p,1.33
hsa-let-7e-5p,0.44
hsa-miR-23a-3p,0.44
