miRNA,SRR2141641,SRR2141642,SRR2141643,SRR2141644,SRR2141645,SRR2141646,SRR2141647,SRR2141648,SRR2141649,SRR2141650,SRR2141651,SRR2141652,SRR2141653,SRR2141654,SRR2141655,SRR2141656,SRR2141657,SRR2141658,SRR2141659
hsa-let-7a-3p,289.0,0.0,142.0,1044.0,188.0,84.0,64.0,120.0,74.0,154.0,406.0,251.0,656.0,544.0,191.0,337.0,525.0,534.0,700.0
hsa-let-7a-5p,17031.0,3.0,9076.0,10866.0,19809.0,7899.0,6934.0,2374.0,6746.0,23829.0,9518.0,9872.0,72722.0,24554.0,40571.0,29894.0,51327.0,43099.0,64396.0
hsa-let-7b-3p,26.0,0.0,14.0,3.0,22.0,1.0,4.0,21.0,9.0,5.0,27.0,19.0,28.0,10.0,10.0,25.0,34.0,56.0,14.0
hsa-let-7b-5p,20820.0,9.0,8186.0,20754.0,13596.0,3217.0,2791.0,4309.0,2884.0,14122.0,13357.0,36300.0,110057.0,31880.0,23054.0,24304.0,23172.0,13427.0,71230.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,276.0,1.0,485.0,906.0,1147.0,202.0,179.0,21.0,123.0,320.0,722.0,104.0,4319.0,312.0,499.0,290.0,589.0,392.0,2192.0
hsa-let-7d-3p,1894.0,0.0,752.0,555.0,816.0,773.0,842.0,407.0,224.0,962.0,1828.0,1822.0,392.0,1140.0,1523.0,2065.0,10316.0,15491.0,7950.0
hsa-let-7d-5p,2117.0,0.0,1154.0,2770.0,3159.0,1071.0,1108.0,434.0,700.0,3289.0,1354.0,1055.0,7620.0,3690.0,4933.0,2872.0,7570.0,5803.0,7533.0
hsa-let-7e-3p,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
hsa-let-7e-5p,325.0,0.0,138.0,172.0,274.0,267.0,142.0,26.0,92.0,235.0,175.0,171.0,522.0,797.0,1333.0,525.0,919.0,1035.0,844.0
hsa-let-7f-1-3p,6.0,0.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,13.0
hsa-let-7f-2-3p,22.0,0.0,3.0,0.0,14.0,4.0,1.0,3.0,0.0,0.0,12.0,0.0,30.0,26.0,1.0,4.0,12.0,9.0,43.0
hsa-let-7f-5p,10370.0,10.0,7215.0,10510.0,16727.0,7415.0,7089.0,1585.0,4912.0,21480.0,6739.0,6129.0,44595.0,15940.0,29013.0,18685.0,35104.0,46984.0,43506.0
hsa-let-7g-3p,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0
hsa-let-7g-5p,15956.0,5.0,9056.0,16449.0,19973.0,6560.0,6647.0,1792.0,4020.0,21725.0,6866.0,6840.0,58613.0,14756.0,22058.0,15177.0,29680.0,27289.0,24954.0
hsa-let-7i-3p,4.0,0.0,1.0,8.0,0.0,1.0,2.0,0.0,2.0,15.0,10.0,0.0,12.0,4.0,10.0,3.0,10.0,20.0,43.0
hsa-let-7i-5p,8563.0,4.0,6618.0,12800.0,11296.0,2999.0,3926.0,3996.0,1593.0,10343.0,7673.0,9207.0,29161.0,12333.0,9194.0,9953.0,15389.0,17726.0,32130.0
hsa-miR-1-3p,1188.0,0.0,593.0,149.0,547.0,78.0,118.0,240.0,120.0,535.0,200.0,48.0,239.0,140.0,481.0,410.0,2347.0,742.0,739.0
hsa-miR-100-5p,4157.0,1.0,4032.0,897.0,3667.0,371.0,1226.0,643.0,456.0,1193.0,1692.0,889.0,1206.0,3260.0,986.0,2224.0,2474.0,1502.0,5771.0
hsa-miR-101-3p,15152.0,2.0,7455.0,9737.0,14775.0,4177.0,6164.0,3762.0,1384.0,13218.0,10659.0,11550.0,36021.0,19202.0,9281.0,18012.0,21782.0,34977.0,45127.0
hsa-miR-101-5p,0.0,0.0,1.0,6.0,8.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,8.0,4.0,11.0,9.0,0.0,14.0
hsa-miR-10392-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,16.0,0.0,10.0,20.0,10.0,10.0,4.0,1.0,0.0,9.0,3.0,3.0,46.0,58.0,25.0,3.0,19.0,23.0,26.0
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,2638.0,2.0,1626.0,672.0,365.0,1069.0,374.0,129.0,581.0,38.0,1064.0,1858.0,2114.0,4786.0,3266.0,601.0,4005.0,6999.0,9781.0
hsa-miR-103b,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-10401-5p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
hsa-miR-106a-3p,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,14.0,10.0,0.0,0.0,4.0,11.0,7.0,3.0
hsa-miR-106a-5p,193.0,0.0,68.0,131.0,145.0,99.0,55.0,8.0,4.0,325.0,137.0,48.0,489.0,105.0,80.0,123.0,384.0,471.0,425.0
hsa-miR-106b-3p,137.0,0.0,57.0,91.0,134.0,14.0,46.0,14.0,4.0,148.0,26.0,74.0,237.0,59.0,87.0,135.0,217.0,361.0,454.0
hsa-miR-106b-5p,696.0,0.0,234.0,494.0,589.0,152.0,161.0,56.0,59.0,787.0,332.0,490.0,2049.0,863.0,385.0,791.0,871.0,956.0,1219.0
hsa-miR-107,954.0,0.0,1.0,844.0,21.0,17.0,24.0,587.0,7.0,785.0,798.0,128.0,5067.0,14.0,81.0,1702.0,61.0,192.0,85.0
hsa-miR-10a-3p,71.0,0.0,29.0,8.0,13.0,4.0,4.0,3.0,1.0,2.0,33.0,7.0,27.0,33.0,7.0,8.0,62.0,24.0,4.0
hsa-miR-10a-5p,9579.0,43.0,4167.0,1428.0,4882.0,2618.0,3035.0,766.0,1354.0,1953.0,5044.0,3203.0,2475.0,2546.0,4164.0,4592.0,16905.0,8923.0,9398.0
hsa-miR-10b-3p,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,2.0,8.0,1.0
hsa-miR-10b-5p,4181.0,9.0,2703.0,872.0,2210.0,1001.0,958.0,715.0,588.0,988.0,2779.0,1932.0,2389.0,2360.0,1107.0,3024.0,3950.0,2814.0,4782.0
hsa-miR-11400,80.0,0.0,1.0,2.0,70.0,18.0,9.0,0.0,3.0,193.0,67.0,23.0,137.0,274.0,406.0,5.0,296.0,76.0,330.0
hsa-miR-11401,8.0,0.0,0.0,7.0,4.0,44.0,19.0,0.0,1.0,5.0,0.0,4.0,20.0,5.0,17.0,16.0,0.0,0.0,16.0
hsa-miR-1180-3p,414.0,0.0,136.0,333.0,252.0,60.0,68.0,131.0,32.0,208.0,425.0,558.0,837.0,728.0,222.0,241.0,340.0,240.0,1252.0
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1182,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,49.0,0.0,2.0,0.0,24.0,12.0,15.0,0.0,6.0,13.0,6.0,0.0,0.0,15.0,18.0,0.0,77.0,24.0,16.0
hsa-miR-1185-2-3p,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
hsa-miR-1197,17.0,0.0,0.0,0.0,7.0,13.0,16.0,2.0,4.0,6.0,0.0,0.0,0.0,5.0,4.0,0.0,5.0,14.0,5.0
hsa-miR-1203,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-12135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-12136,2.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,27.0,2.0,2.0,17.0,11.0,0.0
hsa-miR-122-5p,1464.0,90.0,27147.0,565.0,146.0,11193.0,345.0,126.0,388.0,12820.0,19265.0,10889.0,19423.0,55499.0,676.0,1950.0,14016.0,9358.0,58658.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
hsa-miR-1229-3p,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
