miRNA,SRR16347582,SRR16347583,SRR16347584,SRR16347585,SRR16347586,SRR16347587,SRR16347588,SRR16347589,SRR16347590,SRR16347591,SRR16347592,SRR16347593
hsa-let-7a-2-3p,3.0,10.0,3.0,8.0,1.0,2.0,2.0,0.0,3.0,0.0,5.0,0.0
hsa-let-7a-3p,4.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0
hsa-let-7a-5p,1326.0,24206.0,552.0,14848.0,1599.0,19323.0,4269.0,3130.0,2511.0,19161.0,22340.0,14588.0
hsa-let-7b-3p,0.0,4.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0
hsa-let-7b-5p,6810.0,43876.0,2512.0,32248.0,7673.0,45154.0,29418.0,10178.0,7353.0,55975.0,29926.0,20644.0
hsa-let-7c-3p,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
hsa-let-7c-5p,240.0,2695.0,169.0,3332.0,148.0,3701.0,819.0,888.0,303.0,6478.0,964.0,1128.0
hsa-let-7d-3p,6.0,131.0,0.0,28.0,8.0,36.0,7.0,3.0,1.0,33.0,5.0,60.0
hsa-let-7d-5p,7.0,125.0,3.0,43.0,16.0,68.0,9.0,16.0,31.0,42.0,154.0,78.0
hsa-let-7e-3p,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
hsa-let-7e-5p,113.0,2693.0,39.0,1231.0,159.0,1924.0,360.0,253.0,277.0,2107.0,2749.0,1643.0
hsa-let-7f-5p,626.0,10371.0,421.0,6867.0,645.0,6984.0,1474.0,1084.0,1267.0,8294.0,12285.0,7632.0
hsa-let-7g-5p,27.0,466.0,57.0,324.0,52.0,189.0,101.0,27.0,98.0,206.0,316.0,178.0
hsa-let-7i-3p,0.0,0.0,3.0,1.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0
hsa-let-7i-5p,4065.0,6433.0,4339.0,6398.0,2484.0,6934.0,8581.0,1100.0,14450.0,11257.0,14556.0,2865.0
hsa-miR-1-3p,0.0,13.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,9.0,0.0
hsa-miR-100-3p,1.0,22.0,0.0,6.0,1.0,16.0,4.0,1.0,2.0,11.0,3.0,10.0
hsa-miR-100-5p,1175.0,1743.0,773.0,3457.0,1165.0,1590.0,2576.0,242.0,1448.0,3300.0,6284.0,1210.0
hsa-miR-101-3p,10.0,79.0,19.0,88.0,16.0,84.0,38.0,10.0,39.0,72.0,85.0,59.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-10396a-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,1.0,624.0,17.0,169.0,38.0,259.0,98.0,10.0,109.0,385.0,1697.0,95.0
hsa-miR-10401-3p,0.0,18.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,3.0,4.0,6.0,22.0,4.0,16.0,10.0,0.0,6.0,65.0,13.0,10.0
hsa-miR-106b-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-107,2.0,31.0,0.0,15.0,0.0,6.0,3.0,7.0,1.0,0.0,6.0,8.0
hsa-miR-10a-3p,5.0,11.0,12.0,34.0,0.0,8.0,9.0,1.0,7.0,21.0,19.0,9.0
hsa-miR-10a-5p,149.0,662.0,42.0,733.0,134.0,529.0,279.0,40.0,157.0,349.0,549.0,358.0
hsa-miR-10b-3p,2.0,15.0,4.0,6.0,5.0,1.0,8.0,0.0,12.0,27.0,9.0,7.0
hsa-miR-10b-5p,141.0,503.0,56.0,276.0,98.0,305.0,228.0,42.0,204.0,728.0,488.0,371.0
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,2.0,4.0,0.0,0.0,3.0,5.0,10.0,5.0,0.0,15.0,2.0,2.0
hsa-miR-1181,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,4.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,12.0,10.0,44.0,1.0,9.0,0.0,7.0,0.0,43.0,0.0,19.0,0.0
hsa-miR-122-5p,2.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-1226-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1236-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1246,22.0,37.0,34.0,48.0,23.0,41.0,35.0,5.0,64.0,31.0,20.0,0.0
hsa-miR-1248,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,33.0,0.0
hsa-miR-1249-3p,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,2.0,0.0
hsa-miR-125a-3p,2.0,14.0,1.0,8.0,4.0,2.0,10.0,1.0,6.0,0.0,8.0,0.0
hsa-miR-125a-5p,2135.0,11836.0,297.0,7157.0,2738.0,14149.0,6200.0,1138.0,946.0,10142.0,4358.0,7492.0
hsa-miR-125b-1-3p,23.0,20.0,11.0,21.0,17.0,15.0,43.0,1.0,27.0,103.0,31.0,38.0
hsa-miR-125b-2-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-125b-5p,10381.0,32458.0,2397.0,31871.0,13969.0,28344.0,34547.0,2483.0,6498.0,24909.0,32998.0,15881.0
hsa-miR-126-3p,2.0,101.0,8.0,43.0,6.0,41.0,18.0,27.0,24.0,51.0,43.0,20.0
hsa-miR-126-5p,0.0,8.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0
hsa-miR-1260b,3.0,9.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1262,0.0,11.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,26.0,4.0,0.0
hsa-miR-1267,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-127-3p,313.0,769.0,288.0,1090.0,313.0,896.0,671.0,76.0,807.0,801.0,1613.0,1219.0
hsa-miR-127-5p,4.0,15.0,6.0,8.0,3.0,0.0,8.0,5.0,13.0,12.0,26.0,4.0
hsa-miR-1270,7.0,44.0,1.0,8.0,2.0,17.0,23.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,3.0,0.0,1.0,7.0,5.0,8.0,5.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1273h-5p,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1275,0.0,43.0,0.0,14.0,0.0,30.0,2.0,4.0,0.0,67.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,49.0,234.0,16.0,355.0,67.0,213.0,138.0,20.0,85.0,122.0,173.0,89.0
hsa-miR-1285-5p,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-1287-5p,1.0,13.0,5.0,20.0,3.0,3.0,8.0,0.0,4.0,4.0,15.0,2.0
hsa-miR-129-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-129-5p,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,25.0,0.0
hsa-miR-1291,5.0,0.0,18.0,1.0,5.0,2.0,5.0,0.0,26.0,0.0,30.0,0.0
hsa-miR-1292-5p,0.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-1294,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1296-5p,6.0,17.0,4.0,16.0,9.0,13.0,6.0,4.0,1.0,13.0,5.0,11.0
hsa-miR-1299,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0
hsa-miR-1301-3p,0.0,5.0,0.0,5.0,0.0,8.0,3.0,9.0,1.0,0.0,2.0,0.0
hsa-miR-1303,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,5.0,143.0,1.0,11.0,5.0,43.0,16.0,30.0,3.0,100.0,0.0,24.0
hsa-miR-1307-3p,29.0,137.0,9.0,55.0,36.0,107.0,96.0,23.0,28.0,197.0,52.0,175.0
hsa-miR-1307-5p,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,12.0,2.0,4.0
hsa-miR-130a-3p,6.0,59.0,11.0,93.0,3.0,48.0,16.0,5.0,27.0,32.0,42.0,32.0
hsa-miR-130b-3p,1.0,28.0,2.0,6.0,0.0,12.0,5.0,0.0,1.0,16.0,8.0,0.0
hsa-miR-130b-5p,0.0,8.0,0.0,7.0,0.0,4.0,1.0,5.0,2.0,8.0,1.0,5.0
hsa-miR-132-3p,4.0,0.0,1.0,11.0,4.0,10.0,7.0,4.0,3.0,0.0,8.0,8.0
hsa-miR-132-5p,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-134-5p,95.0,613.0,106.0,419.0,76.0,382.0,244.0,66.0,237.0,490.0,486.0,561.0
hsa-miR-1343-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,17.0
hsa-miR-136-3p,4.0,15.0,9.0,27.0,7.0,1.0,14.0,2.0,14.0,9.0,95.0,36.0
hsa-miR-136-5p,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,2.0,10.0,3.0,7.0
hsa-miR-137-3p,9.0,35.0,13.0,78.0,13.0,40.0,13.0,0.0,8.0,20.0,252.0,47.0
hsa-miR-137-5p,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
hsa-miR-138-1-3p,1.0,0.0,1.0,3.0,2.0,19.0,0.0,0.0,1.0,0.0,0.0,5.0
hsa-miR-138-5p,34.0,95.0,46.0,131.0,28.0,45.0,16.0,4.0,66.0,22.0,108.0,16.0
