miRNA,SRR4103521,SRR4103522,SRR4103523,SRR4103524,SRR4103525,SRR4103533,SRR4103534,SRR4103535,SRR4103536,SRR4103537,SRR4103538,SRR4103539,SRR4103540,SRR4103581,SRR4103582,SRR4103606,SRR4103647,SRR4103648,SRR4103649,SRR4103651,SRR4103652,SRR4103653
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,45.0,0.0,0.0,0.0
hsa-let-7a-3p,1.0,3.0,0.0,0.0,1020.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,85.0,94.0,0.0,0.0,0.0
hsa-let-7a-5p,18.0,21.0,0.0,1.0,10210.0,14.0,5.0,918.0,39.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1004.0,947.0,761.0,1.0,0.0,0.0
hsa-let-7b-3p,0.0,2.0,0.0,0.0,785.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,28.0,14.0,0.0,0.0,0.0
hsa-let-7b-5p,18.0,44.0,5.0,0.0,8955.0,24.0,5.0,652.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,917.0,915.0,812.0,1.0,1.0,0.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,8.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,63.0,1.0,0.0,408.0,0.0,0.0,108.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,71.0,59.0,40.0,0.0,0.0,0.0
hsa-let-7d-3p,3.0,15.0,0.0,0.0,25.0,0.0,2.0,158.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,200.0,202.0,190.0,0.0,0.0,1.0
hsa-let-7d-5p,1.0,31.0,0.0,0.0,438.0,5.0,1.0,930.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,382.0,331.0,315.0,0.0,0.0,0.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,101.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,27.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,1829.0,3.0,2.0,312.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,120.0,92.0,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,137.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,12.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,43.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,24.0,62.0,9.0,1.0,8890.0,5.0,2.0,1326.0,79.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,2114.0,2029.0,1899.0,1.0,0.0,0.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0
hsa-let-7g-5p,21.0,109.0,2.0,0.0,48675.0,23.0,10.0,1161.0,101.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,2089.0,1901.0,1883.0,1.0,0.0,0.0
