miRNA,SRR6230319,SRR6230320,SRR6230321,SRR6230322,SRR6230323,SRR6230324,SRR6230325,SRR6230326
hsa-let-7a-2-3p,0.0,0.0,0.17,0.0,0.47,0.93,0.37,0.77
hsa-let-7a-3p,0.73,0.35,0.52,0.56,3.67,4.67,6.54,6.16
hsa-let-7a-5p,142.29,113.01,146.98,110.4,222.96,433.54,469.22,617.75
hsa-let-7b-3p,0.0,0.18,0.17,0.0,0.71,0.75,1.49,1.54
hsa-let-7b-5p,498.3,533.2,459.94,444.19,619.42,1581.66,1364.15,1310.51
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.36,0.0,0.37,0.51
hsa-let-7c-5p,26.07,37.14,31.56,29.87,60.59,132.12,123.05,123.29
hsa-let-7d-3p,0.73,0.88,1.92,2.23,10.53,20.93,12.51,17.72
hsa-let-7d-5p,5.69,4.58,6.45,5.38,11.6,26.35,28.75,29.28
hsa-let-7e-3p,0.37,0.0,0.17,0.56,2.01,4.11,5.6,4.37
hsa-let-7e-5p,7.53,8.27,6.8,10.39,24.85,60.55,52.84,72.18
hsa-let-7f-1-3p,0.0,0.0,0.17,0.19,0.59,0.19,0.75,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.12,0.0,0.75,0.51
hsa-let-7f-5p,76.75,72.0,89.44,64.38,95.98,182.01,201.09,304.12
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
hsa-let-7g-5p,311.02,217.93,364.05,257.16,690.66,1224.93,1302.9,1592.54
hsa-let-7i-3p,0.0,0.35,0.35,0.0,0.71,0.93,1.31,1.03
hsa-let-7i-5p,872.29,675.08,865.66,576.66,749.95,1693.78,1684.55,2122.19
hsa-miR-1-3p,1.47,0.0,0.17,0.19,0.0,0.0,0.0,0.26
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.26
hsa-miR-100-5p,3576.39,3344.76,3787.64,3075.34,2834.01,6351.11,4482.12,7990.96
hsa-miR-101-2-5p,0.18,0.0,0.0,0.0,0.12,0.37,0.56,0.51
hsa-miR-101-3p,83.36,33.62,68.69,44.16,50.65,76.43,71.14,92.73
hsa-miR-10393-3p,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.12,0.19,0.0,0.26
hsa-miR-10395-3p,6.24,5.81,6.28,7.24,3.31,11.77,13.07,16.95
hsa-miR-10395-5p,0.0,0.0,0.17,0.19,0.12,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-miR-10399-3p,56.37,44.54,60.5,42.12,37.16,62.23,52.47,77.06
hsa-miR-10399-5p,0.37,0.18,0.0,0.0,0.12,0.19,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.12,0.0,0.19,0.0
hsa-miR-103a-3p,5.32,4.75,3.31,4.64,4.26,0.19,2.24,14.9
hsa-miR-10401-3p,0.37,0.0,0.52,0.19,0.36,0.93,0.37,0.77
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.59,0.19,0.19,0.0
hsa-miR-105-5p,2.02,1.94,1.22,1.11,17.75,28.78,24.46,26.71
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0
hsa-miR-10527-5p,0.37,0.0,0.52,0.19,0.36,0.75,0.19,0.77
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.47,0.19,0.37,0.0
hsa-miR-106b-3p,4.96,3.17,3.84,2.97,6.15,12.33,7.47,6.42
hsa-miR-106b-5p,1.29,1.23,0.87,0.93,1.89,4.48,1.87,5.91
hsa-miR-10a-3p,0.73,0.0,0.0,0.37,0.24,0.75,0.37,0.51
hsa-miR-10a-5p,511.52,298.9,477.9,360.14,975.64,1558.86,1175.19,1480.55
hsa-miR-10b-3p,0.37,0.0,0.0,0.19,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,110.34,73.05,111.41,66.05,5.33,10.28,5.04,6.16
hsa-miR-11399,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,4.77,6.34,8.02,6.31,36.21,56.25,44.81,40.84
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.71,0.75,0.19,0.26
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-miR-122-5p,0.0,0.0,0.52,0.93,0.12,0.19,1.31,0.0
hsa-miR-1226-3p,0.0,0.0,0.17,0.0,0.24,0.56,0.19,0.26
hsa-miR-1227-3p,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-5p,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.77
hsa-miR-1229-5p,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.26
hsa-miR-122b-5p,0.0,0.18,0.0,0.19,0.0,0.0,0.0,0.51
hsa-miR-1234-3p,0.0,0.0,0.0,0.19,0.12,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.24,0.0,0.37,0.0
hsa-miR-1244,0.18,0.0,0.17,0.19,0.24,0.56,0.37,0.26
hsa-miR-1246,0.73,0.0,0.0,0.37,0.24,1.12,0.93,1.28
hsa-miR-1247-5p,0.73,0.18,0.7,0.0,0.59,0.75,0.93,0.26
hsa-miR-1248,0.73,0.18,0.17,0.37,0.59,0.93,0.37,1.28
hsa-miR-1249-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
hsa-miR-1255b-5p,0.0,0.0,0.17,0.19,0.12,0.0,0.75,1.03
hsa-miR-1258,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,0.59,0.93,1.12,1.54
hsa-miR-125a-5p,136.05,83.44,126.41,141.2,411.25,1347.89,1086.31,1149.97
hsa-miR-125b-1-3p,1.84,1.41,1.92,2.23,6.98,17.19,20.35,20.55
hsa-miR-125b-2-3p,0.73,0.35,0.52,0.37,1.3,1.68,1.68,2.05
hsa-miR-125b-5p,13.77,14.96,17.78,22.45,34.44,120.72,91.12,116.62
hsa-miR-126-3p,4.41,3.52,3.84,2.97,4.38,8.6,11.95,16.7
hsa-miR-126-5p,0.0,0.0,0.17,0.0,0.59,0.56,1.31,0.51
hsa-miR-1262,0.73,0.35,0.35,0.19,1.3,3.36,2.8,1.8
hsa-miR-1266-5p,0.55,0.18,0.17,0.19,2.01,2.8,2.43,3.34
hsa-miR-1268b,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,4.22,2.82,2.44,1.48,0.59,0.93,1.31,0.77
hsa-miR-127-3p,6.43,7.04,8.02,7.79,35.86,79.98,77.67,72.43
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.24,0.19,0.19,0.77
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
hsa-miR-1278,0.0,0.18,0.0,0.56,0.95,1.49,1.49,1.54
hsa-miR-128-1-5p,0.18,0.0,0.17,0.19,0.36,0.19,0.75,0.77
hsa-miR-128-2-5p,0.0,0.0,0.0,0.0,0.12,0.19,0.0,0.26
hsa-miR-128-3p,2.75,1.23,1.57,1.67,21.78,53.82,36.78,49.32
hsa-miR-1284,0.0,0.0,0.0,0.0,0.36,0.0,0.19,0.0
hsa-miR-1285-3p,0.18,0.0,0.17,0.19,1.07,1.31,1.31,1.03
hsa-miR-1285-5p,0.55,0.53,0.87,0.56,0.95,0.75,0.56,0.77
hsa-miR-1287-5p,0.18,0.0,0.0,0.0,1.18,2.62,1.87,1.03
hsa-miR-1289,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.26
hsa-miR-1291,8.63,4.93,8.19,11.5,10.06,24.29,16.62,21.83
hsa-miR-1292-5p,1.1,1.06,1.05,0.56,1.66,6.17,3.55,3.08
