miRNA,SRR13854880,SRR13854881,SRR13854882,SRR13854883,SRR13854884,SRR13854885,SRR13854886,SRR13854887,SRR13854888,SRR13854889
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,17.0,28.0,39.0,40.0,111.0,57.0,19.0,59.0,55.0,27.0
hsa-let-7a-5p,121664.0,53299.0,144197.0,135107.0,603606.0,82697.0,65037.0,247963.0,60970.0,138762.0
hsa-let-7b-3p,6.0,2.0,10.0,18.0,33.0,9.0,16.0,14.0,7.0,2.0
hsa-let-7b-5p,70237.0,45449.0,74030.0,69134.0,217317.0,47041.0,24891.0,82518.0,40210.0,51650.0
hsa-let-7c-3p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,6881.0,4139.0,7262.0,6163.0,18785.0,5567.0,4273.0,16459.0,7281.0,6811.0
hsa-let-7d-3p,142.0,95.0,185.0,302.0,488.0,145.0,170.0,207.0,197.0,105.0
hsa-let-7d-5p,10676.0,4110.0,8548.0,13484.0,41700.0,5759.0,7366.0,21001.0,5339.0,11694.0
hsa-let-7e-3p,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,4.0,10.0,12.0,26.0,9.0,4.0,9.0,1.0,1.0
hsa-let-7f-2-3p,0.0,9.0,0.0,17.0,3.0,13.0,3.0,2.0,9.0,1.0
hsa-let-7f-5p,92127.0,45830.0,104536.0,113155.0,533303.0,77114.0,74846.0,204978.0,60346.0,106917.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,2.0,2.0
hsa-let-7g-5p,21422.0,12296.0,19976.0,21945.0,83196.0,18242.0,19199.0,44246.0,16991.0,22432.0
hsa-let-7i-3p,0.0,4.0,8.0,10.0,0.0,9.0,7.0,5.0,13.0,6.0
hsa-let-7i-5p,54123.0,43720.0,51145.0,66264.0,185347.0,57862.0,56623.0,99362.0,56732.0,57487.0
hsa-miR-1-3p,1994.0,1700.0,1173.0,1671.0,6452.0,1632.0,1376.0,1149.0,1876.0,1034.0
hsa-miR-100-5p,0.0,3.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-101-3p,621.0,591.0,705.0,831.0,2474.0,768.0,817.0,1643.0,845.0,750.0
hsa-miR-101-5p,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,12.0,1.0,12.0,3.0,8.0,26.0,12.0,0.0,7.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10396b-3p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,39.0,23.0,37.0,36.0,162.0,57.0,24.0,79.0,49.0,44.0
hsa-miR-10399-5p,5.0,0.0,3.0,2.0,7.0,0.0,0.0,5.0,2.0,4.0
