miRNA,SRR8560004,SRR8560005,SRR8560006
hsa-let-7a-2-3p,6.0,3.0,1.0
hsa-let-7a-3p,5.0,21.0,8.0
hsa-let-7a-5p,358.0,477.0,538.0
hsa-let-7b-3p,1.0,5.0,0.0
hsa-let-7b-5p,1286.0,4401.0,2584.0
hsa-let-7c-5p,6.0,117.0,0.0
hsa-let-7d-3p,31.0,31.0,14.0
hsa-let-7d-5p,58.0,54.0,72.0
hsa-let-7e-3p,2.0,1.0,0.0
hsa-let-7e-5p,12.0,19.0,16.0
hsa-let-7f-1-3p,1.0,2.0,0.0
hsa-let-7f-2-3p,1.0,2.0,0.0
hsa-let-7f-5p,486.0,879.0,594.0
hsa-let-7g-5p,562.0,444.0,331.0
hsa-let-7i-3p,1.0,4.0,0.0
hsa-let-7i-5p,1123.0,655.0,810.0
hsa-miR-1-3p,2.0,1.0,0.0
hsa-miR-100-5p,633.0,519.0,365.0
hsa-miR-101-3p,22.0,20.0,14.0
hsa-miR-10394-5p,1.0,0.0,0.0
hsa-miR-10395-3p,4.0,6.0,3.0
hsa-miR-10396b-3p,0.0,1.0,0.0
hsa-miR-10399-3p,4.0,7.0,5.0
hsa-miR-10399-5p,0.0,1.0,0.0
hsa-miR-103a-3p,4.0,3.0,8.0
hsa-miR-10400-5p,0.0,0.0,1.0
hsa-miR-10401-3p,1.0,2.0,0.0
hsa-miR-10526-3p,0.0,0.0,1.0
hsa-miR-106b-3p,30.0,37.0,20.0
hsa-miR-106b-5p,10.0,17.0,9.0
hsa-miR-107,55.0,128.0,18.0
hsa-miR-10a-3p,0.0,1.0,4.0
hsa-miR-10a-5p,9.0,22.0,18.0
hsa-miR-10b-5p,2.0,0.0,2.0
hsa-miR-1180-3p,8.0,28.0,8.0
hsa-miR-1185-5p,0.0,1.0,0.0
hsa-miR-1197,0.0,2.0,0.0
hsa-miR-12136,4.0,1.0,3.0
hsa-miR-122-5p,2.0,0.0,0.0
hsa-miR-1226-3p,9.0,3.0,1.0
