miRNA,SRR14730725,SRR14730726,SRR14730727,SRR14730728,SRR14730729,SRR14730730,SRR14730731,SRR14730732,SRR14730733,SRR14730734,SRR14730735,SRR14730736,SRR14730737,SRR14730738,SRR14730739,SRR14730740
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7a-3p,18.0,35.0,17.0,15.0,26.0,39.0,5.0,1.0,22.0,203.0,149.0,115.0,39.0,10.0,9.0,1.0
hsa-let-7a-5p,24730.0,7451.0,41657.0,23029.0,6597.0,40813.0,1287.0,2272.0,29597.0,42227.0,42161.0,28733.0,18256.0,5138.0,3937.0,8119.0
hsa-let-7b-3p,38.0,6.0,12.0,3.0,10.0,2.0,1.0,2.0,18.0,49.0,27.0,26.0,20.0,7.0,5.0,10.0
hsa-let-7b-5p,38082.0,39095.0,53369.0,63301.0,10246.0,36565.0,2909.0,9555.0,206016.0,20734.0,60971.0,44389.0,19107.0,55806.0,11866.0,34716.0
hsa-let-7c-3p,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,41.0,25.0,15.0,12.0,0.0,0.0,0.0
hsa-let-7c-5p,2482.0,5112.0,2447.0,1456.0,5362.0,1047.0,1067.0,382.0,8447.0,59404.0,39583.0,32001.0,9141.0,3131.0,421.0,1459.0
hsa-let-7d-3p,889.0,298.0,1171.0,164.0,166.0,404.0,22.0,53.0,765.0,1111.0,1073.0,613.0,1382.0,207.0,30.0,109.0
hsa-let-7d-5p,3928.0,1007.0,5632.0,1501.0,854.0,1772.0,139.0,167.0,4395.0,7946.0,6400.0,4831.0,2303.0,863.0,543.0,613.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,19.0,28.0,56.0,51.0,10.0,1.0,0.0,0.0
hsa-let-7e-5p,184.0,350.0,1339.0,373.0,498.0,265.0,9.0,5.0,562.0,4636.0,3385.0,2602.0,920.0,156.0,38.0,38.0
hsa-let-7f-1-3p,12.0,6.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,13.0,6.0,10.0,0.0,0.0,3.0,0.0
hsa-let-7f-2-3p,1.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,9.0,9.0,1.0,1.0,1.0,0.0
hsa-let-7f-5p,25547.0,20032.0,48334.0,16978.0,22241.0,98922.0,2277.0,1446.0,31022.0,181850.0,137154.0,97206.0,49381.0,7686.0,3320.0,6556.0
hsa-let-7g-3p,2.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0
hsa-let-7g-5p,61262.0,21551.0,97773.0,40074.0,21053.0,35117.0,4169.0,1724.0,41994.0,126553.0,102718.0,71245.0,36847.0,8229.0,6289.0,9479.0
