miRNA,SRR27918985,SRR27918986,SRR27918988,SRR27918989
hsa-let-7a-2-3p,33.0,36.0,0.0,0.0
hsa-let-7a-3p,105.0,118.0,20.0,2.0
hsa-let-7a-5p,7551.0,6655.0,7946.0,5452.0
hsa-let-7b-3p,12.0,20.0,14.0,5.0
hsa-let-7b-5p,1446.0,1607.0,3902.0,3275.0
hsa-let-7c-3p,1.0,3.0,0.0,0.0
hsa-let-7c-5p,458.0,516.0,26.0,23.0
hsa-let-7d-3p,192.0,256.0,144.0,54.0
hsa-let-7d-5p,477.0,525.0,850.0,521.0
hsa-let-7e-3p,12.0,14.0,7.0,4.0
hsa-let-7e-5p,656.0,659.0,820.0,446.0
hsa-let-7f-1-3p,19.0,19.0,5.0,2.0
hsa-let-7f-2-3p,9.0,6.0,0.0,0.0
hsa-let-7f-5p,13411.0,10262.0,7910.0,4510.0
hsa-let-7g-3p,2.0,2.0,0.0,0.0
hsa-let-7g-5p,19758.0,22849.0,2951.0,2114.0
hsa-let-7i-3p,22.0,9.0,7.0,3.0
hsa-let-7i-5p,49821.0,42298.0,54076.0,41978.0
hsa-miR-1-3p,13.0,4.0,0.0,0.0
hsa-miR-100-3p,7.0,5.0,0.0,0.0
hsa-miR-100-5p,139159.0,144138.0,11169.0,2629.0
hsa-miR-101-3p,1330.0,1104.0,70.0,12.0
hsa-miR-101-5p,0.0,1.0,0.0,0.0
hsa-miR-10393-3p,0.0,3.0,0.0,0.0
hsa-miR-10394-3p,0.0,1.0,0.0,0.0
hsa-miR-10395-3p,23.0,51.0,7.0,23.0
hsa-miR-10395-5p,2.0,0.0,0.0,0.0
hsa-miR-10396a-3p,1.0,1.0,0.0,0.0
hsa-miR-10396a-5p,1.0,2.0,0.0,0.0
hsa-miR-10399-3p,13.0,21.0,0.0,1.0
hsa-miR-10399-5p,0.0,1.0,0.0,0.0
hsa-miR-103a-2-5p,10.0,0.0,0.0,0.0
hsa-miR-103a-3p,1963.0,1868.0,451.0,210.0
hsa-miR-10401-3p,2.0,8.0,2.0,4.0
hsa-miR-10401-5p,0.0,0.0,0.0,2.0
hsa-miR-105-3p,1.0,0.0,0.0,0.0
hsa-miR-105-5p,15.0,15.0,4.0,0.0
hsa-miR-10526-3p,10.0,9.0,0.0,0.0
hsa-miR-10527-5p,0.0,1.0,0.0,0.0
hsa-miR-106a-5p,3.0,2.0,0.0,0.0
hsa-miR-106b-3p,1216.0,1263.0,173.0,88.0
hsa-miR-106b-5p,1231.0,1098.0,42.0,7.0
hsa-miR-107,87.0,46.0,30.0,2.0
hsa-miR-10a-3p,329.0,233.0,36.0,7.0
hsa-miR-10a-5p,8837.0,6616.0,4958.0,1045.0
hsa-miR-10b-3p,37.0,46.0,4.0,0.0
hsa-miR-10b-5p,3437.0,3118.0,828.0,132.0
hsa-miR-11401,1.0,2.0,0.0,0.0
hsa-miR-1179,0.0,1.0,0.0,0.0
hsa-miR-1180-3p,151.0,257.0,84.0,63.0
hsa-miR-1185-1-3p,18.0,21.0,25.0,3.0
hsa-miR-1185-2-3p,3.0,4.0,5.0,2.0
hsa-miR-1185-5p,1.0,0.0,0.0,0.0
hsa-miR-1197,6.0,8.0,1.0,1.0
hsa-miR-12117,0.0,1.0,0.0,0.0
hsa-miR-12136,7.0,6.0,36.0,0.0
hsa-miR-122-5p,2.0,0.0,0.0,7.0
hsa-miR-1225-3p,0.0,1.0,0.0,0.0
hsa-miR-1226-5p,2.0,1.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,1.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,1.0
hsa-miR-122b-5p,0.0,0.0,1.0,0.0
hsa-miR-1244,1.0,0.0,0.0,0.0
hsa-miR-1246,570.0,747.0,256.0,335.0
hsa-miR-1248,28.0,17.0,24.0,27.0
hsa-miR-1249-3p,0.0,3.0,3.0,0.0
hsa-miR-1250-5p,0.0,1.0,0.0,0.0
hsa-miR-1252-3p,1.0,0.0,0.0,0.0
hsa-miR-1252-5p,2.0,5.0,0.0,0.0
hsa-miR-1255a,20.0,16.0,3.0,0.0
hsa-miR-1255b-5p,0.0,3.0,2.0,0.0
hsa-miR-1256,1.0,0.0,0.0,0.0
hsa-miR-125a-3p,35.0,33.0,15.0,9.0
hsa-miR-125a-5p,861.0,640.0,2135.0,1022.0
hsa-miR-125b-1-3p,402.0,579.0,144.0,128.0
hsa-miR-125b-2-3p,2.0,0.0,0.0,0.0
hsa-miR-125b-5p,5156.0,4776.0,2264.0,936.0
hsa-miR-126-3p,118.0,123.0,22.0,4.0
