miRNA,SRR13716319,SRR13716320,SRR13716321,SRR13716322,SRR13716323
hsa-let-7a-3p,13.0,10.0,1.0,1.0,3.0
hsa-let-7a-5p,204285.0,24405.0,43678.0,2952.0,19342.0
hsa-let-7b-3p,7.0,2.0,373.0,7.0,3.0
hsa-let-7b-5p,647194.0,274328.0,42599.0,26327.0,20693.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,4.0
hsa-let-7c-5p,3840.0,5037.0,6282.0,776.0,2131.0
hsa-let-7d-3p,1235.0,2247.0,1295.0,524.0,840.0
hsa-let-7d-5p,4671.0,1434.0,3032.0,372.0,781.0
hsa-let-7e-3p,2.0,0.0,0.0,8.0,0.0
hsa-let-7e-5p,3147.0,826.0,2315.0,252.0,1027.0
hsa-let-7f-1-3p,2.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,1.0,0.0,0.0
hsa-let-7f-5p,110169.0,11772.0,23039.0,1916.0,11364.0
hsa-let-7g-5p,20951.0,4287.0,4429.0,464.0,2084.0
hsa-let-7i-3p,0.0,5.0,4.0,0.0,1.0
hsa-let-7i-5p,84506.0,18532.0,17543.0,3518.0,8634.0
hsa-miR-1-3p,63.0,23366.0,354.0,4421.0,416.0
hsa-miR-100-5p,7849.0,5618.0,4513.0,416.0,2314.0
hsa-miR-101-3p,3742.0,1175.0,1711.0,236.0,554.0
hsa-miR-10393-3p,7.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,2.0,0.0,1.0
hsa-miR-10395-3p,0.0,0.0,146.0,0.0,210.0
hsa-miR-10396a-3p,0.0,3.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,1.0
hsa-miR-10399-3p,181.0,123.0,0.0,24.0,44.0
hsa-miR-103a-3p,1266.0,568.0,222.0,54.0,133.0
hsa-miR-10401-3p,6.0,22.0,2.0,15.0,1.0
hsa-miR-105-5p,0.0,2.0,1.0,0.0,2.0
hsa-miR-106a-5p,9.0,30.0,0.0,0.0,1.0
hsa-miR-106b-3p,3909.0,875.0,888.0,201.0,488.0
hsa-miR-106b-5p,33.0,37.0,6.0,1.0,6.0
hsa-miR-107,14.0,1.0,2.0,3.0,7.0
hsa-miR-10a-3p,4.0,0.0,0.0,3.0,3.0
hsa-miR-10a-5p,10437.0,10347.0,8343.0,1543.0,1069.0
hsa-miR-10b-3p,8.0,17.0,16.0,1.0,6.0
hsa-miR-10b-5p,15083.0,17225.0,13922.0,2154.0,7484.0
hsa-miR-11400,184.0,167.0,1.0,126.0,78.0
hsa-miR-11401,62.0,45.0,0.0,0.0,0.0
hsa-miR-1180-3p,216.0,516.0,299.0,23.0,64.0
hsa-miR-1197,4.0,0.0,0.0,0.0,0.0
hsa-miR-122-3p,10.0,12.0,0.0,0.0,0.0
hsa-miR-122-5p,354473.0,108040.0,51277.0,14665.0,50406.0
hsa-miR-1226-3p,1.0,0.0,0.0,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,2.0,0.0,0.0
hsa-miR-1229-5p,0.0,2.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,2.0,0.0
hsa-miR-1244,3.0,0.0,0.0,0.0,0.0
hsa-miR-1246,196.0,659.0,271.0,570.0,176.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,1.0
hsa-miR-1248,3.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,2.0,0.0,1.0,4.0,0.0
hsa-miR-1250-5p,20.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,19.0,11.0,0.0,2.0,0.0
hsa-miR-1255b-5p,6.0,6.0,0.0,0.0,0.0
hsa-miR-125a-3p,38.0,13.0,9.0,3.0,12.0
hsa-miR-125a-5p,1492.0,3820.0,3966.0,775.0,2575.0
hsa-miR-125b-1-3p,9.0,16.0,722.0,1.0,27.0
hsa-miR-125b-2-3p,0.0,0.0,2.0,0.0,2.0
hsa-miR-125b-5p,372.0,1981.0,1764.0,247.0,1676.0
hsa-miR-126-3p,7224.0,7542.0,6161.0,1995.0,3699.0
hsa-miR-126-5p,130.0,69.0,1.0,27.0,90.0
hsa-miR-1260b,5.0,0.0,0.0,1.0,0.0
hsa-miR-1262,0.0,4.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,23.0
hsa-miR-1268b,0.0,0.0,20.0,0.0,0.0
hsa-miR-127-3p,544.0,431.0,1292.0,106.0,1323.0
hsa-miR-127-5p,0.0,1.0,8.0,1.0,14.0
hsa-miR-1270,0.0,2.0,0.0,1.0,1.0
hsa-miR-1271-5p,22.0,7.0,0.0,0.0,2.0
hsa-miR-1273c,2.0,0.0,0.0,1.0,0.0
hsa-miR-1273h-3p,242.0,225.0,339.0,81.0,0.0
hsa-miR-1273h-5p,29.0,19.0,3.0,8.0,86.0
hsa-miR-1275,0.0,0.0,12.0,0.0,8.0
hsa-miR-1276,9.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,1.0,0.0,0.0
hsa-miR-1278,23.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,7.0,0.0,2.0,0.0,0.0
hsa-miR-128-3p,3259.0,4997.0,1903.0,1367.0,509.0
hsa-miR-1284,8.0,0.0,1.0,0.0,0.0
hsa-miR-1285-3p,34.0,23.0,1.0,9.0,1.0
hsa-miR-1285-5p,3.0,0.0,307.0,0.0,3.0
hsa-miR-1287-5p,8.0,0.0,0.0,0.0,1.0
hsa-miR-1288-3p,2.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,3.0,9.0,17.0,0.0,22.0
hsa-miR-1291,0.0,2.0,1.0,0.0,1.0
hsa-miR-1292-5p,23.0,6.0,4.0,0.0,9.0
hsa-miR-1294,60.0,31.0,0.0,10.0,0.0
hsa-miR-1296-5p,21.0,13.0,71.0,9.0,90.0
hsa-miR-1298-5p,11.0,17.0,2.0,0.0,2.0
hsa-miR-1299,41.0,22.0,1.0,6.0,0.0
hsa-miR-1301-3p,315.0,241.0,20.0,113.0,28.0
hsa-miR-1303,5.0,19.0,0.0,0.0,3.0
hsa-miR-1304-3p,0.0,0.0,0.0,14.0,0.0
hsa-miR-1304-5p,54.0,44.0,0.0,12.0,0.0
hsa-miR-1306-3p,42.0,75.0,3.0,17.0,5.0
hsa-miR-1306-5p,7.0,7.0,0.0,0.0,0.0
hsa-miR-1307-3p,2360.0,2836.0,3033.0,964.0,1067.0
hsa-miR-1307-5p,0.0,5.0,2.0,0.0,3.0
hsa-miR-130a-3p,3.0,0.0,0.0,1.0,0.0
hsa-miR-130b-3p,6.0,5.0,1.0,0.0,2.0
hsa-miR-130b-5p,63.0,47.0,371.0,5.0,90.0
hsa-miR-132-3p,0.0,0.0,5.0,2.0,7.0
hsa-miR-132-5p,2.0,9.0,5.0,2.0,2.0
hsa-miR-1323,1.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,13.0,10518.0,12.0,2103.0,23.0
hsa-miR-133a-5p,0.0,377.0,0.0,85.0,0.0
hsa-miR-133b,0.0,78.0,1.0,12.0,0.0
hsa-miR-134-5p,69.0,56.0,1.0,6.0,12.0
hsa-miR-1343-3p,11.0,11.0,1.0,4.0,4.0
hsa-miR-135a-2-3p,0.0,0.0,1.0,0.0,1.0
hsa-miR-135a-3p,2.0,0.0,0.0,0.0,1.0
hsa-miR-135a-5p,0.0,1.0,17.0,3.0,16.0
hsa-miR-135b-3p,0.0,0.0,0.0,0.0,1.0
hsa-miR-135b-5p,0.0,0.0,47.0,1.0,74.0
hsa-miR-136-3p,1.0,7.0,30.0,0.0,27.0
hsa-miR-136-5p,0.0,9.0,4.0,0.0,17.0
hsa-miR-138-5p,0.0,1.0,1.0,1.0,1.0
hsa-miR-139-3p,732.0,960.0,476.0,176.0,376.0
hsa-miR-139-5p,394.0,934.0,9329.0,199.0,2318.0
hsa-miR-140-3p,3319.0,1124.0,1070.0,125.0,200.0
hsa-miR-140-5p,15.0,30.0,30.0,8.0,35.0
hsa-miR-141-3p,0.0,1.0,0.0,1.0,0.0
hsa-miR-142-3p,83.0,50.0,9.0,23.0,8.0
hsa-miR-142-5p,1815.0,585.0,15.0,83.0,96.0
hsa-miR-143-3p,4008.0,5859.0,9018.0,1195.0,9711.0
hsa-miR-143-5p,0.0,2.0,27.0,1.0,22.0
hsa-miR-144-3p,30.0,20.0,32.0,0.0,28.0
hsa-miR-144-5p,470.0,79.0,10.0,8.0,3.0
hsa-miR-145-3p,8.0,40.0,28.0,2.0,48.0
hsa-miR-145-5p,7.0,17.0,7.0,9.0,11.0
hsa-miR-1468-5p,40.0,10.0,7.0,5.0,15.0
hsa-miR-146a-3p,0.0,1.0,0.0,0.0,0.0
hsa-miR-146a-5p,2435.0,1800.0,2490.0,437.0,110.0
hsa-miR-146b-3p,19.0,24.0,2.0,3.0,2.0
hsa-miR-146b-5p,9415.0,3276.0,1798.0,506.0,269.0
hsa-miR-147a,0.0,1.0,0.0,0.0,0.0
hsa-miR-147b-3p,0.0,5.0,0.0,6.0,0.0
hsa-miR-148a-3p,79308.0,41493.0,59610.0,4677.0,36286.0
hsa-miR-148a-5p,22.0,23.0,16.0,1.0,10.0
hsa-miR-148b-3p,1393.0,241.0,1251.0,51.0,88.0
hsa-miR-148b-5p,11.0,11.0,4.0,3.0,2.0
hsa-miR-149-3p,0.0,0.0,1.0,0.0,1.0
hsa-miR-149-5p,0.0,19.0,6.0,2.0,12.0
hsa-miR-150-3p,234.0,229.0,3.0,29.0,3.0
hsa-miR-150-5p,1540.0,1024.0,2201.0,139.0,14.0
hsa-miR-151a-3p,74385.0,45618.0,203502.0,18501.0,31945.0
hsa-miR-151a-5p,27.0,20.0,6.0,9.0,83.0
hsa-miR-152-3p,286.0,174.0,483.0,57.0,200.0
hsa-miR-152-5p,0.0,0.0,0.0,0.0,1.0
