miRNA,SRR24529670,SRR24529671,SRR24529672,SRR24529673,SRR24529674,SRR24529675,SRR24529676,SRR24529677,SRR24529678,SRR24529679,SRR24529680,SRR24529681
hsa-let-7a-3p,8.0,5.0,8.0,32.0,1.0,5.0,12.0,12.0,0.0,17.0,2.0,0.0
hsa-let-7a-5p,2413.0,3148.0,4719.0,9936.0,846.0,3147.0,9716.0,7177.0,5530.0,6072.0,9890.0,13091.0
hsa-let-7b-3p,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,1.0
hsa-let-7b-5p,807.0,1056.0,1448.0,2724.0,937.0,5290.0,31440.0,18634.0,1095.0,2518.0,2227.0,2449.0
hsa-let-7c-3p,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,621.0,727.0,972.0,1651.0,1911.0,9561.0,39651.0,24441.0,374.0,357.0,340.0,254.0
hsa-let-7d-3p,18.0,32.0,32.0,107.0,5.0,53.0,453.0,324.0,170.0,147.0,163.0,99.0
hsa-let-7d-5p,236.0,295.0,664.0,1275.0,117.0,432.0,1127.0,732.0,265.0,708.0,656.0,1096.0
hsa-let-7e-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7e-5p,63.0,76.0,175.0,391.0,77.0,348.0,1589.0,1154.0,228.0,212.0,538.0,1032.0
hsa-let-7f-1-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7f-5p,5627.0,4627.0,7083.0,12697.0,1703.0,5085.0,12951.0,9684.0,3194.0,11296.0,6610.0,12351.0
hsa-let-7g-5p,4488.0,3846.0,5103.0,7759.0,573.0,1240.0,2247.0,1665.0,2353.0,11401.0,3154.0,7741.0
hsa-let-7i-5p,527.0,395.0,846.0,1233.0,273.0,735.0,1279.0,869.0,1937.0,10221.0,3605.0,6769.0
hsa-miR-1-3p,8.0,6.0,6.0,9.0,8.0,3.0,6.0,8.0,4.0,32.0,3.0,18.0
hsa-miR-100-5p,4035.0,6319.0,7579.0,12812.0,738.0,3020.0,7483.0,5576.0,21921.0,73657.0,31746.0,52726.0
hsa-miR-101-3p,366.0,186.0,565.0,665.0,73.0,97.0,117.0,104.0,90.0,615.0,228.0,159.0
hsa-miR-10394-3p,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,7.0,12.0,9.0,21.0,4.0,3.0,0.0,0.0,39.0,2.0,21.0,0.0
hsa-miR-10395-5p,5.0,3.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,5.0,8.0,25.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-10399-3p,2.0,3.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,40.0,2.0,66.0,71.0,19.0,2.0,3.0,3.0,0.0,1362.0,454.0,102.0
hsa-miR-10401-3p,2.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,3.0,1.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-105-5p,9.0,16.0,27.0,68.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,18.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-10527-5p,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
