miRNA,SRR12327084,SRR12327085,SRR12327086,SRR12327087,SRR12327088,SRR12327089,SRR12327090,SRR12327093,SRR12327098,SRR12327099,SRR12327100,SRR12327101,SRR12327102,SRR12327103,SRR12327104,SRR12327105
hsa-let-7a-2-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7a-3p,590.0,785.0,1547.0,1451.0,328.0,465.0,874.0,279.0,29.0,42.0,48.0,16.0,32.0,34.0,238.0,41.0
hsa-let-7a-5p,30808.0,48493.0,168267.0,153520.0,51525.0,85777.0,92203.0,36083.0,7592.0,5654.0,6853.0,831.0,1139.0,1086.0,46880.0,10863.0
hsa-let-7b-3p,95.0,158.0,188.0,198.0,59.0,50.0,58.0,45.0,9.0,7.0,5.0,12.0,16.0,16.0,83.0,13.0
hsa-let-7b-5p,13083.0,20516.0,31897.0,35022.0,13426.0,46732.0,84495.0,68945.0,8341.0,7076.0,7688.0,1541.0,2253.0,2170.0,36789.0,7455.0
hsa-let-7c-3p,0.0,2.0,3.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,545.0,766.0,1861.0,1371.0,478.0,858.0,1741.0,4624.0,56.0,35.0,66.0,38.0,74.0,63.0,576.0,549.0
hsa-let-7d-3p,3866.0,5730.0,10672.0,10080.0,3619.0,14483.0,4509.0,3243.0,216.0,167.0,217.0,73.0,119.0,102.0,4064.0,1046.0
hsa-let-7d-5p,6017.0,11451.0,30186.0,34404.0,13054.0,14925.0,11325.0,9043.0,1104.0,826.0,973.0,55.0,89.0,100.0,9468.0,1876.0
hsa-let-7e-3p,5.0,12.0,12.0,8.0,0.0,0.0,0.0,1.0,7.0,4.0,6.0,4.0,3.0,2.0,3.0,3.0
hsa-let-7e-5p,494.0,563.0,1488.0,1171.0,558.0,724.0,1304.0,461.0,428.0,280.0,319.0,33.0,52.0,44.0,939.0,216.0
hsa-let-7f-1-3p,29.0,34.0,80.0,64.0,24.0,16.0,22.0,14.0,4.0,10.0,6.0,2.0,5.0,3.0,19.0,1.0
hsa-let-7f-2-3p,16.0,19.0,42.0,25.0,11.0,6.0,15.0,8.0,1.0,6.0,3.0,6.0,4.0,5.0,3.0,1.0
hsa-let-7f-5p,25917.0,51624.0,237519.0,225489.0,58483.0,97633.0,90197.0,29902.0,15131.0,11668.0,14481.0,2438.0,2887.0,2728.0,52386.0,16589.0
hsa-let-7g-3p,6.0,4.0,9.0,4.0,1.0,9.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0
hsa-let-7g-5p,16285.0,18137.0,72877.0,77757.0,22965.0,52210.0,26904.0,10421.0,9834.0,9438.0,9941.0,7011.0,11773.0,8328.0,20658.0,5536.0
hsa-let-7i-3p,38.0,36.0,121.0,78.0,30.0,21.0,8.0,4.0,9.0,5.0,6.0,3.0,3.0,9.0,19.0,0.0
hsa-let-7i-5p,66754.0,109045.0,233084.0,279605.0,128031.0,464703.0,298438.0,123002.0,40930.0,42525.0,45042.0,3606.0,5046.0,4262.0,184151.0,61149.0
hsa-miR-1-3p,523.0,3260.0,7108.0,7652.0,1244.0,5862.0,3078.0,921.0,54.0,48.0,60.0,11.0,7.0,11.0,1407.0,520.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-100-5p,628.0,3409.0,1230.0,1214.0,339.0,446.0,895.0,449.0,1315.0,933.0,1358.0,2272.0,2340.0,2650.0,1028.0,388.0
hsa-miR-101-2-5p,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,10795.0,10902.0,45459.0,43314.0,5749.0,46533.0,34859.0,13369.0,403.0,461.0,484.0,461.0,541.0,477.0,6809.0,3735.0
hsa-miR-101-5p,3.0,3.0,8.0,11.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-10393-3p,0.0,1.0,11.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,10.0,17.0,4.0,3.0,4.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
