miRNA,SRR2153500,SRR2153501,SRR2153502,SRR2153503,SRR2153504,SRR2153505,SRR2153506,SRR2153507
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,6.0,8.0,18.0,17.0
hsa-let-7a-3p,243.0,245.0,252.0,246.0,117.0,128.0,284.0,327.0
hsa-let-7a-5p,1247.0,1223.0,994.0,1110.0,4348.0,4657.0,10770.0,11142.0
hsa-let-7b-3p,3.0,6.0,9.0,6.0,6.0,9.0,2.0,2.0
hsa-let-7b-5p,1852.0,1802.0,2507.0,2278.0,5135.0,4035.0,2793.0,2858.0
hsa-let-7c-3p,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,677.0,706.0,507.0,423.0,6.0,835.0,434.0,30.0
hsa-let-7d-3p,556.0,605.0,1423.0,1312.0,59.0,67.0,14.0,14.0
hsa-let-7d-5p,796.0,785.0,1229.0,1246.0,700.0,703.0,1174.0,1118.0
hsa-let-7e-3p,9.0,2.0,9.0,11.0,0.0,1.0,0.0,0.0
hsa-let-7e-5p,311.0,298.0,289.0,279.0,249.0,280.0,386.0,358.0
hsa-let-7f-1-3p,27.0,16.0,40.0,28.0,7.0,9.0,20.0,20.0
hsa-let-7f-2-3p,51.0,45.0,69.0,61.0,36.0,35.0,51.0,39.0
hsa-let-7f-5p,2600.0,2439.0,1944.0,1885.0,2728.0,2521.0,6924.0,6944.0
hsa-let-7g-3p,4.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0
hsa-let-7g-5p,1502.0,1287.0,1849.0,1682.0,3850.0,3948.0,9316.0,8904.0
hsa-let-7i-3p,52.0,66.0,16.0,14.0,1.0,1.0,0.0,0.0
hsa-let-7i-5p,8166.0,8064.0,14293.0,14302.0,11034.0,10780.0,12777.0,12453.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,8.0,9.0,19.0,29.0
hsa-miR-100-5p,179.0,181.0,361.0,351.0,8683.0,8337.0,3049.0,2857.0
hsa-miR-101-2-5p,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-101-3p,9586.0,9213.0,13518.0,12968.0,12719.0,12186.0,26661.0,25963.0
hsa-miR-101-5p,47.0,38.0,53.0,54.0,13.0,15.0,10.0,12.0
hsa-miR-10395-3p,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
hsa-miR-10399-3p,19.0,21.0,44.0,42.0,0.0,1.0,2.0,0.0
hsa-miR-10399-5p,2.0,4.0,2.0,7.0,2.0,1.0,4.0,3.0
hsa-miR-103a-1-5p,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,3.0,2.0,3.0,6.0,7.0,1.0,1.0,3.0
hsa-miR-103a-3p,2166.0,14149.0,1020.0,5873.0,322.0,6028.0,256.0,226.0
hsa-miR-10401-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,4.0,4.0,12.0,9.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10527-5p,5.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,4.0,9.0,21.0,18.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,677.0,651.0,465.0,480.0,29.0,32.0,6.0,2.0
hsa-miR-106b-5p,1188.0,1207.0,2508.0,2427.0,398.0,389.0,318.0,311.0
hsa-miR-107,599.0,18.0,7851.0,16.0,5004.0,16.0,1606.0,4.0
hsa-miR-10a-3p,437.0,392.0,657.0,639.0,185.0,157.0,305.0,281.0
hsa-miR-10a-5p,222777.0,213786.0,320088.0,305813.0,136342.0,130577.0,332272.0,317706.0
hsa-miR-10b-3p,38.0,42.0,56.0,50.0,4.0,7.0,19.0,16.0
hsa-miR-10b-5p,162404.0,154278.0,234590.0,224113.0,147830.0,140520.0,327553.0,314816.0
hsa-miR-11399,4.0,2.0,11.0,8.0,1.0,0.0,0.0,0.0
hsa-miR-1179,1.0,1.0,3.0,2.0,3.0,2.0,9.0,3.0
hsa-miR-1180-3p,505.0,499.0,56.0,44.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,17.0,16.0,17.0,11.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1197,1.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0
hsa-miR-12114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12132,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
hsa-miR-12136,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,192.0,163.0,11.0,14.0,215.0,192.0,2.0,0.0
hsa-miR-1226-3p,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1226-5p,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,6.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0
hsa-miR-122b-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1243,31.0,30.0,29.0,30.0,17.0,27.0,62.0,54.0
hsa-miR-1244,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-1245b-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1246,1727.0,1705.0,1396.0,1392.0,2344.0,2316.0,456.0,452.0
hsa-miR-1247-5p,14.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,2.0,0.0,0.0,2.0,4.0,6.0,1.0,3.0
hsa-miR-1249-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1252-3p,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0
hsa-miR-1252-5p,9.0,1.0,8.0,2.0,13.0,18.0,74.0,80.0
hsa-miR-1253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,6.0,6.0,14.0,11.0,11.0,26.0,121.0,104.0
hsa-miR-1255b-5p,3.0,2.0,3.0,8.0,0.0,2.0,1.0,1.0
hsa-miR-1256,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1258,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
hsa-miR-125a-3p,77.0,64.0,75.0,78.0,1.0,5.0,0.0,0.0
hsa-miR-125a-5p,3655.0,3497.0,7033.0,6746.0,161.0,141.0,96.0,98.0
hsa-miR-125b-1-3p,2.0,3.0,1.0,1.0,9.0,16.0,0.0,1.0
hsa-miR-125b-2-3p,40.0,31.0,50.0,58.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,97.0,93.0,218.0,197.0,162.0,157.0,78.0,83.0
hsa-miR-126-3p,68.0,53.0,119.0,104.0,86.0,97.0,92.0,90.0
hsa-miR-126-5p,2527.0,2451.0,3464.0,3474.0,3689.0,3549.0,7870.0,7514.0
hsa-miR-1260b,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1262,59.0,57.0,97.0,88.0,72.0,73.0,260.0,270.0
hsa-miR-1264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,49.0,46.0,52.0,40.0,2.0,0.0,0.0,0.0
hsa-miR-1267,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,17.0,26.0,17.0,24.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,1772.0,1646.0,1357.0,1336.0,6.0,2.0,0.0,0.0
hsa-miR-127-5p,58.0,38.0,50.0,50.0,0.0,0.0,0.0,0.0
hsa-miR-1271-3p,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,40.0,35.0,21.0,30.0,1.0,0.0,0.0,0.0
hsa-miR-1273h-3p,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1275,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1276,34.0,27.0,83.0,74.0,1.0,0.0,0.0,0.0
hsa-miR-1277-3p,3.0,1.0,1.0,1.0,0.0,0.0,6.0,7.0
hsa-miR-1278,6.0,7.0,2.0,1.0,9.0,10.0,21.0,17.0
hsa-miR-128-1-5p,20.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,3727.0,3438.0,6851.0,6581.0,883.0,802.0,410.0,398.0
hsa-miR-1283,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0
hsa-miR-1284,4.0,7.0,10.0,19.0,1.0,2.0,1.0,0.0
hsa-miR-1285-3p,533.0,519.0,1236.0,1142.0,91.0,77.0,31.0,30.0
hsa-miR-1285-5p,21.0,17.0,25.0,25.0,12.0,10.0,5.0,1.0
hsa-miR-1286,37.0,43.0,25.0,23.0,3.0,3.0,0.0,1.0
hsa-miR-1287-3p,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,104.0,111.0,173.0,171.0,26.0,17.0,3.0,4.0
hsa-miR-1288-3p,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1289,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-129-2-3p,6.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,165.0,179.0,104.0,95.0,0.0,0.0,0.0,0.0
hsa-miR-1290,2.0,2.0,10.0,6.0,0.0,0.0,0.0,0.0
hsa-miR-1291,14.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1293,10.0,7.0,8.0,5.0,11.0,6.0,3.0,0.0
hsa-miR-1294,2.0,0.0,5.0,9.0,3.0,3.0,0.0,0.0
hsa-miR-1295a,2.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,228.0,209.0,120.0,129.0,7.0,6.0,1.0,1.0
hsa-miR-1297,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
hsa-miR-1298-3p,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,5.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0
hsa-miR-1299,120.0,98.0,200.0,195.0,4.0,4.0,6.0,6.0
hsa-miR-1301-3p,71.0,75.0,20.0,19.0,2.0,0.0,0.0,0.0
hsa-miR-1302,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
hsa-miR-1303,66.0,78.0,158.0,175.0,6.0,6.0,5.0,1.0
hsa-miR-1304-5p,10.0,4.0,25.0,21.0,5.0,3.0,1.0,2.0
hsa-miR-1305,49.0,31.0,55.0,81.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,9.0,8.0,12.0,6.0,0.0,1.0,0.0,0.0
hsa-miR-1306-5p,12.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,118.0,114.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1307-5p,630.0,602.0,50.0,33.0,0.0,1.0,0.0,0.0
hsa-miR-130a-3p,252.0,226.0,732.0,645.0,2642.0,2571.0,2393.0,2331.0
hsa-miR-130b-3p,3660.0,3540.0,7259.0,7139.0,1132.0,975.0,476.0,449.0
hsa-miR-130b-5p,36.0,40.0,87.0,73.0,6.0,2.0,1.0,10.0
hsa-miR-132-3p,243.0,245.0,428.0,409.0,196.0,220.0,69.0,61.0
hsa-miR-132-5p,5.0,4.0,8.0,18.0,1.0,0.0,0.0,2.0
hsa-miR-1323,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,86.0,100.0,217.0,221.0,0.0,0.0,0.0,0.0
hsa-miR-133a-5p,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-1343-3p,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
hsa-miR-135b-3p,0.0,0.0,0.0,0.0,5.0,6.0,3.0,3.0
hsa-miR-135b-5p,0.0,0.0,0.0,1.0,43.0,46.0,117.0,94.0
hsa-miR-136-3p,82.0,96.0,218.0,192.0,11.0,9.0,27.0,26.0
hsa-miR-136-5p,11.0,11.0,43.0,32.0,3.0,1.0,5.0,0.0
hsa-miR-137-3p,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,8.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,34.0,36.0,27.0,24.0,1.0,0.0,0.0,0.0
hsa-miR-139-5p,20.0,9.0,24.0,39.0,160.0,154.0,62.0,61.0
hsa-miR-140-3p,1016.0,1001.0,1296.0,1195.0,213.0,207.0,60.0,58.0
hsa-miR-140-5p,26.0,31.0,72.0,73.0,20.0,21.0,35.0,43.0
hsa-miR-141-3p,71932.0,69125.0,110456.0,106709.0,53453.0,51522.0,68780.0,66002.0
hsa-miR-141-5p,88.0,94.0,152.0,134.0,79.0,66.0,103.0,117.0
hsa-miR-142-3p,0.0,2.0,12.0,9.0,1.0,1.0,0.0,1.0
hsa-miR-142-5p,390.0,389.0,738.0,663.0,126.0,136.0,385.0,347.0
hsa-miR-143-3p,611.0,597.0,1490.0,1423.0,329.0,290.0,315.0,288.0
hsa-miR-144-3p,44.0,48.0,75.0,59.0,11.0,15.0,43.0,32.0
hsa-miR-144-5p,4.0,4.0,9.0,4.0,1.0,1.0,2.0,3.0
hsa-miR-145-3p,0.0,0.0,0.0,1.0,11.0,7.0,10.0,12.0
hsa-miR-145-5p,9.0,9.0,35.0,35.0,18.0,26.0,6.0,12.0
hsa-miR-1468-5p,32.0,39.0,53.0,59.0,10.0,7.0,2.0,2.0
hsa-miR-146a-5p,29.0,32.0,69.0,85.0,46.0,52.0,91.0,75.0
hsa-miR-146b-3p,12.0,14.0,5.0,17.0,1.0,0.0,0.0,0.0
hsa-miR-146b-5p,3793.0,3718.0,5528.0,5527.0,2541.0,2393.0,5373.0,5312.0
hsa-miR-147b-3p,11.0,8.0,20.0,11.0,2.0,0.0,0.0,1.0
hsa-miR-148a-3p,70358.0,68379.0,112922.0,111231.0,17034.0,16957.0,24015.0,23368.0
hsa-miR-148a-5p,291.0,328.0,564.0,615.0,124.0,96.0,125.0,124.0
hsa-miR-148b-3p,2319.0,2227.0,4403.0,4342.0,774.0,789.0,924.0,921.0
hsa-miR-148b-5p,203.0,197.0,268.0,306.0,48.0,48.0,153.0,155.0
hsa-miR-149-5p,584.0,560.0,1254.0,1226.0,29.0,19.0,5.0,3.0
hsa-miR-150-5p,2.0,7.0,8.0,20.0,0.0,0.0,0.0,0.0
hsa-miR-151a-3p,11257.0,10738.0,21933.0,21362.0,11674.0,11285.0,6947.0,6654.0
hsa-miR-151a-5p,888.0,862.0,1209.0,759.0,775.0,619.0,148.0,141.0
hsa-miR-151b,422.0,285.0,318.0,783.0,9.0,102.0,2.0,18.0
hsa-miR-152-3p,235.0,225.0,400.0,406.0,21.0,24.0,12.0,11.0
hsa-miR-152-5p,0.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0
hsa-miR-153-3p,14.0,10.0,9.0,12.0,208.0,196.0,280.0,277.0
hsa-miR-153-5p,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
hsa-miR-1537-3p,1.0,2.0,5.0,0.0,0.0,1.0,4.0,3.0
hsa-miR-154-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-155-5p,4.0,0.0,7.0,8.0,1.0,2.0,4.0,3.0
hsa-miR-15a-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,6585.0,6218.0,9001.0,8520.0,944.0,969.0,1335.0,1281.0
hsa-miR-15b-3p,245.0,262.0,489.0,453.0,77.0,61.0,136.0,131.0
hsa-miR-15b-5p,537.0,546.0,802.0,793.0,161.0,118.0,99.0,95.0
hsa-miR-16-1-3p,2.0,3.0,3.0,4.0,1.0,3.0,2.0,1.0
hsa-miR-16-2-3p,360.0,359.0,678.0,624.0,196.0,210.0,405.0,391.0
hsa-miR-16-5p,61419.0,58836.0,82678.0,79363.0,41366.0,39914.0,18540.0,18054.0
hsa-miR-17-3p,91.0,78.0,194.0,166.0,16.0,19.0,3.0,5.0
hsa-miR-17-5p,2320.0,2236.0,3664.0,3416.0,320.0,272.0,129.0,123.0
hsa-miR-181a-2-3p,4.0,0.0,7.0,7.0,1.0,5.0,1.0,1.0
hsa-miR-181a-3p,73.0,78.0,183.0,171.0,11.0,10.0,3.0,7.0
hsa-miR-181a-5p,36120.0,34441.0,60191.0,58434.0,8077.0,7896.0,1819.0,1724.0
hsa-miR-181b-3p,3.0,3.0,4.0,3.0,6.0,2.0,1.0,2.0
hsa-miR-181b-5p,8921.0,8709.0,17207.0,16662.0,1606.0,1558.0,505.0,499.0
hsa-miR-181c-3p,139.0,137.0,70.0,59.0,1.0,0.0,0.0,1.0
