miRNA,SRR13058034,SRR13058035,SRR13058036,SRR13058037,SRR13058038,SRR13058039,SRR13058040,SRR13058041,SRR13058042,SRR13058043,SRR13058044,SRR13058045,SRR13058046,SRR13058047,SRR13058048,SRR13058049,SRR13058050,SRR13058051,SRR13058052,SRR13058053,SRR13058054,SRR13058055,SRR13058056,SRR13058057,SRR13058058,SRR13058059,SRR13058060,SRR13058061,SRR13058062,SRR13058063
hsa-let-7a-2-3p,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,2.0,1.0,2.0
hsa-let-7a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
hsa-let-7a-5p,6.0,7.0,9.0,4.0,29.0,38.0,50.0,69.0,5.0,10.0,6.0,10.0,38.0,12.0,37.0,13.0,68.0,51.0,35.0,41.0,22.0,7.0,9.0,10.0,17.0,22.0,40.0,18.0,78.0,15.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-let-7b-5p,124.0,592.0,82.0,438.0,168.0,230.0,241.0,594.0,73.0,415.0,24.0,250.0,289.0,660.0,294.0,606.0,296.0,309.0,202.0,286.0,226.0,583.0,170.0,613.0,1080.0,1395.0,2564.0,1350.0,873.0,652.0
hsa-let-7c-5p,2.0,8.0,1.0,3.0,2.0,3.0,6.0,4.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,2.0,11.0,5.0,2.0,5.0,18.0,8.0,8.0
hsa-let-7d-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,1.0,2.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
hsa-let-7f-5p,1.0,1.0,0.0,2.0,5.0,8.0,15.0,14.0,4.0,3.0,1.0,2.0,6.0,4.0,8.0,0.0,6.0,6.0,4.0,5.0,7.0,2.0,6.0,1.0,4.0,1.0,5.0,1.0,14.0,4.0
hsa-let-7g-5p,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0
hsa-let-7i-3p,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
hsa-let-7i-5p,9.0,6.0,12.0,14.0,18.0,32.0,34.0,62.0,5.0,21.0,2.0,10.0,16.0,9.0,27.0,10.0,37.0,36.0,25.0,40.0,23.0,9.0,5.0,24.0,21.0,30.0,26.0,10.0,58.0,15.0
hsa-miR-1-3p,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
