miRNA,SRR22728237,SRR22728238,SRR22728239,SRR22728240,SRR22728241,SRR22728242,SRR22728243,SRR22728244,SRR22728245,SRR22728247,SRR22728248,SRR22728249,SRR22728250,SRR22728251,SRR22728252
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,11.0,0.0,5.0,8.0,25.0,32.0,7.0,9.0,9.0,11.0,482.0,564.0,8.0,7.0,9.0
hsa-let-7a-5p,84400.0,1302.0,26272.0,9036.0,38053.0,390651.0,65862.0,8175.0,2999.0,2851.0,1558358.0,2318362.0,72219.0,16235.0,87208.0
hsa-let-7b-3p,60.0,0.0,2.0,8.0,6.0,57.0,161.0,0.0,0.0,2.0,197.0,700.0,33.0,0.0,5.0
hsa-let-7b-5p,70030.0,727.0,42531.0,3510.0,10035.0,235833.0,59769.0,2402.0,842.0,1659.0,291881.0,877697.0,20517.0,5026.0,36103.0
hsa-let-7c-3p,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
hsa-let-7c-5p,166.0,78.0,496.0,672.0,1271.0,538.0,371.0,703.0,115.0,1387.0,902.0,2316.0,289.0,69.0,266.0
hsa-let-7d-3p,736.0,14.0,169.0,99.0,135.0,1278.0,1149.0,37.0,11.0,39.0,14052.0,21519.0,133.0,17.0,407.0
hsa-let-7d-5p,13320.0,120.0,2785.0,1276.0,4577.0,33669.0,10406.0,1399.0,228.0,636.0,117711.0,230123.0,6940.0,1537.0,12230.0
hsa-let-7e-3p,1.0,0.0,2.0,4.0,8.0,1.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0
hsa-let-7e-5p,60.0,0.0,19.0,54.0,105.0,169.0,42.0,71.0,2.0,96.0,258.0,850.0,23.0,8.0,42.0
hsa-let-7f-1-3p,0.0,0.0,0.0,5.0,13.0,27.0,141.0,3.0,1.0,0.0,359.0,544.0,0.0,0.0,26.0
hsa-let-7f-2-3p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,29653.0,466.0,6831.0,3776.0,20695.0,102556.0,23540.0,4088.0,1392.0,1718.0,660898.0,1050926.0,24101.0,4540.0,33260.0
hsa-let-7g-3p,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
hsa-let-7g-5p,26639.0,450.0,5776.0,2675.0,9759.0,56817.0,22388.0,3441.0,856.0,1222.0,566125.0,595672.0,17200.0,3673.0,24864.0
hsa-let-7i-3p,10.0,1.0,0.0,8.0,6.0,9.0,4.0,10.0,0.0,5.0,90.0,255.0,0.0,0.0,4.0
hsa-let-7i-5p,29463.0,249.0,4993.0,1601.0,5458.0,37519.0,17380.0,1844.0,492.0,958.0,411180.0,212010.0,9802.0,1795.0,16930.0
hsa-miR-1-3p,5.0,2.0,0.0,79.0,4.0,3.0,51.0,107.0,1.0,3.0,3.0,148.0,458.0,2.0,1.0
hsa-miR-1-5p,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,209.0,9.0,289.0,278.0,250.0,77.0,65.0,633.0,112.0,778.0,1675.0,1067.0,95.0,9.0,93.0
hsa-miR-101-3p,24.0,0.0,1.0,20.0,7.0,1.0,3.0,21.0,0.0,11.0,152.0,661.0,6.0,0.0,22.0
hsa-miR-101-5p,33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,242.0,0.0,0.0,0.0
