miRNA,SRR5756187,SRR5756189,SRR5756191,SRR5756193,SRR5756195,SRR5756197,SRR5756199,SRR5756201,SRR5756203,SRR5756205,SRR5756207,SRR5756209,SRR5756211,SRR5756213,SRR5756215,SRR5756217,SRR5756219,SRR5756221,SRR5756223,SRR5756225,SRR5756227,SRR5756229,SRR5756231,SRR5756233,SRR5756235,SRR5756237,SRR5756239,SRR5756241,SRR5756243,SRR5756245,SRR5756247,SRR5756249,SRR5756251,SRR5756253,SRR5756255,SRR5756256,SRR5756257,SRR5756258
hsa-let-7a-3p,0.0,0.0,0.0,56.56,0.0,47.67,28.57,0.0,26.35,11.13,0.0,28.02,11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.24,0.0,0.0,0.0,31.47,0.0,44.5,0.0,0.0,0.0,0.0,31.81,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,5106.07,278.01,1044.6,1640.27,1666.3,2430.94,4457.52,5622.82,4637.68,3660.92,6882.24,4118.63,2430.09,2535.06,2393.5,1368.74,1874.89,3157.65,1868.37,1650.89,1910.17,4058.49,2390.92,789.2,1638.45,3461.95,6709.08,4450.18,5179.76,6221.13,4918.59,6795.61,3308.68,6630.5,1477.1,1253.13,988.14,0.0
hsa-let-7b-3p,60.79,0.0,0.0,56.56,0.0,23.83,14.29,37.49,26.35,0.0,0.0,14.01,34.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,11.12,29.7,0.0,0.0,31.47,115.67,44.5,43.9,0.0,0.0,0.0,95.44,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,1154.94,0.0,104.46,226.24,55.54,238.33,271.45,787.19,474.31,200.29,587.93,182.12,313.94,266.85,78.05,158.49,60.09,100.78,196.67,106.02,183.46,333.57,282.16,87.69,30.34,660.92,1156.74,934.54,482.86,989.73,452.28,522.74,349.96,1808.32,0.0,626.57,0.0,0.0
hsa-let-7c-5p,1033.37,0.0,0.0,56.56,55.54,23.83,57.15,74.97,26.35,100.15,138.34,56.04,34.88,53.37,13.01,86.45,216.33,33.59,70.24,45.44,10.79,88.95,14.85,0.0,60.68,1699.5,1966.45,1557.56,1185.2,1696.67,1809.14,3659.17,795.36,2411.09,0.0,0.0,0.0,0.0
hsa-let-7d-3p,121.57,0.0,156.69,113.12,55.54,71.5,171.44,74.97,500.66,166.91,553.35,112.07,197.66,80.05,78.05,129.67,84.13,167.96,238.81,196.9,129.5,111.19,178.21,87.69,212.39,314.72,347.02,0.0,87.79,94.26,0.0,0.0,254.51,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,60.79,0.0,104.46,339.37,722.06,571.99,1114.38,487.31,869.57,912.45,1798.37,756.48,627.87,346.9,403.25,533.09,540.83,587.86,266.91,439.23,312.97,900.65,415.81,0.0,364.1,157.36,347.02,311.51,307.27,94.26,169.61,261.37,318.14,602.77,0.0,0.0,0.0,0.0
hsa-let-7e-5p,121.57,0.0,261.15,0.0,0.0,47.67,185.73,337.37,158.1,100.15,518.76,140.09,151.15,160.11,156.1,72.04,84.13,33.59,42.14,136.31,140.29,100.07,237.61,87.69,30.34,0.0,231.35,0.0,43.9,0.0,0.0,0.0,47.72,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,28.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,3100.12,556.02,1410.22,3223.98,5054.43,4909.55,9143.64,7684.52,8590.25,8011.75,12554.04,7901.04,6592.64,4336.28,5853.66,4538.45,5155.94,7306.26,4284.61,4589.17,4435.48,10607.66,5301.61,1227.64,2943.14,1793.92,3701.56,2136.09,3511.7,3157.7,2996.38,5488.76,3595.01,3214.79,0.0,626.57,0.0,0.0
