miRNA,SRR11129773,SRR11129774,SRR11129775,SRR11129776,SRR11129777,SRR11129778,SRR11129779,SRR11129780,SRR11129781,SRR11129782,SRR11129783,SRR11129784,SRR11129785,SRR11129786,SRR11129787,SRR11129788
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,22.0,19.0,9.0,13.0,15.0,27.0,12.0,27.0,58.0,172.0,41.0,69.0,61.0,6.0,14.0,57.0
hsa-let-7a-5p,12827.0,2701.0,6059.0,17060.0,8750.0,10676.0,6777.0,8552.0,12680.0,25429.0,6701.0,9525.0,16519.0,2041.0,4668.0,41900.0
hsa-let-7b-3p,6.0,5.0,3.0,3.0,3.0,1.0,6.0,5.0,17.0,29.0,4.0,11.0,21.0,1.0,3.0,8.0
hsa-let-7b-5p,41400.0,6356.0,15673.0,16632.0,14270.0,19179.0,7250.0,11371.0,9783.0,49092.0,22010.0,35933.0,45570.0,16117.0,6499.0,20259.0
hsa-let-7c-3p,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7c-5p,479.0,376.0,456.0,753.0,813.0,688.0,516.0,638.0,279.0,901.0,559.0,357.0,2217.0,316.0,203.0,518.0
hsa-let-7d-3p,143.0,94.0,65.0,87.0,76.0,62.0,101.0,109.0,230.0,399.0,141.0,248.0,264.0,79.0,65.0,346.0
hsa-let-7d-5p,1935.0,543.0,998.0,1899.0,1212.0,1245.0,1160.0,1972.0,3337.0,6018.0,1511.0,4198.0,3714.0,703.0,1081.0,5059.0
hsa-let-7e-3p,0.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,5.0,3.0,2.0,7.0,0.0,2.0,0.0
hsa-let-7e-5p,108.0,87.0,89.0,338.0,106.0,152.0,101.0,270.0,106.0,373.0,78.0,99.0,241.0,31.0,97.0,427.0
hsa-let-7f-1-3p,2.0,4.0,2.0,4.0,6.0,5.0,5.0,7.0,5.0,9.0,3.0,16.0,8.0,4.0,2.0,13.0
hsa-let-7f-2-3p,1.0,2.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,15.0,4.0,5.0,8.0,0.0,3.0,10.0
hsa-let-7f-5p,8147.0,1740.0,5988.0,16875.0,9600.0,8459.0,7473.0,8258.0,18158.0,25260.0,6140.0,8100.0,16048.0,1445.0,4372.0,52567.0
hsa-let-7g-3p,1.0,1.0,2.0,3.0,4.0,2.0,0.0,3.0,2.0,2.0,6.0,2.0,4.0,15.0,0.0,4.0
hsa-let-7g-5p,12320.0,3709.0,10392.0,22634.0,10551.0,12028.0,9274.0,13907.0,22422.0,40216.0,19751.0,23089.0,26184.0,5838.0,8271.0,46587.0
hsa-let-7i-3p,6.0,0.0,11.0,4.0,0.0,3.0,2.0,2.0,19.0,15.0,6.0,17.0,12.0,3.0,5.0,11.0
hsa-let-7i-5p,135168.0,29430.0,117931.0,104652.0,86950.0,75504.0,63442.0,78410.0,113210.0,201894.0,120425.0,163355.0,185625.0,83887.0,56710.0,215470.0
hsa-miR-1-3p,339.0,243.0,417.0,179.0,610.0,90.0,108.0,121.0,219.0,160.0,86.0,57.0,145.0,471.0,461.0,215.0
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-100-5p,2449.0,852.0,1966.0,2008.0,186.0,180.0,412.0,681.0,283.0,202.0,294.0,340.0,839.0,2217.0,91.0,153.0
hsa-miR-101-3p,1504.0,1202.0,3310.0,2897.0,1996.0,2381.0,1386.0,1607.0,6441.0,11667.0,7867.0,8674.0,7485.0,2767.0,742.0,3927.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
hsa-miR-10395-3p,0.0,2.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,4.0,0.0,0.0,4.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10399-3p,38.0,28.0,32.0,17.0,39.0,14.0,17.0,18.0,27.0,60.0,26.0,28.0,49.0,33.0,11.0,51.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0
hsa-miR-103a-3p,680.0,315.0,1213.0,386.0,593.0,136.0,1156.0,440.0,2033.0,1724.0,904.0,228.0,451.0,464.0,549.0,502.0
hsa-miR-10401-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
