miRNA,SRR16775346,SRR16775347,SRR16775348,SRR16775349,SRR16775350,SRR16775351,SRR16775352,SRR16775353,SRR16775354,SRR16775355,SRR16775356,SRR16775357,SRR16775358,SRR16775359,SRR16775360,SRR16775361,SRR16775362,SRR16775363,SRR16775364,SRR16775365,SRR16775366,SRR16775367,SRR16775368,SRR16775369,SRR16775370,SRR16775371,SRR16775372
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10395-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0
hsa-miR-10395-5p,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0
hsa-miR-10396a-3p,2.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,13.0,6.0,2.0,5.0,7.0,3.0,11.0,9.0,7.0,4.0,0.0,1.0,5.0,1.0,2.0,6.0,2.0
hsa-miR-10396a-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-10396b-3p,0.0,1.0,0.0,0.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,4.0,5.0,7.0,7.0,9.0,5.0,20.0,5.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0
hsa-miR-10396b-5p,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,7.0,8.0,4.0,7.0,1.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,2.0,19.0,18.0,0.0,35.0,4.0,29.0,0.0,29.0,13.0,47.0,175.0,1568.0,355.0,22.0,354.0,559.0,720.0,738.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10400-5p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,3.0,3.0,5.0,6.0,8.0,9.0,22.0,9.0,8.0,8.0,3.0,9.0,7.0,6.0,6.0,3.0,4.0,13.0,4.0,6.0,7.0,12.0,13.0,8.0,7.0,11.0,4.0
hsa-miR-10401-5p,5.0,3.0,5.0,4.0,7.0,17.0,21.0,5.0,31.0,12.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,1.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,5.0,7.0,1.0,2.0,8.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,11.0,7.0,8.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-106b-3p,13.0,16.0,18.0,13.0,32.0,52.0,69.0,21.0,55.0,51.0,568.0,667.0,654.0,222.0,288.0,248.0,298.0,441.0,367.0,3.0,3.0,15.0,12.0,4.0,10.0,6.0,3.0
hsa-miR-106b-5p,1.0,5.0,11.0,11.0,9.0,8.0,12.0,9.0,8.0,4.0,275.0,325.0,266.0,71.0,70.0,61.0,64.0,111.0,47.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0
hsa-miR-107,0.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,6.0,0.0,176.0,237.0,175.0,56.0,69.0,116.0,86.0,213.0,63.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
hsa-miR-10a-3p,7.0,24.0,31.0,33.0,56.0,72.0,96.0,45.0,73.0,79.0,2377.0,2632.0,2887.0,1417.0,1951.0,1579.0,2026.0,3191.0,2073.0,1.0,5.0,8.0,13.0,7.0,10.0,6.0,5.0
hsa-miR-10a-5p,1329.0,2086.0,2168.0,2163.0,5397.0,7641.0,10085.0,3622.0,6074.0,7729.0,102812.0,115049.0,119723.0,94850.0,114817.0,113602.0,114773.0,160096.0,168673.0,1622.0,1530.0,2379.0,2459.0,1351.0,1591.0,1252.0,881.0
hsa-miR-10b-3p,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,30.0,30.0,25.0,2.0,1.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10b-5p,17.0,85.0,136.0,111.0,288.0,336.0,471.0,171.0,307.0,327.0,6067.0,5863.0,6669.0,608.0,718.0,703.0,700.0,963.0,1150.0,40.0,37.0,47.0,45.0,19.0,27.0,20.0,13.0
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,13.0,31.0,26.0,28.0,62.0,94.0,148.0,61.0,86.0,74.0,708.0,747.0,1028.0,377.0,394.0,396.0,398.0,610.0,459.0,24.0,11.0,15.0,16.0,9.0,17.0,16.0,14.0
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1181,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1199-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,3.0,2.0,3.0,2.0,9.0,1.0,9.0,4.0,10.0,5.0,15.0,21.0,15.0,7.0,8.0,6.0,6.0,12.0,3.0,2.0,1.0,4.0,4.0,9.0,3.0,0.0,1.0
hsa-miR-122-5p,0.0,6.0,2.0,3.0,3.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,9.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,5.0,3.0,3.0,4.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1227-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1231,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,21.0,30.0,28.0,38.0,56.0,68.0,95.0,43.0,55.0,65.0,80.0,106.0,102.0,51.0,60.0,50.0,52.0,66.0,56.0,22.0,16.0,32.0,18.0,19.0,25.0,12.0,8.0
hsa-miR-1247-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1247-5p,3.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,1.0,3.0,9.0,27.0,20.0,27.0,29.0,20.0,23.0,48.0,30.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0
hsa-miR-1248,3.0,5.0,2.0,3.0,0.0,1.0,3.0,2.0,0.0,2.0,12.0,21.0,10.0,16.0,14.0,14.0,13.0,23.0,13.0,5.0,5.0,7.0,10.0,4.0,5.0,3.0,3.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,2.0,5.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,10.0,7.0,11.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1252-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,8.0,8.0,4.0,0.0,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,1.0,14.0,12.0,11.0,9.0,32.0,43.0,15.0,22.0,25.0,374.0,519.0,499.0,98.0,97.0,95.0,118.0,168.0,153.0,6.0,8.0,6.0,9.0,3.0,1.0,4.0,4.0
hsa-miR-125b-1-3p,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,12.0,11.0,12.0,12.0,15.0,27.0,18.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,6.0,7.0,8.0,1.0,10.0,15.0,16.0,5.0,10.0,13.0,89.0,131.0,119.0,69.0,97.0,63.0,119.0,139.0,71.0,2.0,1.0,0.0,8.0,3.0,4.0,5.0,3.0
hsa-miR-126-3p,4.0,10.0,6.0,8.0,18.0,18.0,23.0,15.0,18.0,15.0,221.0,306.0,302.0,64.0,81.0,72.0,100.0,110.0,69.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0
hsa-miR-126-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,6.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,60.0,54.0,37.0,3.0,6.0,7.0,14.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1261,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,1.0,1.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-1262,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,6.0,2.0,1.0,5.0,2.0,5.0,5.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,33.0,42.0,23.0,10.0,42.0,16.0,10.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,60.0,44.0,9.0,55.0,39.0,22.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1269a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,10.0,10.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
