miRNA,SRR16069255,SRR16069256,SRR16069257,SRR16069258,SRR16069259,SRR16069261,SRR16069262,SRR16069263,SRR16069264,SRR16069265,SRR16069266,SRR16069267,SRR16069268,SRR16069269,SRR16069270,SRR16069272,SRR16069273,SRR16069274,SRR16069275,SRR16069276,SRR16069277,SRR16069278,SRR16069279,SRR16069280,SRR16069281,SRR16069283,SRR16069284,SRR16069285,SRR16069286,SRR16069287,SRR16069288,SRR16069289,SRR16069290,SRR16069291,SRR16069292,SRR16069294,SRR16069295,SRR16069296,SRR16069297,SRR16069298,SRR16069299,SRR16069300,SRR16069301,SRR16069302,SRR16069303
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,7.0,16.0,13.0,5.0,8.0,10.0,6.0,3.0,1.0,8.0,0.0,12.0,8.0,7.0,3.0,4.0,7.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
hsa-let-7a-5p,46.0,31149.0,367.0,128.0,12652.0,12690.0,15983.0,13.0,16009.0,6677.0,685.0,26869.0,72.0,114.0,5679.0,7371.0,19050.0,41816.0,12686.0,25567.0,13358.0,72.0,13794.0,15927.0,24336.0,20551.0,94.0,569.0,531.0,13120.0,6605.0,581.0,7041.0,11015.0,8989.0,153.0,4615.0,5119.0,2059.0,4209.0,2053.0,5667.0,3906.0,9970.0,5514.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
hsa-let-7b-5p,56121.0,59503.0,20949.0,29164.0,25881.0,19383.0,23319.0,9478.0,24793.0,11799.0,34757.0,36291.0,32469.0,14139.0,9296.0,12159.0,20454.0,30022.0,21846.0,30790.0,21697.0,38777.0,17962.0,24818.0,34458.0,36459.0,22248.0,13817.0,15252.0,14540.0,14691.0,10750.0,16693.0,18590.0,16261.0,13050.0,8760.0,8178.0,4927.0,8294.0,4350.0,8670.0,6436.0,11050.0,9320.0
hsa-let-7c-3p,39.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,27.0,16.0,25.0,10.0,21.0,12.0,6.0,21.0,20.0,13.0,13.0,5.0,15.0,17.0,18.0,13.0
hsa-let-7c-5p,26867.0,1793.0,11495.0,17039.0,1384.0,1127.0,907.0,6014.0,1484.0,525.0,26529.0,1690.0,24294.0,8829.0,530.0,669.0,1313.0,2698.0,767.0,2257.0,901.0,26767.0,1516.0,1182.0,2511.0,2109.0,13660.0,12901.0,15466.0,486.0,428.0,10479.0,420.0,488.0,291.0,7397.0,378.0,560.0,182.0,271.0,136.0,442.0,329.0,490.0,242.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,2.0,0.0,0.0,0.0,33.0,0.0,0.0,22.0,13.0,14.0,8.0,24.0,0.0,4.0,11.0,1.0,3.0,8.0,1.0,0.0,0.0,2.0,3.0,7.0,3.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
