miRNA,SRR9005506,SRR9005507,SRR9005508,SRR9005509,SRR9005510,SRR9005511,SRR9005512,SRR9005513,SRR9005514,SRR9005515,SRR9005516,SRR9005517,SRR9005518,SRR9005519,SRR9005520,SRR9005521,SRR9005522,SRR9005523,SRR9005524,SRR9005525,SRR9005526,SRR9005527,SRR9005528,SRR9005529,SRR9005530,SRR9005531,SRR9005532,SRR9005533,SRR9005534,SRR9005535,SRR9005536,SRR9005537,SRR9005538,SRR9005539,SRR9005540,SRR9005541,SRR9005542,SRR9005543,SRR9005544,SRR9005545,SRR9005546,SRR9005547,SRR9005548,SRR9005549,SRR9005550,SRR9005551,SRR9005552,SRR9005553
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7g-5p,180.0,137.0,558.0,146.0,75.0,263.0,113.0,175.0,643.0,121.0,388.0,149.0,93.0,199.0,252.0,265.0,250.0,380.0,148.0,149.0,290.0,354.0,218.0,275.0,306.0,130.0,252.0,273.0,467.0,142.0,459.0,101.0,150.0,154.0,369.0,425.0,86.0,187.0,246.0,147.0,79.0,99.0,149.0,90.0,73.0,95.0,181.0,2535.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
hsa-let-7i-5p,1007.0,939.0,3086.0,1104.0,494.0,1540.0,742.0,1118.0,4288.0,878.0,2143.0,1121.0,759.0,1254.0,1705.0,2279.0,1671.0,2605.0,942.0,1004.0,2757.0,3008.0,1603.0,2074.0,2485.0,782.0,2019.0,1887.0,2888.0,1096.0,3294.0,1008.0,889.0,1357.0,3474.0,3700.0,631.0,1205.0,1429.0,1059.0,598.0,803.0,1022.0,752.0,605.0,687.0,1375.0,45504.0
hsa-miR-1-3p,6.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,6.0,1.0,9.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,0.0,0.0,4.0,8.0,4.0,2.0,7.0,7.0,0.0,2.0,0.0,2.0,3.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0,6.0,10.0,1.0,5.0,9.0,7.0,3.0,5.0,6.0,11.0
hsa-miR-100-5p,898.0,855.0,1987.0,2144.0,1398.0,1681.0,2162.0,1589.0,2149.0,1123.0,2140.0,1169.0,598.0,907.0,1272.0,2170.0,1007.0,1140.0,744.0,1406.0,1241.0,1279.0,1100.0,1010.0,2103.0,1278.0,1062.0,708.0,1173.0,1083.0,1259.0,802.0,993.0,898.0,1640.0,1565.0,556.0,1395.0,1811.0,1175.0,1185.0,906.0,1826.0,1362.0,732.0,922.0,1709.0,14108.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,66.0,75.0,251.0,179.0,86.0,148.0,74.0,60.0,103.0,38.0,121.0,29.0,29.0,69.0,79.0,113.0,65.0,141.0,43.0,41.0,77.0,74.0,37.0,28.0,359.0,114.0,96.0,57.0,129.0,99.0,80.0,45.0,60.0,57.0,64.0,51.0,56.0,88.0,92.0,79.0,42.0,38.0,70.0,63.0,38.0,33.0,49.0,520.0
hsa-miR-10392-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3.0,4.0,17.0,11.0,0.0,32.0,6.0,13.0,32.0,13.0,47.0,13.0,2.0,14.0,3.0,0.0,15.0,10.0,6.0,0.0,15.0,10.0,1.0,0.0,58.0,18.0,11.0,21.0,30.0,17.0,0.0,11.0,3.0,6.0,11.0,10.0,0.0,37.0,25.0,15.0,3.0,0.0,3.0,11.0,5.0,0.0,21.0,44.0
hsa-miR-10400-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,2.0,4.0,9.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,7.0,2.0,5.0,2.0,9.0,2.0,9.0,3.0,2.0,7.0,1.0,4.0,1.0,10.0,7.0,3.0,3.0,5.0,6.0,5.0,8.0,2.0,8.0,5.0,9.0,6.0,7.0,5.0,5.0,1.0,5.0,15.0,1037.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0
hsa-miR-106b-3p,10.0,9.0,65.0,10.0,3.0,32.0,8.0,14.0,25.0,11.0,35.0,8.0,6.0,7.0,15.0,14.0,19.0,14.0,3.0,4.0,12.0,13.0,13.0,6.0,15.0,5.0,11.0,12.0,25.0,13.0,16.0,6.0,17.0,7.0,13.0,19.0,7.0,20.0,26.0,8.0,7.0,7.0,18.0,11.0,7.0,3.0,17.0,126.0
hsa-miR-106b-5p,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0
hsa-miR-107,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10a-5p,144.0,193.0,316.0,284.0,132.0,296.0,251.0,210.0,308.0,174.0,147.0,160.0,225.0,229.0,189.0,513.0,189.0,305.0,100.0,179.0,277.0,271.0,115.0,232.0,333.0,236.0,199.0,180.0,342.0,243.0,253.0,163.0,173.0,160.0,242.0,170.0,90.0,186.0,284.0,315.0,263.0,190.0,204.0,254.0,154.0,216.0,396.0,1203.0
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-10b-5p,333.0,422.0,833.0,868.0,356.0,637.0,616.0,628.0,861.0,383.0,483.0,374.0,640.0,618.0,524.0,1289.0,455.0,687.0,281.0,516.0,633.0,771.0,320.0,584.0,1025.0,634.0,490.0,564.0,940.0,582.0,711.0,485.0,443.0,378.0,633.0,528.0,258.0,523.0,804.0,800.0,792.0,523.0,593.0,516.0,336.0,573.0,1096.0,2407.0
hsa-miR-11400,0.0,0.0,7.0,0.0,2.0,14.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-11401,2.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-1180-3p,11.0,7.0,12.0,49.0,4.0,14.0,4.0,8.0,19.0,8.0,5.0,10.0,3.0,1.0,4.0,6.0,18.0,21.0,7.0,4.0,8.0,13.0,6.0,5.0,8.0,13.0,6.0,5.0,14.0,11.0,9.0,11.0,3.0,8.0,6.0,10.0,7.0,16.0,16.0,8.0,4.0,2.0,16.0,5.0,3.0,8.0,15.0,5.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,384.0,2240.0,190.0,401.0,1053.0,1137.0,370.0,21.0,9.0,0.0,978.0,124.0,104.0,212.0,1482.0,1972.0,207.0,553.0,229.0,136.0,655.0,759.0,58.0,468.0,0.0,330.0,14.0,91.0,2166.0,2783.0,63.0,123.0,100.0,1602.0,4453.0,1467.0,785.0,1184.0,664.0,550.0,199.0,0.0,155.0,56.0,678.0,593.0,525.0,4313.0
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1224-5p,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,18.0,29.0,36.0,31.0,30.0,62.0,56.0,26.0,33.0,9.0,54.0,23.0,6.0,16.0,37.0,31.0,9.0,25.0,17.0,16.0,3.0,18.0,15.0,13.0,34.0,19.0,7.0,4.0,31.0,27.0,15.0,18.0,14.0,16.0,26.0,25.0,8.0,18.0,25.0,15.0,21.0,8.0,42.0,29.0,7.0,9.0,30.0,1245.0
hsa-miR-124-5p,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
hsa-miR-1244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,100.0,58.0,115.0,73.0,74.0,150.0,89.0,41.0,136.0,34.0,84.0,46.0,13.0,62.0,101.0,157.0,125.0,72.0,60.0,17.0,25.0,84.0,57.0,40.0,50.0,47.0,27.0,21.0,95.0,65.0,55.0,42.0,35.0,36.0,68.0,42.0,9.0,56.0,63.0,40.0,43.0,21.0,72.0,76.0,35.0,46.0,114.0,7.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-1248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,17.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1255a,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1255b-5p,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-125a-3p,5.0,14.0,24.0,18.0,7.0,14.0,24.0,7.0,24.0,6.0,12.0,6.0,7.0,7.0,11.0,9.0,8.0,12.0,6.0,4.0,2.0,6.0,3.0,5.0,13.0,8.0,9.0,3.0,11.0,8.0,10.0,12.0,7.0,7.0,13.0,10.0,0.0,4.0,8.0,6.0,9.0,7.0,18.0,10.0,3.0,3.0,14.0,290.0
