miRNA,SRR12539417,SRR12539418,SRR12539419,SRR12539420,SRR12539421,SRR12539422,SRR12539423,SRR12539424,SRR12539425,SRR12539426,SRR12539427,SRR12539428,SRR12539429,SRR12539430,SRR12539431
hsa-let-7a-5p,131.57,62.33,104.23,126.2,13724.21,16232.97,78.63,62.08,37.81,0.0,26.11,73.14,92.77,9.01,61.31
hsa-let-7b-5p,937.71,694.48,723.63,1027.62,9850.59,7905.76,702.64,266.95,321.38,134.28,234.95,856.2,764.75,378.47,330.41
hsa-let-7c-3p,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,11.96,48.97,11.91,21.63,3647.01,2315.54,27.9,0.0,0.0,46.23,0.0,4.3,27.15,22.53,0.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,13.56,30.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,172.38,224.45,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,443.53,531.25,2.54,0.0,0.0,0.0,0.0,0.0,2.26,0.0,3.41
hsa-let-7f-5p,74.16,111.3,14.89,68.51,11984.95,15966.54,40.59,43.46,26.47,6.6,13.05,43.03,9.05,22.53,27.25
hsa-let-7g-5p,0.0,0.0,0.0,10.82,522.94,395.61,0.0,0.0,0.0,0.0,0.0,8.61,0.0,0.0,0.0
hsa-let-7i-5p,0.0,0.0,0.0,39.66,1812.85,2399.5,5.07,3.1,0.0,0.0,0.0,0.0,0.0,0.0,6.81
hsa-miR-1-3p,0.0,0.0,0.0,25.24,23.24,0.0,10.15,0.0,18.9,13.21,0.0,21.51,20.36,0.0,10.22
hsa-miR-100-5p,0.0,0.0,0.0,0.0,46.48,1.61,0.0,0.0,11.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,133.96,235.95,262.05,216.34,317.64,200.23,65.95,74.5,170.14,57.23,34.81,77.45,142.54,36.05,30.66
hsa-miR-103a-3p,310.98,654.42,357.35,281.24,184.0,153.4,334.83,316.62,521.77,94.65,91.37,567.93,226.26,162.2,330.41
hsa-miR-106b-3p,0.0,0.0,11.91,0.0,3.87,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,27.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-107,0.0,22.26,2.98,10.82,13.56,0.0,2.54,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,0.0,0.0,0.0,0.0,32.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,3.41
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,367.99,79.12,2.54,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,0.0,30.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,7.56,0.0,2.18,0.0,0.0,6.76,0.0
hsa-miR-122-5p,0.0,0.0,0.0,0.0,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,27.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,27.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
