miRNA,SRR21850582,SRR21850583,SRR21850584,SRR21850586,SRR21850587,SRR21850588,SRR21850589
hsa-let-7a-5p,0.0,0.0,0.0,25.54,0.0,0.0,0.73
hsa-let-7b-5p,37.76,0.0,12.93,16.53,0.0,56.4,0.73
hsa-let-7c-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-let-7d-3p,25.55,0.0,0.0,0.0,0.0,35.89,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,1.03,0.0
hsa-let-7f-5p,0.0,0.0,0.0,0.75,94.59,0.0,0.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,12.24,0.0,0.0
hsa-let-7i-5p,0.0,0.68,0.0,0.0,0.0,2.05,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,80.12,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.73
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,58.7
hsa-miR-1257,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-miR-125a-5p,0.0,0.0,0.0,0.75,24.48,1.03,0.0
hsa-miR-125b-5p,0.0,0.0,0.76,0.0,1.11,1.03,0.0
hsa-miR-1343-5p,0.0,0.0,0.0,0.0,0.0,0.0,11.74
hsa-miR-152-3p,0.0,0.0,0.0,0.0,1.11,0.0,0.0
hsa-miR-16-5p,0.0,0.0,0.0,0.0,0.0,86.14,0.0
hsa-miR-181a-5p,0.0,0.0,0.0,0.0,0.0,67.68,0.0
hsa-miR-191-5p,0.0,0.0,5.33,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-199b-5p,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-203a-3p,0.0,0.0,0.0,5.26,0.0,0.0,0.0
hsa-miR-221-3p,0.0,25.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-222-3p,1.11,0.68,0.76,0.0,2.23,0.0,0.0
hsa-miR-223-3p,0.0,0.0,0.0,15.03,0.0,0.0,0.0
hsa-miR-23b-3p,0.0,44.48,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,0.0,0.0,0.76,0.75,0.0,0.0,0.0
hsa-miR-3059-3p,0.0,0.0,35.76,0.0,0.0,0.0,0.0
hsa-miR-3127-5p,0.0,0.0,0.0,0.0,0.0,93.32,0.0
hsa-miR-3160-3p,0.0,0.0,0.0,0.0,0.0,0.0,23.48
hsa-miR-3195,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,1.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-335-5p,0.0,0.0,15.22,0.0,0.0,0.0,0.0
hsa-miR-3652,0.0,0.0,0.0,0.0,1.11,0.0,0.0
hsa-miR-3663-3p,0.0,0.0,0.0,0.0,94.59,0.0,0.0
hsa-miR-4274,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-4281,0.0,0.0,24.34,0.0,0.0,0.0,0.0
hsa-miR-4292,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-4320,1.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433b-5p,0.0,0.0,0.0,56.35,0.0,0.0,0.0
hsa-miR-4451,0.0,0.0,0.0,0.0,0.0,0.0,2.2
hsa-miR-4473,0.0,0.0,1.52,0.0,0.0,0.0,0.0
hsa-miR-451a,0.0,0.0,0.0,0.0,24.48,0.0,0.0
hsa-miR-4667-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.73
hsa-miR-499a-3p,0.0,68.44,0.0,0.0,0.0,0.0,0.0
hsa-miR-5001-5p,0.0,0.0,0.0,0.0,0.0,1.03,0.0
hsa-miR-5698,0.0,0.0,0.0,0.0,0.0,9.23,0.0
hsa-miR-614,0.0,0.0,0.0,0.0,0.0,1.03,0.0
hsa-miR-615-5p,0.0,0.0,0.76,0.0,0.0,0.0,0.0
hsa-miR-6789-5p,31.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6796-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-miR-6807-3p,7.77,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6893-3p,0.0,0.0,0.0,0.0,3.34,0.0,0.0
hsa-miR-7159-3p,16.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-766-5p,0.0,0.0,0.0,33.81,0.0,0.0,0.0
hsa-miR-7849-3p,0.0,0.0,0.0,1.5,0.0,0.0,0.0
hsa-miR-891a-3p,0.0,0.0,0.0,14.27,0.0,0.0,0.0
hsa-miR-92a-3p,115.51,17.79,0.76,171.29,133.54,2.05,44.02
hsa-miR-9851-5p,39.98,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-99b-3p,0.0,0.0,0.0,0.0,0.0,1.03,0.0
hsa-mir-1913-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.73
hsa-mir-3137-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.73
