miRNA,SRR23352407,SRR23352408,SRR23352409,SRR23352410,SRR23352411,SRR23352412,SRR23352413,SRR23352414
hsa-let-7a-2-3p,0.0,23.68,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.31,0.28,6.51,3.37,3.15,2.76,0.99,104.37
hsa-let-7a-5p,1549.87,8348.89,6040.36,4318.22,7260.18,7717.26,2509.67,3760.52
hsa-let-7b-3p,0.0,0.0,0.34,0.0,0.0,0.69,0.0,0.0
hsa-let-7b-5p,3570.88,3722.81,3384.82,2402.53,3735.72,4218.37,1182.94,1537.1
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,4.13,0.0,3.16
hsa-let-7c-5p,1062.26,2514.75,3886.44,4891.46,5758.6,8001.88,2018.84,366.88
hsa-let-7d-3p,43.36,126.77,34.63,13.91,161.51,184.01,50.57,246.69
hsa-let-7d-5p,268.39,813.55,1138.33,472.08,1869.08,1164.69,409.52,306.79
hsa-let-7e-3p,0.0,0.84,0.0,0.42,0.0,19.99,9.92,0.0
hsa-let-7e-5p,139.84,727.73,917.18,586.3,1131.26,1407.96,389.69,120.18
hsa-let-7f-1-3p,0.0,0.0,0.69,0.0,0.0,1.38,0.0,3.16
hsa-let-7f-2-3p,3.97,1.11,0.0,0.42,0.0,0.69,0.0,6.33
hsa-let-7f-5p,3520.19,22333.54,20922.67,18179.11,27692.24,31176.39,9154.18,7027.64
hsa-let-7g-3p,0.0,0.56,77.49,0.0,1.05,0.69,0.0,0.0
hsa-let-7g-5p,1566.67,12956.29,12987.95,8619.59,15008.03,13438.69,4115.02,3722.56
hsa-let-7i-3p,6.41,0.28,0.34,109.59,7.71,0.69,0.0,0.0
hsa-let-7i-5p,3641.1,20143.09,19813.14,14192.18,23895.91,25900.15,8238.96,9523.06
hsa-miR-1-3p,265.33,1048.14,1093.07,910.85,1455.33,1550.62,169.56,211.9
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,19.3,1.98,0.0
hsa-miR-100-5p,476.32,2083.74,2988.12,1886.19,2360.62,3633.27,5736.24,746.41
hsa-miR-101-3p,917.22,1154.57,1054.67,1213.91,1614.38,1532.7,477.94,4133.72
hsa-miR-10395-3p,6.41,0.0,0.0,0.0,0.35,0.69,0.0,3.16
hsa-miR-10395-5p,0.0,0.56,38.06,0.0,39.24,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0
hsa-miR-103a-3p,222.89,1605.08,34.29,1357.64,2351.16,393.51,37.68,256.18
hsa-miR-10526-3p,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,2.79,4.8,0.42,2.45,7.58,7.93,6.33
hsa-miR-106b-3p,115.42,345.2,92.92,620.44,264.86,439.69,137.83,164.46
hsa-miR-106b-5p,25.04,174.13,94.29,230.98,371.01,223.98,188.4,113.86
hsa-miR-107,0.61,4.18,25.37,5.06,56.06,88.9,11.9,3.16
hsa-miR-10a-3p,0.0,33.99,3.77,81.35,184.28,168.85,36.69,6.33
hsa-miR-10a-5p,1591.4,4549.73,9622.33,7560.79,8844.08,13012.79,4568.17,1337.85
hsa-miR-10b-3p,0.0,1.67,0.0,0.84,0.0,0.69,22.81,0.0
hsa-miR-10b-5p,743.49,1747.73,2967.2,2726.23,3849.58,5134.27,1961.33,2647.23
hsa-miR-11400,4.89,7.24,0.34,0.0,0.35,0.69,0.0,0.0
hsa-miR-11401,9.16,0.0,0.0,1.26,0.35,0.69,0.0,6.33
hsa-miR-1180-3p,12.52,1.39,0.0,0.84,2.1,1.38,14.87,31.63
hsa-miR-1185-1-3p,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-12136,18.32,0.0,0.0,43.41,1.05,0.0,0.0,0.0
hsa-miR-122-5p,56645.48,5146.52,6149.73,3426.76,4099.72,2720.82,519.58,7043.46
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0
hsa-miR-122b-5p,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,38.47,92.5,185.84,152.58,202.85,244.65,21.81,0.0
hsa-miR-124-5p,0.31,3.9,2.06,0.84,62.01,6.2,0.99,6.33
hsa-miR-1246,36.95,28.98,3.77,10.12,10.86,34.46,15.87,12.65
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.69,9.92,0.0
hsa-miR-1248,0.0,0.0,0.34,0.0,0.7,0.0,8.92,0.0
hsa-miR-1249-3p,0.0,1.67,1.03,1.26,1.4,2.07,0.99,0.0
hsa-miR-1250-5p,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-3p,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,0.0,0.0,0.0,0.42,0.35,1.38,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-125a-3p,26.87,0.0,0.34,0.42,7.01,0.69,0.0,0.0
hsa-miR-125a-5p,87.94,384.21,497.16,415.59,284.13,578.21,181.46,110.7
hsa-miR-125b-1-3p,1.22,51.26,139.55,3.79,159.41,22.74,6.94,9.49
hsa-miR-125b-2-3p,0.0,0.84,0.0,0.0,1.4,4.82,0.0,0.0
hsa-miR-125b-5p,216.48,855.62,1435.6,1222.76,885.67,1394.18,282.6,85.39
hsa-miR-126-3p,773.72,3653.44,2865.37,2167.33,5397.05,2611.24,818.05,1600.35
hsa-miR-126-5p,3.36,65.47,13.71,13.49,103.7,55.82,10.91,117.02
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0
hsa-miR-1260b,5.8,10.31,1.71,1.69,1.4,30.32,5.95,0.0
hsa-miR-1268a,0.0,6.13,77.49,0.0,0.35,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.28,1.03,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269a,0.0,0.56,0.0,0.42,0.7,2.07,1.98,0.0
hsa-miR-1269b,0.0,0.56,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-127-3p,253.12,2311.92,2541.7,1420.86,3053.95,2991.66,267.72,142.32
hsa-miR-127-5p,17.4,7.8,6.86,22.76,13.31,135.08,10.91,9.49
hsa-miR-1273h-3p,15.57,0.28,0.34,0.42,0.35,0.69,0.0,3.16
hsa-miR-1273h-5p,0.0,1.11,0.0,0.42,50.1,0.69,8.92,3.16
hsa-miR-1275,6.11,52.94,0.0,4.21,0.35,1.38,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33
hsa-miR-128-1-5p,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,558.76,3689.1,3160.58,2286.19,4657.12,2882.08,475.95,480.74
hsa-miR-1284,0.0,0.28,0.0,0.0,0.0,0.0,0.0,3.16
hsa-miR-1285-3p,21.37,0.56,0.34,0.0,0.35,0.0,0.0,6.33
hsa-miR-1285-5p,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,9.47,0.0,0.34,0.42,0.0,1.38,0.0,0.0
hsa-miR-129-1-3p,12.21,86.93,11.31,117.6,10.51,8.27,0.99,3.16
hsa-miR-129-2-3p,0.92,46.81,64.12,76.29,88.64,28.94,21.81,9.49
hsa-miR-129-5p,73.28,341.02,214.64,87.67,573.51,634.72,49.58,34.79
hsa-miR-1291,0.31,29.25,0.34,1.26,5.96,22.05,80.32,148.65
hsa-miR-1292-5p,0.0,0.28,0.0,0.0,0.0,0.69,0.0,3.16
hsa-miR-1294,14.05,0.0,0.0,0.0,0.0,2.07,0.0,9.49
hsa-miR-1296-5p,0.0,0.28,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,13.74,198.93,105.26,26.98,307.25,130.25,13.88,9.49
hsa-miR-1299,17.71,1.95,0.34,0.0,1.05,4.13,4.96,0.0
hsa-miR-1301-3p,0.61,3.06,0.0,1.69,2.8,1.38,0.0,6.33
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16
hsa-miR-1304-3p,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,4.89,0.84,0.0,0.0,28.73,1.38,0.0,3.16
hsa-miR-1306-3p,4.89,0.56,3.43,45.52,0.7,2.76,1.98,3.16
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0
hsa-miR-1307-3p,619.22,1155.96,381.27,106.22,266.96,68.23,39.66,18.98
hsa-miR-1307-5p,0.31,0.28,0.34,40.46,0.0,0.0,0.99,0.0
hsa-miR-130a-3p,18.32,41.79,38.74,0.0,4.55,8.96,14.87,12.65
hsa-miR-130a-5p,0.0,0.28,0.0,0.42,1.05,2.07,4.96,0.0
hsa-miR-130b-3p,0.0,0.28,0.0,0.42,0.0,0.69,4.96,0.0
hsa-miR-130b-5p,18.32,28.42,0.0,0.0,2.45,2.76,0.99,6.33
hsa-miR-132-3p,14.35,74.67,110.75,81.77,277.12,114.4,9.92,6.33
hsa-miR-132-5p,22.29,194.75,132.69,120.13,243.49,190.21,24.79,3.16
hsa-miR-133a-3p,30.84,10.31,50.4,8.85,75.67,133.01,5.95,34.79
hsa-miR-133b,0.0,0.0,0.0,0.0,0.7,2.07,0.99,0.0
hsa-miR-134-5p,414.95,2327.25,783.8,471.65,86.18,81.32,61.48,37.95
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.69,0.84,0.7,0.69,0.0,0.0
hsa-miR-135a-5p,15.27,0.84,5.49,2.53,9.81,46.86,0.99,0.0
hsa-miR-135b-3p,0.0,0.56,0.0,0.0,0.35,2.07,0.0,0.0
hsa-miR-135b-5p,11.6,4.18,14.74,19.39,9.11,30.32,3.97,0.0
hsa-miR-136-3p,11.91,29.53,10.29,18.12,115.96,119.23,2.97,12.65
hsa-miR-136-5p,0.31,77.73,173.49,56.48,187.43,142.66,6.94,3.16
hsa-miR-137-3p,3.66,1.95,2.4,4.64,6.31,8.27,0.0,0.0
hsa-miR-137-5p,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.42,0.0,1.38,0.0,0.0
hsa-miR-138-2-3p,0.0,0.0,0.0,0.84,0.35,1.38,0.0,0.0
hsa-miR-138-5p,2.44,19.5,88.8,7.59,166.06,72.36,2.97,6.33
hsa-miR-139-3p,46.41,31.76,0.69,2.11,1.4,6.2,0.0,22.14
hsa-miR-139-5p,83.36,544.69,681.63,422.76,605.04,564.43,111.06,101.21
hsa-miR-140-3p,395.41,1398.63,1577.21,609.48,1802.52,1257.72,597.92,964.64
hsa-miR-140-5p,12.21,4.74,105.95,23.6,82.68,157.13,21.81,12.65
hsa-miR-141-3p,17.4,30.37,3.09,3.37,3.5,8.96,27.76,0.0
hsa-miR-141-5p,0.0,0.0,0.34,0.0,0.35,1.38,0.0,0.0
hsa-miR-142-3p,7.63,15.32,231.09,182.09,377.67,71.67,7.93,9.49
hsa-miR-142-5p,103.2,241.56,45.26,99.05,200.05,331.49,75.36,1129.1
hsa-miR-143-3p,1083.63,5321.49,5392.67,2795.36,5701.5,3917.9,978.68,768.55
hsa-miR-143-5p,0.31,1.95,83.66,180.4,3.85,119.23,0.99,0.0
hsa-miR-144-3p,25.34,23.96,51.77,3.79,159.41,64.78,4.96,60.09
hsa-miR-144-5p,0.0,89.99,0.0,2.95,23.47,3.45,0.0,28.46
hsa-miR-145-3p,0.61,42.91,0.69,2.11,1.4,2.76,0.99,3.16
hsa-miR-145-5p,29.92,126.21,191.66,27.4,230.53,201.24,16.86,56.93
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,0.35,1.38,0.0,0.0
hsa-miR-146a-3p,3.36,0.0,0.0,0.0,0.0,0.69,0.0,0.0
hsa-miR-146a-5p,1245.15,5167.42,2746.74,2015.17,2651.05,2453.42,1242.44,1211.34
hsa-miR-146b-3p,25.65,18.67,1.03,3.79,1.05,0.69,8.92,0.0
hsa-miR-146b-5p,157.86,584.25,1168.85,668.07,1316.94,851.12,308.38,325.76
hsa-miR-147b-3p,13.43,28.14,1.37,0.0,0.7,2.07,1.98,3.16
hsa-miR-147b-5p,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0
hsa-miR-148a-3p,8927.04,38647.1,37719.91,19500.5,35500.7,31789.06,11036.18,27392.62
hsa-miR-148a-5p,29.01,90.83,5.14,45.94,3.5,11.03,3.97,6.33
hsa-miR-148b-3p,147.17,552.21,608.6,445.1,743.43,778.76,394.65,392.18
hsa-miR-148b-5p,20.46,0.0,0.0,22.76,17.87,2.76,0.0,0.0
hsa-miR-149-5p,19.24,7.8,5.49,5.9,71.82,107.51,6.94,6.33
hsa-miR-150-3p,70.84,0.28,0.69,0.42,2.8,6.2,0.0,3.16
hsa-miR-150-5p,29.92,98.07,310.98,134.46,31.18,113.02,29.75,85.39
hsa-miR-151a-3p,7019.31,51958.07,28216.56,19313.36,45236.41,23440.53,10956.86,1967.23
hsa-miR-151a-5p,14.66,25.35,39.09,77.13,175.17,77.88,7.93,12.65
hsa-miR-151b,0.0,0.0,47.32,17.28,3.5,4.82,4.96,0.0
hsa-miR-152-3p,226.56,622.42,919.58,497.37,1447.27,1228.78,418.44,25.3
hsa-miR-152-5p,0.0,0.0,0.69,0.0,64.46,84.08,11.9,0.0
hsa-miR-153-3p,14.35,8.36,5.14,6.32,14.01,53.75,3.97,0.0
hsa-miR-153-5p,0.0,0.0,0.69,0.0,0.7,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0
hsa-miR-154-3p,0.0,0.56,85.37,0.84,0.35,0.0,0.0,0.0
hsa-miR-154-5p,0.0,7.24,2.06,1.26,5.61,9.65,0.0,0.0
hsa-miR-155-5p,15.27,95.01,80.92,2.11,149.6,189.52,17.85,37.95
hsa-miR-15a-5p,32.37,68.26,87.43,0.84,37.49,94.42,16.86,199.25
hsa-miR-15b-3p,0.0,106.15,16.46,0.84,29.43,56.51,30.74,22.14
hsa-miR-15b-5p,12.82,81.63,63.77,179.56,269.06,121.98,71.39,1502.31
hsa-miR-16-1-3p,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-2-3p,21.98,90.27,0.34,0.0,2.8,4.13,10.91,132.84
hsa-miR-16-5p,110.53,615.45,837.98,499.05,1984.0,1501.69,235.99,2694.67
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16
hsa-miR-17-5p,40.61,115.62,324.7,109.17,356.3,182.63,107.09,50.6
hsa-miR-181a-2-3p,12.82,25.35,3.09,0.0,1.75,39.28,0.0,15.81
hsa-miR-181a-3p,28.09,6.69,7.2,96.1,76.37,67.54,16.86,3.16
