miRNA,SRR28962267,SRR28962268,SRR28962269
hsa-let-7a-2-3p,9.0,18.0,6.0
hsa-let-7a-3p,24.0,7.0,8.0
hsa-let-7a-5p,6086.0,10770.0,35449.0
hsa-let-7b-3p,6.0,1.0,2.0
hsa-let-7b-5p,12209.0,3226.0,1475.0
hsa-let-7c-3p,1.0,0.0,0.0
hsa-let-7c-5p,1810.0,735.0,1048.0
hsa-let-7d-3p,113.0,107.0,70.0
hsa-let-7d-5p,1232.0,2147.0,2275.0
hsa-let-7e-3p,12.0,1.0,0.0
hsa-let-7e-5p,627.0,597.0,1216.0
hsa-let-7f-1-3p,15.0,10.0,9.0
hsa-let-7f-2-3p,3.0,0.0,4.0
hsa-let-7f-5p,4953.0,4426.0,38594.0
hsa-let-7g-3p,1.0,1.0,1.0
hsa-let-7g-5p,23586.0,17609.0,46950.0
hsa-let-7i-3p,12.0,10.0,11.0
hsa-let-7i-5p,51510.0,63215.0,159366.0
hsa-miR-1-3p,29.0,20.0,16.0
hsa-miR-100-3p,0.0,0.0,11.0
hsa-miR-100-5p,115469.0,88158.0,42488.0
hsa-miR-101-3p,673.0,422.0,460.0
hsa-miR-10394-3p,2.0,1.0,1.0
hsa-miR-10394-5p,0.0,0.0,1.0
hsa-miR-10395-3p,0.0,0.0,9.0
hsa-miR-10395-5p,0.0,0.0,1.0
hsa-miR-10396a-3p,1.0,0.0,0.0
hsa-miR-10396b-3p,2.0,0.0,0.0
hsa-miR-10399-3p,24.0,1.0,10.0
hsa-miR-103a-2-5p,2.0,0.0,1.0
hsa-miR-103a-3p,986.0,567.0,1698.0
hsa-miR-10400-3p,0.0,0.0,1.0
hsa-miR-10401-3p,51.0,28.0,33.0
hsa-miR-10401-5p,2.0,0.0,6.0
hsa-miR-105-3p,0.0,0.0,5.0
hsa-miR-105-5p,100.0,84.0,58.0
hsa-miR-10526-3p,11.0,17.0,3.0
hsa-miR-10527-5p,0.0,2.0,0.0
hsa-miR-106a-5p,2.0,3.0,0.0
hsa-miR-106b-3p,1729.0,1421.0,814.0
hsa-miR-106b-5p,176.0,282.0,309.0
hsa-miR-107,170.0,84.0,247.0
hsa-miR-10a-3p,70.0,50.0,44.0
hsa-miR-10a-5p,678.0,1244.0,2312.0
hsa-miR-10b-5p,5.0,4.0,4.0
hsa-miR-11399,3.0,1.0,0.0
hsa-miR-11401,1.0,5.0,2.0
hsa-miR-1180-3p,1494.0,523.0,193.0
hsa-miR-1185-1-3p,0.0,1.0,0.0
hsa-miR-1197,0.0,1.0,0.0
hsa-miR-12114,1.0,0.0,0.0
hsa-miR-12136,0.0,2.0,0.0
hsa-miR-122-5p,14.0,15.0,6.0
hsa-miR-1224-5p,0.0,1.0,0.0
hsa-miR-1225-3p,0.0,0.0,2.0
hsa-miR-1226-3p,11.0,2.0,5.0
hsa-miR-1226-5p,3.0,1.0,0.0
hsa-miR-1229-3p,1.0,1.0,0.0
hsa-miR-1234-3p,2.0,0.0,0.0
hsa-miR-1236-5p,1.0,0.0,3.0
hsa-miR-1238-5p,2.0,0.0,0.0
hsa-miR-124-3p,1.0,0.0,0.0
hsa-miR-1243,0.0,1.0,0.0
hsa-miR-1244,0.0,0.0,6.0
hsa-miR-1246,258225.0,15407.0,79473.0
hsa-miR-1247-5p,1.0,0.0,1.0
hsa-miR-1248,0.0,3.0,3.0
hsa-miR-1249-3p,40.0,11.0,0.0
hsa-miR-1250-5p,3.0,3.0,1.0
hsa-miR-1252-5p,1.0,2.0,0.0
hsa-miR-1253,1.0,0.0,0.0
hsa-miR-1255a,9.0,4.0,9.0
hsa-miR-1255b-5p,1.0,1.0,0.0
hsa-miR-125a-3p,118.0,37.0,15.0
hsa-miR-125a-5p,268.0,487.0,487.0
