miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-let-7a-2-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,11.0,48.0,84.0,87.0,109.0,8.0,38.0,0.0,0.0,65.0
hsa-let-7a-5p,7247.0,23378.0,15596.0,106906.0,29635.0,4408.0,9389.0,675.0,5294.0,20254.0
hsa-let-7b-3p,5.0,16.0,73.0,343.0,153.0,34.0,24.0,0.0,22.0,45.0
hsa-let-7b-5p,5079.0,11666.0,9908.0,35399.0,20589.0,37763.0,81635.0,45519.0,95601.0,94155.0
hsa-let-7c-3p,0.0,1.0,16.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,128.0,713.0,492.0,2577.0,709.0,519.0,1395.0,207.0,608.0,787.0
hsa-let-7d-3p,293.0,1213.0,2739.0,15625.0,1555.0,1774.0,1777.0,317.0,1118.0,4838.0
hsa-let-7d-5p,1110.0,2550.0,1130.0,10038.0,4204.0,901.0,1973.0,71.0,1053.0,2099.0
hsa-let-7e-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,69.0,92.0,36.0,549.0,153.0,79.0,50.0,0.0,165.0,145.0
hsa-let-7f-1-3p,1.0,2.0,6.0,63.0,16.0,1.0,4.0,0.0,5.0,0.0
hsa-let-7f-2-3p,0.0,1.0,12.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,6989.0,22355.0,22254.0,105038.0,27050.0,3902.0,4051.0,255.0,1261.0,14478.0
hsa-let-7g-3p,0.0,1.0,35.0,0.0,58.0,4.0,8.0,0.0,0.0,0.0
hsa-let-7g-5p,3911.0,12815.0,10643.0,41079.0,15812.0,6780.0,7182.0,1158.0,4676.0,10455.0
hsa-let-7i-3p,2.0,1.0,9.0,0.0,40.0,10.0,10.0,0.0,0.0,0.0
hsa-let-7i-5p,15807.0,43099.0,54425.0,78593.0,67971.0,70323.0,70340.0,42706.0,65781.0,63922.0
hsa-miR-1-3p,79.0,1192.0,671.0,891.0,853.0,15.0,34.0,1.0,1.0,150.0
hsa-miR-100-5p,131.0,454.0,14803.0,2312.0,15711.0,972.0,1309.0,380.0,999.0,556.0
hsa-miR-101-3p,551.0,2025.0,7258.0,3872.0,10731.0,4880.0,7350.0,1121.0,4700.0,7303.0
hsa-miR-101-5p,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
hsa-miR-10399-3p,10.0,28.0,81.0,32.0,52.0,62.0,139.0,29.0,43.0,49.0
hsa-miR-10399-5p,1.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,2.0
hsa-miR-103a-3p,2595.0,1265.0,5063.0,2339.0,4698.0,248.0,640.0,659.0,270.0,782.0
hsa-miR-10401-3p,1.0,4.0,0.0,0.0,4.0,6.0,10.0,0.0,13.0,12.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
hsa-miR-106a-5p,23.0,75.0,4.0,404.0,39.0,27.0,43.0,0.0,103.0,28.0
hsa-miR-106b-3p,314.0,728.0,2114.0,1612.0,2730.0,5090.0,3338.0,3422.0,6864.0,1928.0
hsa-miR-106b-5p,14.0,79.0,58.0,238.0,243.0,96.0,293.0,21.0,130.0,202.0
hsa-miR-107,67.0,39.0,70.0,448.0,13.0,19.0,1.0,25.0,1.0,1.0
hsa-miR-10a-3p,8.0,22.0,103.0,52.0,17.0,7.0,1.0,1.0,0.0,1.0
hsa-miR-10a-5p,898.0,4336.0,16426.0,15197.0,2853.0,2668.0,2259.0,319.0,597.0,5651.0
hsa-miR-10b-3p,4.0,25.0,15.0,36.0,7.0,2.0,23.0,0.0,3.0,19.0
hsa-miR-10b-5p,1787.0,11121.0,12459.0,32273.0,1829.0,6628.0,5475.0,861.0,1140.0,14876.0
hsa-miR-11399,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11400,38.0,7.0,36.0,141.0,167.0,20.0,123.0,6.0,6.0,10.0
hsa-miR-11401,1.0,20.0,38.0,8.0,65.0,47.0,126.0,20.0,307.0,134.0
hsa-miR-1180-3p,67.0,180.0,161.0,972.0,294.0,707.0,1565.0,1557.0,2372.0,1242.0
hsa-miR-1185-1-3p,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
hsa-miR-1185-2-3p,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
