miRNA,SRR13307291,SRR13307292,SRR13307293,SRR13307294,SRR13307295,SRR13307296,SRR13307297,SRR13307298,SRR13307299,SRR13307300,SRR13307301,SRR13307302
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7a-3p,56.0,63.0,593.0,651.0,1098.0,114.0,155.0,125.0,89.0,190.0,65.0,315.0
hsa-let-7a-5p,21648.0,23876.0,295464.0,243616.0,302984.0,20513.0,45687.0,30470.0,18241.0,110557.0,17905.0,50238.0
hsa-let-7b-3p,13.0,3.0,113.0,79.0,305.0,16.0,4.0,9.0,13.0,66.0,4.0,47.0
hsa-let-7b-5p,3038.0,6381.0,52750.0,41987.0,67022.0,4726.0,7067.0,5906.0,3690.0,24647.0,3754.0,13930.0
hsa-let-7c-3p,0.0,0.0,0.0,3.0,9.0,2.0,6.0,2.0,0.0,1.0,0.0,4.0
hsa-let-7c-5p,102.0,452.0,1460.0,1224.0,1761.0,176.0,395.0,213.0,117.0,1113.0,181.0,1174.0
hsa-let-7d-3p,548.0,703.0,10058.0,13684.0,16795.0,753.0,868.0,379.0,257.0,2808.0,184.0,316.0
hsa-let-7d-5p,6317.0,6274.0,78719.0,53298.0,79554.0,5433.0,13849.0,7373.0,3779.0,28642.0,3730.0,4659.0
hsa-let-7e-3p,9.0,3.0,39.0,96.0,111.0,10.0,19.0,2.0,4.0,15.0,2.0,14.0
hsa-let-7e-5p,319.0,284.0,2481.0,3033.0,4119.0,199.0,1237.0,311.0,199.0,1410.0,78.0,546.0
hsa-let-7f-1-3p,3.0,0.0,19.0,8.0,64.0,13.0,5.0,5.0,5.0,15.0,6.0,12.0
hsa-let-7f-2-3p,12.0,11.0,17.0,17.0,59.0,2.0,10.0,2.0,2.0,12.0,7.0,33.0
hsa-let-7f-5p,27708.0,22723.0,289905.0,331048.0,313349.0,22664.0,65829.0,39953.0,20792.0,107106.0,22773.0,50607.0
hsa-let-7g-3p,4.0,0.0,23.0,5.0,13.0,6.0,5.0,2.0,2.0,7.0,3.0,12.0
hsa-let-7g-5p,24890.0,21976.0,285792.0,270939.0,360785.0,24398.0,57439.0,38284.0,19909.0,102567.0,31255.0,48281.0
hsa-let-7i-3p,38.0,12.0,239.0,417.0,410.0,12.0,84.0,73.0,12.0,120.0,28.0,47.0
hsa-let-7i-5p,11757.0,10740.0,131990.0,107306.0,142994.0,11937.0,24063.0,15206.0,8095.0,37370.0,11352.0,12509.0
hsa-miR-1-3p,831.0,335.0,6341.0,31168.0,2537.0,2493.0,2536.0,450.0,743.0,581.0,103.0,64.0
hsa-miR-1-5p,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,312.0,304.0,2160.0,1034.0,540.0,363.0,492.0,366.0,141.0,1196.0,357.0,1225.0
hsa-miR-101-2-5p,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,6214.0,3654.0,53098.0,58661.0,144983.0,11219.0,15224.0,10719.0,4941.0,12982.0,8320.0,14968.0
hsa-miR-101-5p,0.0,0.0,12.0,22.0,41.0,3.0,1.0,6.0,5.0,1.0,4.0,1.0
hsa-miR-10392-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-10396a-3p,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,13.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,11.0,6.0,54.0,124.0,80.0,4.0,10.0,4.0,1.0,31.0,2.0,25.0
hsa-miR-10399-5p,1.0,2.0,6.0,14.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,12.0,7.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0
hsa-miR-103a-3p,11551.0,12998.0,10095.0,26109.0,219365.0,370.0,34659.0,13888.0,1052.0,41989.0,397.0,14314.0
hsa-miR-10401-3p,1.0,1.0,6.0,10.0,20.0,5.0,0.0,0.0,3.0,7.0,26.0,13.0
