miRNA,SRR18110733,SRR18110734,SRR18110735,SRR18110736,SRR18110737,SRR18110738,SRR18110739,SRR18110740,SRR18110741,SRR18110742,SRR18110743,SRR18110744,SRR18110745,SRR18110746,SRR18110747,SRR18110748,SRR18110749,SRR18110750,SRR18110751,SRR18110752
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
hsa-let-7a-5p,129.0,95.0,2958.0,6.0,2964.0,391.0,226.0,60.0,342.0,491.0,6942.0,31251.0,258.0,336.0,3020.0,18159.0,477.0,3178.0,8812.0,18798.0
hsa-let-7b-3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,180.0,115.0,2779.0,22.0,1569.0,566.0,212.0,61.0,481.0,425.0,2804.0,12106.0,357.0,203.0,1416.0,6255.0,679.0,1211.0,3945.0,6066.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-let-7c-5p,109.0,36.0,1132.0,8.0,370.0,117.0,45.0,12.0,127.0,85.0,985.0,3255.0,93.0,46.0,390.0,1681.0,712.0,256.0,922.0,1437.0
hsa-let-7d-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0
hsa-let-7d-5p,3.0,0.0,8.0,0.0,9.0,1.0,0.0,0.0,15.0,0.0,20.0,66.0,8.0,1.0,15.0,29.0,15.0,14.0,53.0,60.0
hsa-let-7e-5p,6.0,1.0,109.0,3.0,129.0,22.0,25.0,3.0,25.0,16.0,285.0,1359.0,22.0,16.0,163.0,642.0,33.0,149.0,571.0,1256.0
hsa-let-7f-1-3p,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,77.0,60.0,1784.0,8.0,1189.0,233.0,264.0,28.0,278.0,255.0,3730.0,12229.0,297.0,118.0,1370.0,8397.0,491.0,1893.0,5750.0,6717.0
hsa-let-7g-5p,0.0,2.0,75.0,0.0,53.0,13.0,9.0,3.0,32.0,12.0,105.0,440.0,32.0,1.0,51.0,310.0,50.0,63.0,166.0,157.0
hsa-let-7i-5p,12.0,17.0,214.0,1.0,402.0,41.0,35.0,8.0,50.0,50.0,480.0,1997.0,122.0,28.0,171.0,1156.0,383.0,190.0,735.0,1676.0
hsa-miR-1-3p,6.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,0.0,1.0,407.0,0.0,1.0,0.0
hsa-miR-100-5p,0.0,1.0,6.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,8.0,7.0,10.0,0.0,0.0,4.0,3.0,3.0,21.0,5.0
hsa-miR-101-3p,2.0,2.0,36.0,4.0,46.0,1.0,1.0,0.0,0.0,8.0,40.0,142.0,55.0,6.0,20.0,101.0,13.0,24.0,123.0,77.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,23.0,0.0,0.0,2.0,2.0,0.0,8.0,4.0,1.0,7.0,12.0,0.0,0.0,2.0,5.0,9.0,24.0,26.0
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,3.0,3.0,29.0,10.0,8.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,17.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-107,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
hsa-miR-10a-3p,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
hsa-miR-10a-5p,16.0,15.0,316.0,1.0,25.0,11.0,19.0,1.0,6.0,8.0,337.0,1018.0,28.0,3.0,135.0,316.0,7.0,252.0,670.0,150.0
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0,0.0,0.0,7.0,0.0,4.0,7.0,3.0
