miRNA,SRR23922105,SRR23922106,SRR23922108,SRR23922109,SRR23922110,SRR23922111,SRR23922112,SRR23922113,SRR23922116,SRR23922117,SRR23922121,SRR23922122,SRR23922124,SRR23922125,SRR23922128,SRR23922129,SRR23922130,SRR23922132
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0
hsa-let-7a-5p,4.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,5.0,9.0,13.0,8.0,8.0,8.0,11.0,8.0,10.0
hsa-let-7b-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,6.0,7.0,4.0,10.0,6.0,5.0,5.0,8.0,5.0,6.0,7.0,8.0,7.0,6.0,6.0,8.0,6.0,5.0
hsa-let-7c-5p,5.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,5.0,2.0,4.0
hsa-let-7d-3p,2.0,5.0,3.0,5.0,4.0,0.0,2.0,1.0,4.0,2.0,2.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0
hsa-let-7d-5p,2.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0
hsa-let-7e-3p,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-let-7e-5p,1.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-let-7f-5p,3.0,7.0,2.0,5.0,5.0,3.0,6.0,3.0,4.0,4.0,6.0,11.0,9.0,5.0,5.0,6.0,8.0,6.0
hsa-let-7g-5p,2.0,7.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,8.0,4.0,6.0,5.0,5.0,7.0,6.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,2.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,8.0,3.0,6.0,5.0,3.0,7.0,5.0
hsa-miR-1-3p,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,2.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0
hsa-miR-101-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-103a-3p,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-miR-106b-5p,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,4.0,8.0,4.0,7.0,7.0,4.0,6.0,1.0,4.0,1.0,4.0,10.0,5.0,7.0,5.0,7.0,5.0,5.0
hsa-miR-10b-5p,1.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,7.0,3.0,4.0,3.0,3.0,3.0,2.0
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11400,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-1180-3p,0.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0
hsa-miR-1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-3p,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-122-5p,2.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1233-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,1.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,7.0,6.0,2.0,3.0,4.0,4.0
hsa-miR-125b-1-3p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,1.0,3.0,2.0,4.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0
hsa-miR-126-3p,4.0,9.0,7.0,11.0,10.0,3.0,5.0,5.0,10.0,4.0,6.0,13.0,10.0,8.0,5.0,11.0,7.0,8.0
hsa-miR-126-5p,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,4.0,0.0,3.0,3.0,1.0,3.0
hsa-miR-1260b,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-127-3p,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
