miRNA,SRR28698627,SRR28698628,SRR28698629,SRR28698630,SRR28698631,SRR28698632,SRR28698633,SRR28698634,SRR28698635,SRR28698636,SRR28698637,SRR28698638,SRR28698639,SRR28698640,SRR28698641,SRR28698642,SRR28698643,SRR28698644,SRR28698645,SRR28698646,SRR28698647,SRR28698648,SRR28698649,SRR28698650,SRR28698651
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,110.0,112.0,372.0,84.0,355.0,246.0,28.0,123.0,210.0,21.0,109.0,49.0,218.0,182.0,290.0,48.0,63.0,529.0,129.0,40.0,397.0,174.0,114.0,87.0,15.0
hsa-let-7a-5p,232763.0,82672.0,173541.0,380524.0,192895.0,154487.0,11216.0,67045.0,128924.0,11036.0,31821.0,7755.0,96853.0,29667.0,94266.0,22650.0,8134.0,88907.0,54007.0,39848.0,34387.0,56550.0,54338.0,36289.0,21234.0
hsa-let-7b-3p,50.0,71.0,191.0,39.0,148.0,199.0,7.0,121.0,172.0,8.0,71.0,27.0,174.0,159.0,147.0,48.0,17.0,160.0,97.0,27.0,98.0,63.0,65.0,83.0,5.0
hsa-let-7b-5p,56500.0,27966.0,67382.0,94248.0,60100.0,72723.0,4122.0,33899.0,73290.0,12282.0,13115.0,8802.0,61549.0,16370.0,68784.0,18285.0,7089.0,50288.0,36217.0,15126.0,49562.0,25076.0,24975.0,16281.0,7248.0
hsa-let-7c-3p,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,11.0,40.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0
hsa-let-7c-5p,4397.0,2146.0,18147.0,3551.0,2349.0,3664.0,346.0,10287.0,15675.0,4758.0,3526.0,2536.0,5867.0,2567.0,6432.0,2144.0,1877.0,3189.0,6187.0,962.0,3388.0,1918.0,5972.0,921.0,365.0
hsa-let-7d-3p,2393.0,5694.0,8747.0,3319.0,15356.0,10290.0,513.0,4667.0,12367.0,2492.0,1716.0,586.0,10118.0,3514.0,5584.0,942.0,657.0,7423.0,3450.0,1391.0,6345.0,3372.0,2617.0,1758.0,327.0
hsa-let-7d-5p,28390.0,6779.0,26597.0,44891.0,13510.0,25053.0,982.0,5960.0,19646.0,1139.0,4832.0,1297.0,18078.0,5161.0,13726.0,5732.0,1472.0,19169.0,12191.0,3458.0,8796.0,12095.0,6317.0,3801.0,2723.0
hsa-let-7e-3p,0.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,10.0,4.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0
hsa-let-7e-5p,708.0,307.0,415.0,1166.0,465.0,643.0,53.0,268.0,472.0,1068.0,796.0,541.0,654.0,648.0,1668.0,397.0,450.0,700.0,442.0,162.0,679.0,303.0,249.0,106.0,137.0
hsa-let-7f-1-3p,11.0,3.0,7.0,14.0,19.0,5.0,3.0,14.0,1.0,0.0,21.0,0.0,9.0,4.0,10.0,0.0,0.0,11.0,16.0,4.0,1.0,14.0,14.0,6.0,2.0
hsa-let-7f-2-3p,3.0,12.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,11.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,24.0,0.0,1.0,3.0,0.0
hsa-let-7f-5p,182577.0,71089.0,146754.0,252631.0,178034.0,107760.0,9999.0,49920.0,94887.0,10034.0,24821.0,6597.0,59069.0,17190.0,47352.0,14547.0,5347.0,46281.0,30122.0,34095.0,20468.0,36358.0,42850.0,31522.0,20112.0
hsa-let-7g-3p,6.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0
hsa-let-7g-5p,44254.0,25475.0,34118.0,43484.0,50925.0,27157.0,2944.0,14703.0,25360.0,6927.0,9251.0,4817.0,17340.0,7438.0,17682.0,7526.0,3689.0,16166.0,10192.0,10157.0,13354.0,12570.0,13492.0,13234.0,6575.0
hsa-let-7i-3p,5.0,1.0,9.0,6.0,16.0,0.0,1.0,0.0,7.0,0.0,3.0,0.0,5.0,12.0,21.0,15.0,33.0,27.0,13.0,5.0,30.0,13.0,3.0,2.0,4.0
hsa-let-7i-5p,42260.0,39412.0,49039.0,55678.0,70916.0,44619.0,4799.0,21043.0,42763.0,4451.0,15411.0,9608.0,37733.0,15401.0,57440.0,18818.0,5298.0,35292.0,34969.0,15907.0,30750.0,26951.0,23516.0,15990.0,8338.0
hsa-miR-1-3p,12062.0,5953.0,6754.0,13481.0,9891.0,9968.0,738.0,3005.0,8401.0,11627.0,17952.0,14529.0,11352.0,22211.0,40311.0,21141.0,7308.0,22675.0,4506.0,2874.0,27058.0,6713.0,3546.0,2789.0,1024.0
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,946.0,1534.0,1778.0,1131.0,1385.0,2402.0,290.0,2305.0,2281.0,2974.0,2425.0,2041.0,2400.0,2375.0,4136.0,1828.0,2517.0,3028.0,1704.0,781.0,4177.0,2379.0,1001.0,1617.0,242.0
hsa-miR-101-3p,7346.0,10171.0,16212.0,8868.0,18606.0,13304.0,1409.0,7684.0,20504.0,608.0,4085.0,3176.0,12010.0,7025.0,14597.0,12490.0,4760.0,23658.0,15889.0,4097.0,32423.0,15123.0,9363.0,5946.0,1916.0
hsa-miR-101-5p,0.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0
hsa-miR-10393-3p,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,19.0,1.0,0.0,3.0,4.0,11.0,4.0,0.0,8.0,5.0,1.0,1.0,4.0,0.0,1.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,31.0,68.0,74.0,27.0,70.0,36.0,6.0,37.0,37.0,0.0,18.0,0.0,30.0,21.0,28.0,26.0,0.0,72.0,44.0,13.0,24.0,73.0,26.0,38.0,3.0
hsa-miR-10399-5p,8.0,2.0,0.0,5.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,10.0,0.0,1.0,7.0,0.0,1.0,2.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,2621.0,1789.0,723.0,2906.0,242.0,4887.0,355.0,1941.0,990.0,71.0,411.0,920.0,1171.0,1364.0,919.0,6046.0,195.0,1781.0,2158.0,1940.0,1080.0,2510.0,38.0,1655.0,1213.0
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,1.0,2.0,2.0,6.0,16.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,0.0,1.0,13.0,7.0,1.0,2.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,2.0,6.0,1.0,4.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
