miRNA,SRR21722644,SRR21722645,SRR21722646,SRR21722647,SRR21722648,SRR21722649,SRR21722650,SRR21722651,SRR21722652,SRR21722653
hsa-let-7a-3p,1.0,27.0,17.0,33.0,10.0,7.0,15.0,10.0,18.0,4.0
hsa-let-7a-5p,2072.0,8942.0,9066.0,5984.0,16532.0,7981.0,13076.0,5494.0,7273.0,59185.0
hsa-let-7b-3p,4.0,17.0,3.0,5.0,5.0,7.0,0.0,0.0,2.0,46.0
hsa-let-7b-5p,6204.0,5920.0,22647.0,20375.0,14215.0,5169.0,13727.0,7297.0,8196.0,53566.0
hsa-let-7c-5p,297.0,1137.0,325.0,289.0,977.0,304.0,491.0,408.0,454.0,3867.0
hsa-let-7d-3p,14.0,80.0,24.0,32.0,63.0,88.0,87.0,24.0,71.0,285.0
hsa-let-7d-5p,282.0,1357.0,373.0,506.0,1021.0,1288.0,1342.0,484.0,855.0,2658.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,68.0,288.0,206.0,232.0,650.0,172.0,534.0,197.0,197.0,2319.0
hsa-let-7f-1-3p,0.0,3.0,3.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0
hsa-let-7f-2-3p,0.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0
hsa-let-7f-5p,835.0,10130.0,6656.0,3833.0,8071.0,9023.0,8395.0,3523.0,4809.0,34848.0
hsa-let-7g-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1930.0,9158.0,2390.0,1703.0,2177.0,10527.0,5464.0,2737.0,4657.0,16763.0
hsa-let-7i-3p,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
hsa-let-7i-5p,22293.0,42469.0,34218.0,28199.0,27664.0,53203.0,67129.0,24401.0,35454.0,136937.0
hsa-miR-1-3p,387.0,544.0,41.0,116.0,65.0,574.0,514.0,432.0,880.0,908.0
hsa-miR-100-5p,70.0,212.0,162.0,132.0,114.0,115.0,118.0,377.0,226.0,631.0
hsa-miR-101-3p,364.0,1893.0,950.0,849.0,411.0,1078.0,706.0,366.0,1570.0,2087.0
hsa-miR-101-5p,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,10.0,7.0,24.0,0.0,17.0,14.0,43.0,4.0,4.0,14.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,49.0,1084.0,251.0,286.0,414.0,1648.0,315.0,107.0,104.0,2.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,7.0,8.0,8.0,1.0,0.0,9.0,2.0,0.0
hsa-miR-105-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-106a-5p,5.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
hsa-miR-106b-3p,430.0,528.0,288.0,298.0,209.0,820.0,815.0,298.0,656.0,1417.0
hsa-miR-106b-5p,16.0,105.0,47.0,56.0,15.0,58.0,69.0,50.0,77.0,173.0
hsa-miR-107,11.0,16.0,0.0,8.0,0.0,26.0,1.0,3.0,10.0,89.0
hsa-miR-10a-3p,3.0,13.0,2.0,3.0,11.0,2.0,0.0,2.0,4.0,0.0
hsa-miR-10a-5p,616.0,2267.0,1379.0,734.0,2226.0,2371.0,1301.0,1183.0,1293.0,7144.0
hsa-miR-10b-3p,5.0,14.0,7.0,3.0,2.0,11.0,0.0,16.0,0.0,0.0
hsa-miR-10b-5p,1430.0,5475.0,3262.0,2089.0,5376.0,7660.0,2518.0,3499.0,2870.0,13969.0
hsa-miR-11400,31.0,164.0,7.0,6.0,23.0,14.0,13.0,8.0,8.0,117.0
hsa-miR-11401,4.0,8.0,20.0,18.0,0.0,8.0,33.0,3.0,14.0,60.0
hsa-miR-1180-3p,20.0,28.0,40.0,32.0,43.0,52.0,98.0,49.0,102.0,143.0
hsa-miR-1185-1-3p,0.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
hsa-miR-1185-2-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1197,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-12129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,1579.0,3723.0,11114.0,4067.0,11654.0,2256.0,4700.0,102.0,2722.0,5442.0
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1234-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,2.0,50.0,5.0,6.0,6.0,2.0,5.0,9.0,19.0,4.0
