miRNA,SRR27046388,SRR27046389,SRR27046390,SRR27046391,SRR27046392,SRR27046393,SRR27046394,SRR27046395,SRR27046396,SRR27046397,SRR27046398,SRR27046399,SRR27046400,SRR27046401,SRR27046402,SRR27046403,SRR27046404,SRR27046405,SRR27046406,SRR27046407,SRR27046408,SRR27046409,SRR27046410,SRR27046411,SRR27046412,SRR27046413,SRR27046414,SRR27046415,SRR27046416,SRR27046417,SRR27046418,SRR27046419,SRR27046420,SRR27046421,SRR27046422,SRR27046423,SRR27046424
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,4.0,114.0,2.0,91.0,20.0,1.0,97.0,422.0,20.0,11.0,304.0,61.0,90.0,245.0,91.0,217.0,739.0,143.0,65.0,122.0,42.0,146.0,705.0,262.0,301.0,114.0,44.0,4.0,280.0,160.0,63.0,197.0,159.0,874.0,135.0,264.0,127.0
hsa-let-7b-5p,30641.0,54156.0,26579.0,75651.0,12375.0,5229.0,8937.0,120549.0,18627.0,4639.0,83050.0,9886.0,67022.0,47206.0,8588.0,8998.0,75225.0,29985.0,3967.0,28940.0,15420.0,32676.0,205470.0,59123.0,120763.0,22873.0,8412.0,17216.0,37502.0,35086.0,32733.0,23162.0,18739.0,45681.0,36882.0,59708.0,21734.0
hsa-let-7c-5p,71.0,0.0,42.0,557.0,0.0,35.0,0.0,0.0,41.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0
hsa-let-7d-3p,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,7.0,11.0,3.0,11.0,1.0,1.0,0.0,22.0,2.0,0.0,13.0,6.0,2.0,12.0,2.0,4.0,7.0,7.0,2.0,3.0,2.0,10.0,59.0,2.0,1.0,2.0,2.0,1.0,16.0,8.0,5.0,3.0,5.0,0.0,3.0,1.0,1.0
hsa-let-7e-5p,0.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,24.0,109.0,5.0,92.0,9.0,23.0,68.0,67.0,27.0,1.0,116.0,7.0,12.0,185.0,5.0,28.0,29.0,59.0,5.0,9.0,50.0,66.0,206.0,15.0,129.0,37.0,47.0,63.0,84.0,24.0,7.0,41.0,21.0,21.0,39.0,131.0,15.0
hsa-let-7g-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
