miRNA,ERR3629088,ERR3629087,ERR3629086,ERR3629085,ERR3629084,ERR3629083,ERR3629082,ERR3629081,ERR3629080,ERR3629079,ERR3629078,ERR3629077
hsa-miR-4457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4464,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4466,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4467,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
hsa-miR-4468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4470,4.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0
hsa-miR-4471,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
hsa-miR-4473,13.0,18.0,8.0,8.0,19.0,5.0,14.0,10.0,11.0,11.0,11.0,13.0
hsa-miR-4474-3p,7.0,1.0,2.0,2.0,2.0,4.0,3.0,8.0,7.0,1.0,8.0,2.0
hsa-miR-4476,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4477a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-4477b,0.0,9.0,4.0,4.0,8.0,8.0,2.0,2.0,0.0,4.0,7.0,4.0
hsa-miR-4479,1.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,1.0
hsa-miR-448,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4482-3p,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-4482-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,5.0,12.0,3.0,1.0,5.0,5.0,1.0,0.0,2.0,3.0,3.0,2.0
hsa-miR-4485-5p,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4487,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-4488,8.0,13.0,8.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,6.0,8.0
hsa-miR-4489,0.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-4491,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0
hsa-miR-4492,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
hsa-miR-4494,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4497,11.0,7.0,7.0,4.0,8.0,6.0,18.0,7.0,10.0,8.0,15.0,8.0
hsa-miR-4498,1.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0
hsa-miR-449a,9.0,13.0,12.0,19.0,13.0,22.0,9.0,11.0,4.0,6.0,8.0,12.0
hsa-miR-449b-5p,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-449c-5p,9.0,18.0,2.0,5.0,11.0,11.0,3.0,5.0,2.0,7.0,5.0,2.0
hsa-miR-4500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-4504,5.0,7.0,2.0,8.0,8.0,10.0,16.0,5.0,8.0,0.0,1.0,1.0
hsa-miR-4506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4508,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0
hsa-miR-450a-1-3p,16.0,20.0,11.0,7.0,26.0,14.0,2.0,18.0,6.0,8.0,14.0,15.0
hsa-miR-450a-2-3p,30.0,12.0,20.0,19.0,27.0,22.0,17.0,15.0,19.0,12.0,14.0,18.0
hsa-miR-450a-5p,58.0,91.0,46.0,59.0,69.0,79.0,80.0,91.0,55.0,63.0,75.0,74.0
hsa-miR-450b-5p,83.0,66.0,52.0,63.0,56.0,55.0,51.0,60.0,22.0,54.0,60.0,57.0
hsa-miR-4511,7.0,8.0,5.0,4.0,14.0,15.0,7.0,5.0,6.0,7.0,9.0,5.0
hsa-miR-4512,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0
hsa-miR-4515,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-4516,1.0,0.0,1.0,10.0,10.0,8.0,15.0,4.0,9.0,2.0,3.0,6.0
hsa-miR-4517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-451a,24528.0,24487.0,12548.0,2187.0,35148.0,30678.0,80564.0,11660.0,51017.0,48088.0,16880.0,4137.0
hsa-miR-452-3p,9.0,5.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,1.0,4.0,3.0
hsa-miR-452-5p,180.0,157.0,115.0,97.0,130.0,110.0,51.0,111.0,90.0,68.0,92.0,58.0
hsa-miR-4520-2-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4520-3p,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
hsa-miR-4521,7.0,4.0,4.0,1.0,3.0,4.0,4.0,0.0,3.0,4.0,2.0,5.0
hsa-miR-4523,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-4524a-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4525,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
hsa-miR-4533,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-4536-3p,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4536-5p,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4538,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-454-3p,178.0,207.0,135.0,356.0,375.0,340.0,244.0,271.0,192.0,141.0,188.0,188.0
hsa-miR-454-5p,41.0,28.0,23.0,26.0,36.0,34.0,17.0,27.0,16.0,26.0,20.0,26.0
hsa-miR-455-3p,5.0,6.0,5.0,9.0,14.0,10.0,4.0,5.0,0.0,4.0,4.0,3.0
hsa-miR-455-5p,28.0,27.0,13.0,32.0,40.0,39.0,30.0,14.0,23.0,11.0,24.0,9.0
hsa-miR-4632-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0
hsa-miR-4635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4636,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-4637,2.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0
hsa-miR-4638-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4638-5p,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-4639-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4639-5p,4.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0
hsa-miR-4640-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4640-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4642,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-4644,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4645-3p,31.0,38.0,16.0,38.0,40.0,33.0,44.0,26.0,13.0,18.0,22.0,22.0
hsa-miR-4645-5p,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4647,2.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0
hsa-miR-4648,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4649-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-4651,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4653-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4654,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-4655-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4658,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-4659a-3p,10.0,15.0,5.0,4.0,7.0,12.0,8.0,2.0,2.0,5.0,2.0,2.0
hsa-miR-4659b-3p,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
hsa-miR-4659b-5p,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0
hsa-miR-4660,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0
hsa-miR-4661-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4661-5p,4.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,1.0,5.0,1.0
hsa-miR-4662a-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4662a-5p,4.0,11.0,1.0,6.0,7.0,0.0,1.0,1.0,0.0,2.0,8.0,0.0
hsa-miR-4662b,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4664-3p,4.0,2.0,1.0,1.0,4.0,6.0,3.0,0.0,8.0,0.0,1.0,2.0
hsa-miR-4664-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-4665-5p,10.0,9.0,4.0,6.0,10.0,12.0,8.0,5.0,1.0,5.0,7.0,7.0
hsa-miR-4667-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4667-5p,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4668-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4670-5p,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4671-3p,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0
hsa-miR-4671-5p,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
hsa-miR-4673,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4674,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4676-3p,4.0,2.0,3.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
hsa-miR-4676-5p,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-4677-3p,73.0,70.0,49.0,80.0,77.0,74.0,43.0,63.0,31.0,33.0,45.0,38.0
hsa-miR-4677-5p,0.0,3.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,5.0,0.0,1.0
hsa-miR-4678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4680-3p,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0
hsa-miR-4680-5p,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0
hsa-miR-4683,6.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0
hsa-miR-4684-3p,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4685-3p,1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0
hsa-miR-4687-3p,12.0,6.0,3.0,5.0,10.0,4.0,9.0,3.0,1.0,2.0,4.0,4.0
hsa-miR-4687-5p,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,2.0,0.0,1.0,0.0
hsa-miR-4688,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,5.0,3.0
hsa-miR-4689,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0
hsa-miR-4690-3p,1.0,1.0,0.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0
hsa-miR-4691-3p,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4695-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4695-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-4699-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4700-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4700-5p,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
hsa-miR-4701-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4701-5p,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0
hsa-miR-4703-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-4706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4707-3p,1.0,0.0,1.0,6.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0
hsa-miR-4707-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4708-3p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4709-3p,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0
hsa-miR-4709-5p,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
hsa-miR-4712-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4714-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4714-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4717-3p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4720-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
hsa-miR-4721,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
hsa-miR-4723-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4723-5p,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0
hsa-miR-4724-5p,3.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,5.0,2.0,2.0,0.0
hsa-miR-4725-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4727-3p,0.0,0.0,2.0,2.0,4.0,2.0,4.0,2.0,0.0,1.0,2.0,4.0
hsa-miR-4727-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4728-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4729,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4732-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4732-5p,0.0,2.0,2.0,1.0,5.0,5.0,8.0,6.0,4.0,3.0,6.0,3.0
hsa-miR-4733-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-4734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4738-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
hsa-miR-4741,6.0,4.0,1.0,6.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-4742-3p,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
hsa-miR-4743-5p,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
hsa-miR-4744,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4745-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
hsa-miR-4745-5p,3.0,1.0,0.0,1.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0
hsa-miR-4746-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4746-5p,15.0,16.0,21.0,22.0,23.0,23.0,23.0,9.0,19.0,16.0,11.0,7.0
hsa-miR-4747-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-4748,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-4749-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
hsa-miR-4750-5p,1.0,3.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0
hsa-miR-4752,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0
