miRNA,SRR14916083,SRR14916084,SRR14916086,SRR14916090,SRR14916093,SRR14916094,SRR14916100,SRR14916102,SRR14916106,SRR14916109,SRR14916110,SRR14916111,SRR14916112,SRR14916114,SRR14916115,SRR14916116,SRR14916117,SRR14916121,SRR14916123,SRR14916124,SRR14916125,SRR14916126,SRR14916130,SRR14916131,SRR14916133,SRR14916134,SRR14916137,SRR14916140,SRR14916142,SRR14916143
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31,0.0,0.0,0.0,0.0,0.0,0.0,89.82,43.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,50.92,963.06,0.0,29.72,422.22,1183.18,0.0,300.6,0.0,415.12,64.31,34.16,27.69,64.04,1842.19,94.03,3952.13,1944.79,1700.2,138.95,1557.3,4628.52,386.73,3351.6,290.98,18.99,202.87,1412.75,633.9,364.33
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.72,0.0,0.0,0.0
hsa-let-7b-5p,58.19,342.07,15.39,0.0,140.74,208.8,15.59,0.0,0.0,125.5,0.0,204.97,242.31,79.62,555.58,249.54,2312.89,336.32,736.31,180.63,3503.92,1474.27,1954.0,1015.15,749.83,22.79,314.45,653.06,77.3,469.8
hsa-let-7c-5p,0.0,889.38,15.39,0.0,140.74,0.0,0.0,0.0,0.0,9.65,0.0,6.83,90.0,10.39,248.55,3.62,0.0,29.24,200.81,6.95,486.66,274.28,569.92,531.74,235.02,0.0,10.14,93.29,347.87,86.29
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,202.72,0.0,0.0,0.0,0.0,0.0,62.31,0.0,43.86,0.0,0.0,0.0,0.0,0.0,0.0,342.85,0.0,16.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.96,0.0,88.82,0.0,0.0,175.45,0.0,157.19,175.47,93.71,0.0,38.93,102.86,0.0,64.45,0.0,0.0,0.0,13.33,7.73,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,164.2,0.0,0.0,0.0,0.0,19.31,0.0,0.0,0.0,1.73,0.0,0.0,202.1,190.09,776.47,0.0,155.73,719.99,0.0,999.03,257.4,0.0,0.0,266.56,77.3,47.94
hsa-let-7f-5p,36.37,1015.69,0.0,14.86,398.76,1478.98,1216.34,0.0,0.0,386.16,35.08,34.16,117.69,15.58,1081.92,0.0,2402.71,979.7,1526.17,618.32,1187.44,2057.12,162.83,1579.12,279.79,13.3,314.45,1812.58,177.8,28.76
hsa-let-7g-5p,160.02,115.78,0.0,0.0,70.37,800.39,15.59,0.0,0.0,38.62,0.0,0.0,0.0,0.0,131.58,43.4,404.19,277.83,321.3,0.0,330.93,788.56,244.25,257.82,145.49,1.9,0.0,373.18,139.15,57.53
hsa-let-7i-5p,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.96,0.0,0.0,0.0,3.46,175.45,0.0,0.0,0.0,0.0,0.0,116.8,685.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,7.27,0.0,0.0,0.0,140.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.77,0.0,175.45,0.0,0.0,0.0,227.59,0.0,467.19,0.0,0.0,80.57,22.38,0.0,0.0,0.0,7.73,95.88
hsa-miR-101-3p,0.0,0.0,1277.45,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.62,0.0,0.0,0.0,0.0,0.0,0.0,514.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
