miRNA,SRR15539394,SRR15539395,SRR15539396,SRR15539398,SRR15539399,SRR15539400,SRR15539402,SRR15539403,SRR15539404,SRR15539406,SRR15539407,SRR15539408
hsa-let-7a-2-3p,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,4.7,5.96,6.16,0.0,0.0,0.0,3.71,4.66,0.97
hsa-let-7a-5p,580.39,372.4,262.75,679.01,3065.99,369.31,988.19,588.29,352.65,823.9,3042.47,303.36
hsa-let-7b-3p,0.0,0.0,0.0,0.0,1.08,0.68,16.2,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,1160.79,312.82,169.78,18.8,144.12,21.89,1231.19,429.9,157.96,15.57,128.87,14.58
hsa-let-7c-3p,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,1.48,1.55,0.0
hsa-let-7c-5p,270.85,104.27,169.78,227.21,268.73,29.41,259.2,209.29,154.28,247.69,215.05,27.22
hsa-let-7d-3p,0.0,14.9,4.04,5.75,66.64,4.1,16.2,33.94,7.35,5.93,45.8,6.32
hsa-let-7d-5p,77.39,14.9,4.04,14.62,256.27,19.83,32.4,16.97,14.69,14.83,194.86,20.42
hsa-let-7e-3p,0.0,0.0,0.0,3.66,7.04,0.68,0.0,0.0,0.0,2.97,2.33,0.97
hsa-let-7e-5p,154.77,37.24,20.21,584.99,1448.75,99.85,97.2,79.19,22.04,487.96,1021.66,89.45
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.74,0.78,0.0
hsa-let-7f-5p,483.66,193.65,145.52,707.74,4124.11,484.89,712.79,220.61,143.26,1031.54,4869.19,586.3
hsa-let-7g-3p,0.0,0.0,0.0,0.52,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.49
hsa-let-7g-5p,212.81,59.58,48.51,723.93,5373.48,495.83,372.6,90.51,44.08,897.31,5596.62,455.04
hsa-let-7i-3p,0.0,0.0,0.0,0.0,1.08,0.68,0.0,0.0,0.0,0.0,1.55,0.0
hsa-let-7i-5p,386.93,163.86,92.97,603.27,4173.41,382.3,226.8,203.64,47.75,746.77,4378.55,424.9
hsa-miR-1-3p,0.0,0.0,24.25,141.03,521.2,23.25,0.0,22.63,36.73,180.2,525.58,27.22
hsa-miR-100-5p,135.43,67.03,113.18,697.29,274.15,114.9,129.6,67.88,213.06,1238.44,412.24,223.63
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,232.16,37.24,169.78,887.94,891.79,153.2,340.2,124.44,202.04,1167.25,954.9,200.78
hsa-miR-101-5p,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0
